model,group,classifier,reference,AUROC_delta_pp,HALL_AUPR_delta_pp,reference_AUROC,reference_HALL_AUPR
llava_1_5_7b,vp_generation,one_hidden,three_hidden same feature,-0.39982644927683,0.4141404267456461,0.8984963631709006,0.7047695916840501
llava_1_5_7b,vp_generation,one_hidden,legacy U + frozen-RMS S,-0.15157714894900032,-0.2954020192312945,0.8960138701676224,0.7118650161438195
llava_1_5_7b,vp_generation,xgb,AE only,3.2541918113614066,5.9403098856160135,0.8709195275237827,0.6571506635319897
llava_1_5_7b,vp_generation,xgb,three_hidden same feature,0.49650824664960735,1.1784170704099761,0.8984963631709006,0.7047695916840501
llava_1_5_7b,vp_generation,xgb,legacy U + frozen-RMS S,-0.1729912555206381,0.5217261519331329,0.9051913581926031,0.7113365008688185
qwen3_vl_8b,visual,three_hidden,AE only,4.588852974560531,7.051118833318459,0.8373219848171919,0.5475234474082777
qwen3_vl_8b,visual,three_hidden,legacy U + frozen-RMS S,0.5768674678957808,2.165540139386579,0.8774418398838394,0.5963792343475965
qwen3_vl_8b,visual,three_hidden,legacy AE_V + visual-only S_E,-0.33391835613223453,-1.0285357033434805,0.8865496981241195,0.6283199927748971
qwen3_vl_8b,visual,one_hidden,AE only,5.593000616409238,7.5469478889830635,0.8038166949144694,0.49218651002438535
qwen3_vl_8b,visual,one_hidden,three_hidden same feature,-2.346381348423543,-5.037864682724635,0.8832105145627972,0.6180346357414623
qwen3_vl_8b,visual,one_hidden,legacy U + frozen-RMS S,-1.1513166357432936,-1.5621277638353082,0.8712598674359947,0.5832772665525691
qwen3_vl_8b,visual,xgb,AE only,7.840115893170818,13.015413327750558,0.8121428505274467,0.501217996943044
qwen3_vl_8b,visual,xgb,three_hidden same feature,0.7333494896357706,1.3337494479087275,0.8832105145627972,0.6180346357414623
qwen3_vl_8b,visual,xgb,legacy U + frozen-RMS S,1.9161426159008843,3.8014800735092114,0.8713825833001461,0.5933573294854575
qwen3_vl_8b,visual_prompt_sum,three_hidden,AE only,1.8542186987075882,4.407252451152843,0.8640161583605778,0.5885285163032422
qwen3_vl_8b,visual_prompt_sum,three_hidden,legacy U + frozen-RMS S,-0.09406929921781382,0.8808680229629107,0.8834990383398318,0.6237923605851415
qwen3_vl_8b,visual_prompt_sum,one_hidden,AE only,2.4232395547446495,1.9535237188116228,0.8276401662143931,0.5610297978689088
qwen3_vl_8b,visual_prompt_sum,one_hidden,three_hidden same feature,-3.0685783585814086,-5.2036005757745585,0.8825583453476536,0.6326010408147706
qwen3_vl_8b,visual_prompt_sum,one_hidden,legacy U + frozen-RMS S,-0.7290660113588032,-0.7546443469646058,0.8591632218754276,0.5881114785266711
qwen3_vl_8b,visual_prompt_sum,xgb,AE only,2.430430138398787,4.478466853546381,0.8777367953099388,0.6358050337955604
qwen3_vl_8b,visual_prompt_sum,xgb,three_hidden same feature,1.9482751346272975,4.798866151625358,0.8825583453476536,0.6326010408147706
qwen3_vl_8b,visual_prompt_sum,xgb,legacy U + frozen-RMS S,0.9469574183669449,3.5519395224801187,0.8925715225102572,0.645070307106223
qwen3_vl_8b,generation,three_hidden,AE only,8.64164086289061,11.7016360425724,0.768961401873102,0.4614026075554148
qwen3_vl_8b,generation,three_hidden,legacy U + frozen-RMS S,-1.0600000823251299,-0.4711960155456829,0.8659778113252594,0.5831309281365956
qwen3_vl_8b,generation,one_hidden,AE only,12.380654319958595,15.819610131386124,0.70350599481146,0.3467675290076035
qwen3_vl_8b,generation,one_hidden,three_hidden same feature,-2.8065272490962134,-7.345533765967405,0.8553778105020081,0.5784189679811388
qwen3_vl_8b,generation,one_hidden,legacy U + frozen-RMS S,-0.5706159050050563,-0.7928985033254454,0.8330186970610965,0.5128926153547192
qwen3_vl_8b,generation,xgb,AE only,10.226862271123338,15.14025248204091,0.7663698331990405,0.44649618456665413
qwen3_vl_8b,generation,xgb,three_hidden same feature,1.326064540826577,1.9479741405924456,0.8553778105020081,0.5784189679811388
qwen3_vl_8b,generation,xgb,legacy U + frozen-RMS S,-0.15362636955534859,1.3245548615505864,0.8701747196058274,0.5846531607715574
qwen3_vl_8b,vp_generation,three_hidden,AE only,3.9239748208657055,5.0345523206518745,0.8619446528298741,0.6188005879159276
