model,group,classifier,index,validation_AUROC,validation_HALL_AUPR,seconds,n_iter,convergence_warning,params
qwen2_5_vl_7b,visual_prompt_sum,xgb,14,0.8506998105078063,0.44266524617548275,3.4394212579354644,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 500}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,15,0.8399473572118981,0.4068103553650151,1.646728693973273,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,16,0.8510329235860442,0.4334253717076298,2.6770164298359305,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,visual_prompt_sum,xgb,17,0.8551176544470597,0.44918204851053667,4.8504008741583675,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
qwen2_5_vl_7b,generation,one_hidden,0,0.7585257834983427,0.2436983981077995,0.501979029038921,61,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,generation,one_hidden,1,0.760191348889532,0.2519191065250113,0.20269224187359214,30,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,generation,one_hidden,2,0.7730899241485139,0.2712500807296574,3.572407020954415,124,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,generation,one_hidden,3,0.761228914215191,0.24689321005440806,1.2722979220561683,184,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,generation,one_hidden,4,0.7693328454956012,0.2664946676892365,0.836096519138664,68,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,generation,one_hidden,5,0.7810846380262231,0.2840421406346631,0.7689161780290306,75,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,generation,one_hidden,6,0.7732046024213499,0.27391159698922113,1.5139903877861798,75,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,generation,one_hidden,7,0.7691307933006044,0.25687222086573586,1.901077649090439,186,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,generation,one_hidden,8,0.7636917666460974,0.25988773259134507,0.7985450061969459,45,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
