model,label,layer,n_mentions,mean,q25,median,q75,raw_relative_strength_real_auroc
qwen2_5_vl_7b,REAL,8,7801,0.4566682279109955,0.43965527415275574,0.4517129063606262,0.4704614579677582,0.4463102088020291
qwen2_5_vl_7b,REAL,9,7801,0.4368603527545929,0.41739514470100403,0.43402910232543945,0.45602181553840637,0.484254342042141
qwen2_5_vl_7b,REAL,10,7801,0.4945327341556549,0.4708375632762909,0.4873293340206146,0.5119590759277344,0.4911157958138834
qwen2_5_vl_7b,REAL,11,7801,0.4058365523815155,0.3945569097995758,0.4042039215564728,0.4152347445487976,0.5868623242233528
qwen2_5_vl_7b,REAL,12,7801,0.42101767659187317,0.40975117683410645,0.4201090335845947,0.4306311309337616,0.4525118966384894
qwen2_5_vl_7b,REAL,13,7801,0.4208392798900604,0.40866634249687195,0.41858604550361633,0.42951858043670654,0.5193593616091096
qwen2_5_vl_7b,REAL,14,7801,0.4166353642940521,0.4043952226638794,0.4142158627510071,0.4266481399536133,0.42808012521068567
qwen2_5_vl_7b,REAL,15,7801,0.40183883905410767,0.39061060547828674,0.3998761773109436,0.41163158416748047,0.47864510708234137
qwen2_5_vl_7b,REAL,16,7801,0.3980463445186615,0.3864067494869232,0.39597293734550476,0.4058413803577423,0.5678230145166699
qwen2_5_vl_7b,REAL,17,7801,0.40242114663124084,0.3899470865726471,0.40148627758026123,0.41342130303382874,0.5800362762807814
qwen2_5_vl_7b,REAL,18,7801,0.37172815203666687,0.35710200667381287,0.36876311898231506,0.3817391097545624,0.5417543882236574
qwen2_5_vl_7b,REAL,19,7801,0.3784896433353424,0.36173948645591736,0.3724873661994934,0.390473872423172,0.45500031067565516
qwen2_5_vl_7b,REAL,20,7801,0.37527725100517273,0.36325812339782715,0.3741152584552765,0.38545045256614685,0.5645152983969696
qwen2_5_vl_7b,REAL,21,7801,0.38258540630340576,0.3662909269332886,0.3820987641811371,0.3982388973236084,0.6615678540820822
qwen2_5_vl_7b,REAL,22,7801,0.3672907054424286,0.3506847620010376,0.36521488428115845,0.38113903999328613,0.3489760158394204
qwen2_5_vl_7b,REAL,23,7801,0.36303550004959106,0.3509264290332794,0.3612339496612549,0.37335771322250366,0.5512679904994825
qwen2_5_vl_7b,REAL,24,7801,0.34945985674858093,0.32178881764411926,0.3456340432167053,0.3737502992153168,0.44357311429673385
qwen2_5_vl_7b,REAL,25,7801,0.2961595356464386,0.2805262506008148,0.29341986775398254,0.3079105019569397,0.4456903968755545
qwen2_5_vl_7b,REAL,26,7801,0.27742066979408264,0.2633730173110962,0.27497339248657227,0.28845855593681335,0.5141176895359402
qwen2_5_vl_7b,REAL,27,7801,0.302349328994751,0.2842562198638916,0.3012365400791168,0.3189128339290619,0.4229157022193437
qwen2_5_vl_7b,REAL,28,7801,0.4045979976654053,0.37508609890937805,0.39919739961624146,0.42864885926246643,0.48592086503297915
