model,case_id,layer,regions,permutations,median_path_shapley_cosine,median_path_shapley_norm_relative_error,vector_completeness_relative_error
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:9:21,21,8,128,0.9999914169311523,0.004141110926866531,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:9:21,21,16,128,0.9999643564224243,0.008396306075155735,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:477118:72:21,21,8,128,0.9999974966049194,0.0021915496326982975,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:477118:72:21,21,16,128,0.9999993443489075,0.0011046796571463346,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:478407:4:28,28,8,128,0.9999979138374329,0.0022328258492052555,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:478407:4:28,28,16,128,0.9999988675117493,0.0017090794863179326,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:501429:15:28,28,8,128,0.999998927116394,0.0023266987409442663,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:501429:15:28,28,16,128,0.9999980330467224,0.0032201060093939304,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:513965:4:7,7,8,128,0.9999516010284424,0.009746016934514046,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:513965:4:7,7,16,128,0.9999737739562988,0.007426304742693901,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:544782:41:28,28,8,128,0.999995231628418,0.003149965777993202,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:544782:41:28,28,16,128,0.9999923706054688,0.004020491614937782,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:562507:7:14,14,8,128,0.9999920129776001,0.003991039469838142,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:562507:7:14,14,16,128,0.9999967217445374,0.0025555365718901157,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:22:21,21,8,128,0.9999908804893494,0.004428585525602102,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:22:21,21,16,128,0.9999898076057434,0.004600333049893379,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:64:14,14,8,128,0.99996417760849,0.008019598200917244,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:64:14,14,16,128,0.9999833106994629,0.005810467526316643,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:569997:30:14,14,8,128,0.9999744892120361,0.007623833604156971,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:569997:30:14,14,16,128,0.9999740123748779,0.007608908228576183,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:571678:7:21,21,8,128,0.999973714351654,0.007387526798993349,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:571678:7:21,21,16,128,0.999987781047821,0.005113153252750635,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:71302:9:21,21,8,128,0.9999891519546509,0.004782591946423054,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:71302:9:21,21,16,128,0.9999778270721436,0.006691643036901951,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:7,7,8,128,0.9999942183494568,0.003438914194703102,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:7,7,16,128,0.9999971985816956,0.002278068568557501,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:14,14,8,128,0.9999997615814209,0.0007043967489153147,0.0
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:14,14,16,128,0.9999992847442627,0.0011908262968063354,0.0
