model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,deterministic_random_region,0.0,0.5800399780273438
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,deterministic_random_region,0.25,0.6102848649024963
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,deterministic_random_region,0.5,0.6408300995826721
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,deterministic_random_region,0.75,0.671633243560791
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,deterministic_random_region,1.0,0.7026597857475281
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,deterministic_random_region,1.25,0.7338805198669434
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_p_ffn_token,0.0,0.5697118639945984
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_p_ffn_token,0.25,0.5739974975585938
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_p_ffn_token,0.5,0.5783388018608093
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_p_ffn_token,0.75,0.5827341079711914
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_p_ffn_token,1.0,0.5871831178665161
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_p_ffn_token,1.25,0.5916833281517029
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_8_region,0.0,0.490701287984848
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_8_region,0.25,0.5145073533058167
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_8_region,0.5,0.5385433435440063
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_8_region,0.75,0.5627766847610474
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_8_region,1.0,0.5871831178665161
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,highest_8_region,1.25,0.6117398738861084
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,deterministic_random_region,0.0,0.503231942653656
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,deterministic_random_region,0.25,0.5239728689193726
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,deterministic_random_region,0.5,0.5448910593986511
