feature_set,seed,threshold_rule,auroc,real_aupr,hall_aupr,precision,recall,f1,decision_threshold
F,45,fixed_0.5,0.8666758388101614,0.9820252458599195,0.3986485815706126,0.9077291791491912,0.9780503550677857,0.9415786202610317,0.5
F,45,train_f1,0.8666758388101614,0.9820252458599195,0.3986485815706126,0.9107358262967431,0.9748224661071659,0.9416900530090427,0.5186372399330139
C_JS,43,fixed_0.5,0.8018640617779142,0.9693226999684408,0.3584719230285014,0.9060838747784997,0.9903163331181407,0.946329426280074,0.5
C_JS,43,train_f1,0.8018640617779142,0.9693226999684408,0.3584719230285014,0.9132281553398058,0.9715945771465462,0.9415076634344698,0.591012179851532
C_JS,44,fixed_0.5,0.7657293441564627,0.9635041928738934,0.3363602878754147,0.9154754505904288,0.9509360877985797,0.9328689043698544,0.5
C_JS,44,train_f1,0.7657293441564627,0.9635041928738934,0.3363602878754147,0.9073634204275535,0.986442866365397,0.9452520878441076,0.38326939940452576
C_JS,45,fixed_0.5,0.7966218289959678,0.9692551746076472,0.36682567784382614,0.913647342995169,0.9767591994835377,0.9441497659906396,0.5
C_JS,45,train_f1,0.7966218289959678,0.9692551746076472,0.36682567784382614,0.916310323762981,0.9683666881859264,0.9416195856873822,0.5330812335014343
D_JS,43,fixed_0.5,0.8147720898728953,0.9737699874599083,0.3561797578380898,0.9087677725118484,0.9903163331181407,0.9477911646586346,0.5
D_JS,43,train_f1,0.8147720898728953,0.9737699874599083,0.3561797578380898,0.9130166563849476,0.9554551323434474,0.9337539432176656,0.6812629103660583
D_JS,44,fixed_0.5,0.8173614565363869,0.9731189068808193,0.36722153768098925,0.9088743299583085,0.9851517107811492,0.9454770755885997,0.5
D_JS,44,train_f1,0.8173614565363869,0.9731189068808193,0.36722153768098925,0.9136558481322719,0.9632020658489348,0.9377749842866122,0.5876721739768982
D_JS,45,fixed_0.5,0.8122109451893871,0.9724476779536034,0.37073969776943877,0.9053497942386831,0.9941897998708844,0.9476923076923077,0.5
D_JS,45,train_f1,0.8122109451893871,0.9724476779536034,0.37073969776943877,0.9123867069486404,0.9748224661071659,0.9425717852684145,0.6705034375190735
E_JS,43,fixed_0.5,0.8017264796254944,0.9683265728278796,0.36082489819549635,0.9079572446555819,0.987088444157521,0.9458707083204454,0.5
E_JS,43,train_f1,0.8017264796254944,0.9683265728278796,0.36082489819549635,0.9118889559444779,0.9754680438992899,0.9426076107298814,0.591428279876709
E_JS,44,fixed_0.5,0.7863807780094332,0.9656169138537303,0.3732996038664087,0.9209511568123393,0.9251129761136216,0.9230273752012882,0.5
E_JS,44,train_f1,0.7863807780094332,0.9656169138537303,0.3732996038664087,0.9116251482799526,0.9922530664945126,0.9502318392581144,0.3478738069534302
E_JS,45,fixed_0.5,0.793522702819023,0.9667327179164743,0.36775068326392735,0.9087136929460581,0.9896707553260168,0.9474660074165636,0.5
E_JS,45,train_f1,0.793522702819023,0.9667327179164743,0.36775068326392735,0.9169719169719169,0.9696578437701743,0.942579228114214,0.6008144021034241
