model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,js,REAL,26,7801,0.0015959696508259886,0.0004998051936545696,0.0009211458798890912,0.0020111295042861146
qwen2_5_vl_7b,js,REAL,27,7801,0.0018084422198375502,0.0007987600027669611,0.0013027305483470529,0.002265232632160282
qwen2_5_vl_7b,js,REAL,28,7801,0.009803770049103775,0.005816445514051963,0.009280455915708422,0.012915624906696855
qwen2_5_vl_7b,js,HALL,1,916,0.0007915392683478203,0.00038168825534978356,0.0006358541999848813,0.0009988849748499627
qwen2_5_vl_7b,js,HALL,2,916,0.00786953812497528,0.003272664428479439,0.005791186117161213,0.010637996838912535
qwen2_5_vl_7b,js,HALL,3,916,0.004665091886744796,0.0025708157223041143,0.003596687445057315,0.005561974408823614
qwen2_5_vl_7b,js,HALL,4,916,0.0031124842919685956,0.0018670686854172732,0.002486661625893184,0.003509063615958725
qwen2_5_vl_7b,js,HALL,5,916,0.0020520174537789772,0.001205397465187621,0.0016305740903272976,0.0023591887975399767
qwen2_5_vl_7b,js,HALL,6,916,0.0019462961226077132,0.001285868150581223,0.0016809458366615012,0.0023056328349842174
qwen2_5_vl_7b,js,HALL,7,916,0.00047012126980363207,0.00024053313155788776,0.0003454293066392851,0.0005597078395669283
qwen2_5_vl_7b,js,HALL,8,916,0.0006180152729900283,0.00029936528359693316,0.0004395146089606391,0.0006757705797543339
qwen2_5_vl_7b,js,HALL,9,916,0.0013944287532604847,0.000916836655164062,0.001216313069103071,0.0016808578080554685
qwen2_5_vl_7b,js,HALL,10,916,0.004281164657632472,0.0011164288623774228,0.0026379444379519704,0.005553830860410957
qwen2_5_vl_7b,js,HALL,11,916,0.0018350181150626607,0.0009580415745827028,0.00139944762363508,0.002090831132496546
qwen2_5_vl_7b,js,HALL,12,916,0.0010893232485664405,0.0007707967945814938,0.0009913622478013116,0.0012976169370976954
qwen2_5_vl_7b,js,HALL,13,916,0.0007821814999647238,0.0005057350119426172,0.0006768669179061904,0.0008999990895104571
qwen2_5_vl_7b,js,HALL,14,916,0.0008662756874630536,0.0004962807629535831,0.0006785130267133205,0.0010033037201703913
qwen2_5_vl_7b,js,HALL,15,916,0.0011323087161287744,0.0005807394489084415,0.0008459721132947099,0.001427651492429169
qwen2_5_vl_7b,js,HALL,16,916,0.0013918832466871156,0.0009036098124980102,0.001192568277627956,0.001621795282537608
qwen2_5_vl_7b,js,HALL,17,916,0.0010636157734082714,0.0006902617682316792,0.0009355675930661581,0.0012764968523735303
qwen2_5_vl_7b,js,HALL,18,916,0.0010190486942831816,0.0007293112309229035,0.0009087069126073573,0.0011886784118432705
