model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
qwen2_5_vl_7b,qwen2_5_vl_7b:320180:14:14,14,fp32_trapezoid_vs_gauss_k64,1.0,1.5760121051987698e-14,1.0,1.5831299978754395e-06,6.556510925292969e-07,5.376831268222304e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:322226:7:28,28,native_vs_fp32_gauss_k64,0.9999990634270611,2.502797473173886e-08,1.0,0.0011459987227415117,0.010009974241256714,4.623591848940123e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:322226:7:28,28,fp32_trapezoid_vs_gauss_k64,1.0,2.0162453010574314e-15,1.0,2.1059352837663558e-07,1.1920928955078125e-07,5.210365998209454e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:344279:55:21,21,native_vs_fp32_gauss_k64,0.9999995985016081,2.393195130784593e-09,1.0,5.924407318158584e-05,8.565187454223633e-05,2.784158596114139e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:344279:55:21,21,fp32_trapezoid_vs_gauss_k64,1.0,1.939605916885345e-14,1.0,1.0104239003832263e-06,5.364418029785156e-07,3.833614755421877e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:344844:7:14,14,native_vs_fp32_gauss_k64,0.9999993515062888,1.882398123003826e-09,1.0,0.0010421984355701935,0.0010768473148345947,2.0701395442301873e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:344844:7:14,14,fp32_trapezoid_vs_gauss_k64,1.0,5.873015785421217e-15,1.0,7.539829664280859e-07,3.5762786865234375e-07,3.1453514566237573e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:373140:62:14,14,native_vs_fp32_gauss_k64,0.9999991233043245,4.80142167916405e-09,1.0,0.00039120725113281373,0.00040155649185180664,1.8182107623943011e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:373140:62:14,14,fp32_trapezoid_vs_gauss_k64,1.0,2.6768265783516567e-14,1.0,1.2787464601900332e-06,8.344650268554688e-07,3.8524790397787e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:7:21,21,native_vs_fp32_gauss_k64,1.0,1.4718560847429815e-09,1.0,0.0008138865501934714,6.091594696044922e-05,2.0026666334160836e-06
