model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_js_residual_real_auroc
qwen2_5_vl_7b,REAL,15,7801,-0.03262913599610329,-0.03939291834831238,-0.033180758357048035,-0.02668824791908264,0.513851935901175
qwen2_5_vl_7b,REAL,16,7801,-0.02317246049642563,-0.029412150382995605,-0.02354806661605835,-0.01731589436531067,0.4893635571298943
qwen2_5_vl_7b,REAL,17,7801,-0.03788111358880997,-0.04357978701591492,-0.03787714242935181,-0.032415807247161865,0.42999553858563644
qwen2_5_vl_7b,REAL,18,7801,-0.024045277386903763,-0.028516680002212524,-0.024112939834594727,-0.019709721207618713,0.49447095294579296
qwen2_5_vl_7b,REAL,19,7801,-0.03091306984424591,-0.03682245314121246,-0.030789583921432495,-0.02509501576423645,0.5750232027133461
qwen2_5_vl_7b,REAL,20,7801,-0.035155750811100006,-0.040978461503982544,-0.035049259662628174,-0.029373109340667725,0.4702921302777776
qwen2_5_vl_7b,REAL,21,7801,-0.036055728793144226,-0.044082820415496826,-0.036210209131240845,-0.028248369693756104,0.34018130583415296
qwen2_5_vl_7b,REAL,22,7801,-0.04411783441901207,-0.05311200022697449,-0.04491966962814331,-0.03530621528625488,0.5593147698565126
qwen2_5_vl_7b,REAL,23,7801,-0.03272012993693352,-0.03865706920623779,-0.03250578045845032,-0.02653336524963379,0.4670130327037906
qwen2_5_vl_7b,REAL,24,7801,-0.04617777839303017,-0.05933162569999695,-0.04647713899612427,-0.032107532024383545,0.5733068596624886
qwen2_5_vl_7b,REAL,25,7801,-0.03365464136004448,-0.041314780712127686,-0.032951295375823975,-0.025327563285827637,0.45317698044534654
qwen2_5_vl_7b,REAL,26,7801,-0.029179807752370834,-0.035721778869628906,-0.02856314182281494,-0.022213369607925415,0.3688940338518911
qwen2_5_vl_7b,REAL,27,7801,-0.029285792261362076,-0.03705877065658569,-0.028904050588607788,-0.021033644676208496,0.4854228743487707
qwen2_5_vl_7b,REAL,28,7801,-0.00920620746910572,-0.01676325500011444,-0.009275615215301514,-0.0017359554767608643,0.5270003033985677
