model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
qwen2_5_vl_7b,HALL,23,916,0.6404337882995605,0.589786946773529,0.6438780426979065,0.7023001909255981,0.5365490316155862
qwen2_5_vl_7b,HALL,24,916,0.6562080979347229,0.6100331544876099,0.657919704914093,0.7045166492462158,0.48404386628295887
qwen2_5_vl_7b,HALL,25,916,0.704422116279602,0.6540828943252563,0.7013144493103027,0.7557924389839172,0.4706533257129167
qwen2_5_vl_7b,HALL,26,916,0.6939783692359924,0.6418886184692383,0.6919155120849609,0.7439008951187134,0.4886651666536985
qwen2_5_vl_7b,HALL,27,916,0.7119275331497192,0.6629982590675354,0.7127882242202759,0.7644350528717041,0.45931842239462073
qwen2_5_vl_7b,HALL,28,916,0.7091360688209534,0.6611771583557129,0.7098936438560486,0.7546059489250183,0.43675070489787166
qwen2_5_vl_7b,REAL,1,7801,0.6268852949142456,0.5826445817947388,0.6388345956802368,0.683043360710144,0.4557366259728206
qwen2_5_vl_7b,REAL,2,7801,0.6110647320747375,0.5684619545936584,0.621460497379303,0.6643407940864563,0.4571422933685022
qwen2_5_vl_7b,REAL,3,7801,0.5961536765098572,0.5627096891403198,0.6022411584854126,0.6350729465484619,0.5456071861798034
qwen2_5_vl_7b,REAL,4,7801,0.5899533033370972,0.5544006824493408,0.5936791896820068,0.6282447576522827,0.5524398814618438
qwen2_5_vl_7b,REAL,5,7801,0.5767302513122559,0.5390699505805969,0.575076699256897,0.6113793849945068,0.5793050689392077
qwen2_5_vl_7b,REAL,6,7801,0.5612062215805054,0.526420533657074,0.5583756566047668,0.592989444732666,0.5520721086592302
qwen2_5_vl_7b,REAL,7,7801,0.5315090417861938,0.4975742995738983,0.5284827947616577,0.562609851360321,0.5706496032028141
qwen2_5_vl_7b,REAL,8,7801,0.5430619120597839,0.5097809433937073,0.5405582785606384,0.5741217136383057,0.5392831872971162
qwen2_5_vl_7b,REAL,9,7801,0.5642086267471313,0.517781138420105,0.5591045022010803,0.6047465801239014,0.5471786172302397
qwen2_5_vl_7b,REAL,10,7801,0.5891571044921875,0.5489768385887146,0.5891817808151245,0.631083607673645,0.5485163418193503
qwen2_5_vl_7b,REAL,11,7801,0.5529054999351501,0.5200482606887817,0.5528446435928345,0.5854085683822632,0.5466901427372708
qwen2_5_vl_7b,REAL,12,7801,0.559055745601654,0.5133596658706665,0.5558120012283325,0.603561520576477,0.5340576787546553
qwen2_5_vl_7b,REAL,13,7801,0.5737639665603638,0.5302796959877014,0.5728738903999329,0.6185959577560425,0.5415113055150806
qwen2_5_vl_7b,REAL,14,7801,0.5653411149978638,0.5255699157714844,0.5650718212127686,0.6053517460823059,0.5266319008480046
qwen2_5_vl_7b,REAL,15,7801,0.57566899061203,0.5252323746681213,0.5749829411506653,0.6275159120559692,0.5108870825540786
qwen2_5_vl_7b,REAL,16,7801,0.571390688419342,0.5199776887893677,0.5707477331161499,0.6208624243736267,0.5265768328884047
qwen2_5_vl_7b,REAL,17,7801,0.590211033821106,0.5356966257095337,0.5920740365982056,0.6466090083122253,0.5028358949614007
qwen2_5_vl_7b,REAL,18,7801,0.5903919339179993,0.5450873374938965,0.5917404890060425,0.6394006609916687,0.5318788208207547
qwen2_5_vl_7b,REAL,19,7801,0.5735486745834351,0.5271499156951904,0.5716167092323303,0.6201382875442505,0.4845946858229463
qwen2_5_vl_7b,REAL,20,7801,0.6356713175773621,0.5827410221099854,0.6401302814483643,0.696434497833252,0.5151560039609746
qwen2_5_vl_7b,REAL,21,7801,0.6592492461204529,0.6128729581832886,0.6666107177734375,0.718920886516571,0.564221416020452
qwen2_5_vl_7b,REAL,22,7801,0.6475594639778137,0.6066223382949829,0.6549720764160156,0.7015312910079956,0.5401347464690732
qwen2_5_vl_7b,REAL,23,7801,0.6489437818527222,0.6055443286895752,0.6576281785964966,0.7045749425888062,0.5365490316155862
qwen2_5_vl_7b,REAL,24,7801,0.6515966653823853,0.6075981259346008,0.6529272198677063,0.6985726356506348,0.48404386628295887
qwen2_5_vl_7b,REAL,25,7801,0.6927154064178467,0.6460479497909546,0.6987369060516357,0.749032735824585,0.4706533257129167
qwen2_5_vl_7b,REAL,26,7801,0.6866199374198914,0.6398036479949951,0.6917982697486877,0.7412433624267578,0.4886651666536985
qwen2_5_vl_7b,REAL,27,7801,0.696167528629303,0.647148072719574,0.7050154209136963,0.75565505027771,0.45931842239462073
qwen2_5_vl_7b,REAL,28,7801,0.6884973645210266,0.649145245552063,0.6953673362731934,0.7385437488555908,0.43675070489787166
