model,label,layer,n_mentions,spearman,pearson_log
qwen2_5_vl_7b,REAL,19,7801,0.952620903154893,0.9643593675028096
qwen2_5_vl_7b,REAL,20,7801,0.932027640060123,0.9686054258797482
qwen2_5_vl_7b,REAL,21,7801,0.9574242821563347,0.971563372350071
qwen2_5_vl_7b,REAL,22,7801,0.9252627004962237,0.9508597153235604
qwen2_5_vl_7b,REAL,23,7801,0.9700170577193764,0.9779068552069713
qwen2_5_vl_7b,REAL,24,7801,0.9093440018069333,0.929586336615198
qwen2_5_vl_7b,REAL,25,7801,0.9669220540514148,0.9718202095584285
qwen2_5_vl_7b,REAL,26,7801,0.9764891524630251,0.9797814385489019
qwen2_5_vl_7b,REAL,27,7801,0.9563921823755268,0.9614725867988008
qwen2_5_vl_7b,REAL,28,7801,0.9200532484575789,0.9353751479583398
qwen2_5_vl_7b,HALL,1,916,0.9331229073756009,0.9442028695964657
qwen2_5_vl_7b,HALL,2,916,0.9037427242890921,0.9054001620727494
qwen2_5_vl_7b,HALL,3,916,0.9212039776813793,0.9407499035243012
qwen2_5_vl_7b,HALL,4,916,0.9740933909350451,0.9775444520044471
qwen2_5_vl_7b,HALL,5,916,0.9790577562577611,0.9761419707586727
qwen2_5_vl_7b,HALL,6,916,0.9825463659093084,0.9824639227137733
qwen2_5_vl_7b,HALL,7,916,0.9864392357184739,0.9850524760355313
qwen2_5_vl_7b,HALL,8,916,0.9854012932359258,0.9878064742346941
qwen2_5_vl_7b,HALL,9,916,0.9855953668400967,0.9851604794182257
qwen2_5_vl_7b,HALL,10,916,0.8943578525217037,0.9256884900869609
qwen2_5_vl_7b,HALL,11,916,0.9722765622242052,0.9725530502624967
qwen2_5_vl_7b,HALL,12,916,0.9887297414207327,0.9920226721305665
qwen2_5_vl_7b,HALL,13,916,0.9837826560798811,0.9888132593887456
qwen2_5_vl_7b,HALL,14,916,0.9806123592097877,0.9901898477531235
qwen2_5_vl_7b,HALL,15,916,0.9812928502768983,0.9892496823135934
qwen2_5_vl_7b,HALL,16,916,0.9886916917527226,0.9903176795431095
qwen2_5_vl_7b,HALL,17,916,0.9863144228148744,0.9904919847622098
qwen2_5_vl_7b,HALL,18,916,0.9888044823976567,0.9917213758063466
qwen2_5_vl_7b,HALL,19,916,0.9683481408787006,0.9799930272877092
qwen2_5_vl_7b,HALL,20,916,0.9646357923093922,0.9775982875130915
qwen2_5_vl_7b,HALL,21,916,0.9791020980949169,0.9853307794674081
qwen2_5_vl_7b,HALL,22,916,0.9303402541208827,0.9476493425197875
qwen2_5_vl_7b,HALL,23,916,0.9698046297093587,0.9733483155357754
qwen2_5_vl_7b,HALL,24,916,0.9381955823195667,0.9499214161051991
qwen2_5_vl_7b,HALL,25,916,0.9817645599896264,0.9840731464459131
qwen2_5_vl_7b,HALL,26,916,0.9888333826584226,0.989727885450575
qwen2_5_vl_7b,HALL,27,916,0.981270242185278,0.9855486655815598
qwen2_5_vl_7b,HALL,28,916,0.9480165966500209,0.9563497588739622
