feature_set,seed,threshold_rule,decision_threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
AE+S,43,fixed_0.5,0.5,0.8632257017571712,0.9812780472876598,0.9001761597181445,0.9896707553260168,0.9428044280442804,0.3848049565469114,0.4482758620689655,0.07103825136612021,0.12264150943396226
AE+S,43,train_f1,0.5420577526092529,0.8632257017571712,0.9812780472876598,0.9075075075075075,0.9754680438992899,0.940261356565028,0.3848049565469114,0.43283582089552236,0.15846994535519127,0.232
AE+S,44,fixed_0.5,0.5,0.8648202436262422,0.9814753852848057,0.901060070671378,0.9877340219496449,0.9424083769633508,0.3975405981799485,0.4411764705882353,0.08196721311475409,0.1382488479262673
AE+S,44,train_f1,0.5121787786483765,0.8648202436262422,0.9814753852848057,0.901060070671378,0.9877340219496449,0.9424083769633508,0.3975405981799485,0.4411764705882353,0.08196721311475409,0.1382488479262673
AE+S,45,fixed_0.5,0.5,0.8654058497109012,0.9816892430057964,0.90253987005316,0.986442866365397,0.9426280074028378,0.39605750969353637,0.46153846153846156,0.09836065573770492,0.16216216216216217
AE+S,45,train_f1,0.5108517408370972,0.8654058497109012,0.9816892430057964,0.9045077105575327,0.9845061329890252,0.9428129829984544,0.39605750969353637,0.4782608695652174,0.12021857923497267,0.19213973799126638
AE+I+S,43,fixed_0.5,0.5,0.858731351444789,0.9798664212121617,0.9008849557522124,0.9857972885732731,0.9414303329223181,0.38385009325923314,0.40540540540540543,0.08196721311475409,0.13636363636363635
AE+I+S,43,train_f1,0.5212583541870117,0.858731351444789,0.9798664212121617,0.9066985645933014,0.9786959328599096,0.941322570630239,0.38385009325923314,0.45,0.14754098360655737,0.2222222222222222
AE+I+S,44,fixed_0.5,0.5,0.8541170577174767,0.9791839081340382,0.9027283511269276,0.9825693996126533,0.9409582689335394,0.3741669185571473,0.41304347826086957,0.10382513661202186,0.16593886462882096
AE+I+S,44,train_f1,0.506463348865509,0.8541170577174767,0.9791839081340382,0.9039379474940334,0.9780503550677857,0.9395348837209302,0.3741669185571473,0.39285714285714285,0.12021857923497267,0.18410041841004185
AE+I+S,45,fixed_0.5,0.5,0.8616170488981081,0.9804627812241723,0.9106714628297362,0.9806326662362814,0.9443580976064656,0.40609994601238114,0.53125,0.18579234972677597,0.27530364372469635
AE+I+S,45,train_f1,0.521270751953125,0.8616170488981081,0.9804627812241723,0.913572732805843,0.9690122659780503,0.9404761904761905,0.40609994601238114,0.4606741573033708,0.22404371584699453,0.3014705882352941
AE+N,43,fixed_0.5,0.5,0.8642946092490483,0.9812226817795193,0.9054696789536266,0.9832149774047773,0.9427421850820179,0.40948632849390754,0.48,0.13114754098360656,0.20600858369098712
AE+N,43,train_f1,0.5070082545280457,0.8642946092490483,0.9812226817795193,0.9080597014925373,0.9819238218205294,0.9435483870967742,0.40948632849390754,0.5087719298245614,0.15846994535519127,0.24166666666666667
AE+N,44,fixed_0.5,0.5,0.8655610706008107,0.9814881812403748,0.904424778761062,0.9896707553260168,0.9451294697903823,0.4139665220647744,0.5675675675675675,0.11475409836065574,0.19090909090909092
AE+N,44,train_f1,0.5409836173057556,0.8655610706008107,0.9814881812403748,0.9105105105105105,0.9786959328599096,0.9433727442439328,0.4139665220647744,0.5074626865671642,0.18579234972677597,0.272
AE+N,45,fixed_0.5,0.5,0.8584456038974555,0.9800313735155692,0.9084928229665071,0.9806326662362814,0.943185346165787,0.3988768898965236,0.5,0.16393442622950818,0.24691358024691357
AE+N,45,train_f1,0.5301010608673096,0.8584456038974555,0.9800313735155692,0.9126743480897513,0.9715945771465462,0.941213258286429,0.3988768898965236,0.46987951807228917,0.21311475409836064,0.2932330827067669
AE+S+kappa,43,fixed_0.5,0.5,0.8671062240049106,0.9818115497734486,0.903112155020552,0.9928986442866365,0.9458794587945879,0.41931155219043076,0.6206896551724138,0.09836065573770492,0.16981132075471697
AE+S+kappa,43,train_f1,0.5388975143432617,0.8671062240049106,0.9818115497734486,0.9117824773413897,0.974176888315042,0.9419475655430711,0.41931155219043076,0.4805194805194805,0.20218579234972678,0.2846153846153846
AE+S+kappa,44,fixed_0.5,0.5,0.8674484155122113,0.9816492728555319,0.9024103468547913,0.9909619109102646,0.9446153846153846,0.4117871938007588,0.5483870967741935,0.09289617486338798,0.1588785046728972
AE+S+kappa,44,train_f1,0.5357263684272766,0.8674484155122113,0.9816492728555319,0.9062126642771804,0.9793415106520336,0.9413589823146137,0.4117871938007588,0.4482758620689655,0.14207650273224043,0.2157676348547718
AE+S+kappa,45,fixed_0.5,0.5,0.8666758388101614,0.9820252458599195,0.9077291791491912,0.9780503550677857,0.9415786202610317,0.3986485815706126,0.4603174603174603,0.15846994535519127,0.23577235772357724
AE+S+kappa,45,train_f1,0.5186372399330139,0.8666758388101614,0.9820252458599195,0.9107358262967431,0.9748224661071659,0.9416900530090427,0.3986485815706126,0.47297297297297297,0.1912568306010929,0.2723735408560311
AE+S+N,43,fixed_0.5,0.5,0.8749872119153199,0.9825621453509699,0.9098557692307693,0.9774047772756617,0.9424214130096483,0.4459586569053534,0.4852941176470588,0.18032786885245902,0.26294820717131473
AE+S+N,43,train_f1,0.574211061000824,0.8749872119153199,0.9825621453509699,0.923697270471464,0.961265332472563,0.9421069281872825,0.4459586569053534,0.5,0.32786885245901637,0.39603960396039606
AE+S+N,44,fixed_0.5,0.5,0.8782151008759398,0.9834190349685208,0.9121011438892234,0.9780503550677857,0.9439252336448598,0.45004773459769654,0.5211267605633803,0.20218579234972678,0.29133858267716534
AE+S+N,44,train_f1,0.5367296934127808,0.8782151008759398,0.9834190349685208,0.9188034188034188,0.9715945771465462,0.9444618763727644,0.45004773459769654,0.5319148936170213,0.273224043715847,0.36101083032490977
AE+S+N,45,fixed_0.5,0.5,0.8723890258830833,0.9822211418169601,0.9095808383233533,0.9806326662362814,0.9437713575644611,0.4360505027349399,0.5161290322580645,0.17486338797814208,0.2612244897959184
