model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,generation,0,12,916,13.308155162105393,13.228219985961914,10.845778465270996,15.588828325271606
qwen2_5_vl_7b,raw,generation,0,13,916,14.856094887162921,14.934155464172363,12.787543058395386,16.98389482498169
qwen2_5_vl_7b,raw,generation,0,14,916,15.077205902624339,14.970185279846191,12.690075397491455,17.387495040893555
qwen2_5_vl_7b,raw,generation,0,15,916,12.15090322182168,11.852943897247314,10.350669384002686,13.611835479736328
qwen2_5_vl_7b,raw,generation,0,16,916,15.783660329064949,15.567967891693115,14.047883749008179,17.424506187438965
qwen2_5_vl_7b,raw,generation,0,17,916,12.907693317623638,12.667651176452637,9.919342041015625,15.275739908218384
qwen2_5_vl_7b,raw,generation,0,18,916,16.238379207761007,15.771088123321533,13.44369101524353,18.272282600402832
qwen2_5_vl_7b,raw,generation,0,19,916,20.67365528818822,20.148807525634766,17.808900833129883,22.825863361358643
qwen2_5_vl_7b,raw,generation,0,20,916,25.92333333461045,25.50139617919922,22.543782711029053,28.66938591003418
qwen2_5_vl_7b,raw,generation,0,21,916,21.508800961565242,21.38710594177246,17.652999877929688,24.83706045150757
qwen2_5_vl_7b,raw,generation,0,22,916,22.899155492865884,22.097671508789062,18.453924655914307,26.71294116973877
qwen2_5_vl_7b,raw,generation,0,23,916,15.034615299066601,14.484834671020508,11.458792448043823,18.032923221588135
qwen2_5_vl_7b,raw,generation,0,24,916,24.141531578838563,22.95866107940674,19.814598560333252,27.012577056884766
qwen2_5_vl_7b,raw,generation,0,25,916,24.895189990122766,24.19827365875244,19.74486780166626,28.736392498016357
qwen2_5_vl_7b,raw,generation,0,26,916,24.275691561303283,23.822284698486328,20.141741275787354,28.29448938369751
qwen2_5_vl_7b,raw,generation,0,27,916,25.78261601456388,24.46964931488037,19.82387685775757,29.365529537200928
qwen2_5_vl_7b,raw,generation,0,28,916,172.81935548574123,172.63774871826172,153.41155242919922,191.74159622192383
qwen2_5_vl_7b,raw,generation,1,1,7801,13.903729382852243,13.744129180908203,10.825658798217773,16.04850959777832
qwen2_5_vl_7b,raw,generation,1,2,7801,28.460241091830532,28.562650680541992,20.438447952270508,34.83887481689453
qwen2_5_vl_7b,raw,generation,1,3,7801,15.45217095025303,15.348082542419434,11.47228717803955,18.852703094482422
qwen2_5_vl_7b,raw,generation,1,4,7801,24.70975146240461,24.443979263305664,20.543731689453125,28.823139190673828
qwen2_5_vl_7b,raw,generation,1,5,7801,17.92601542621985,16.20246124267578,11.086828231811523,23.61958122253418
qwen2_5_vl_7b,raw,generation,1,6,7801,25.070106873831953,23.364784240722656,15.809343338012695,31.905309677124023
qwen2_5_vl_7b,raw,generation,1,7,7801,12.316548401813387,12.013357162475586,9.79578685760498,14.426039695739746
qwen2_5_vl_7b,raw,generation,1,8,7801,10.863675031520177,10.111695289611816,6.760025501251221,14.024147987365723
qwen2_5_vl_7b,raw,generation,1,9,7801,11.169058523244116,10.131135940551758,8.220292091369629,13.959091186523438
qwen2_5_vl_7b,raw,generation,1,10,7801,21.084683944744693,20.16151237487793,13.913942337036133,27.318754196166992
qwen2_5_vl_7b,raw,generation,1,11,7801,10.605681349812158,10.314967155456543,8.084630966186523,12.72374153137207
qwen2_5_vl_7b,raw,generation,1,12,7801,9.819086847084025,9.569892883300781,5.995743274688721,12.742241859436035
qwen2_5_vl_7b,raw,generation,1,13,7801,11.556594443495435,11.344939231872559,8.162270545959473,14.526019096374512
qwen2_5_vl_7b,raw,generation,1,14,7801,11.072873506526461,10.889298439025879,7.305017948150635,14.291476249694824
