Q,label,layer,mean,median,q25,q75
C,0,23,0.26480392,0.26534498,0.22810804471373558,0.2980734333395958
C,0,24,0.26461217,0.2529537,0.21742814779281616,0.29339805990457535
C,0,25,0.28542104,0.28230727,0.24540260061621666,0.324624627828598
C,0,26,0.30529112,0.3050254,0.2678087204694748,0.34031257033348083
C,0,27,0.2731046,0.26626432,0.23060091212391853,0.3075278550386429
C,0,28,0.30228582,0.2708035,0.21635642647743225,0.37460286170244217
C,1,1,0.25625265,0.25565267,0.22230051457881927,0.2887980043888092
C,1,2,0.20846465,0.20617959,0.17707814276218414,0.2371097058057785
C,1,3,0.17287518,0.17062783,0.15156851708889008,0.192111536860466
C,1,4,0.1782404,0.17412877,0.15060223639011383,0.2013910859823227
C,1,5,0.17420858,0.16709948,0.14272166788578033,0.19827517867088318
C,1,6,0.14530554,0.13762242,0.11524101346731186,0.1681755781173706
C,1,7,0.14822198,0.14561498,0.12005654722452164,0.17394383251667023
C,1,8,0.12265537,0.11847736,0.09989938884973526,0.14019468426704407
C,1,9,0.17014304,0.16579872,0.13655470311641693,0.1971006691455841
C,1,10,0.16196221,0.1516227,0.13178737461566925,0.17560195922851562
C,1,11,0.15062816,0.1487402,0.12565523386001587,0.172618567943573
C,1,12,0.18646245,0.18430406,0.14997942745685577,0.21878273785114288
C,1,13,0.18251258,0.17788531,0.1489308476448059,0.21212215721607208
C,1,14,0.18185897,0.17576066,0.1490672528743744,0.20937314629554749
C,1,15,0.22343893,0.21188806,0.1762034296989441,0.257028728723526
C,1,16,0.22032884,0.21758085,0.17826597392559052,0.25953182578086853
C,1,17,0.2710716,0.2691124,0.23484443128108978,0.3053843677043915
C,1,18,0.24548994,0.24343537,0.20924031734466553,0.27965426445007324
C,1,19,0.24032296,0.23704812,0.2001737356185913,0.27591168880462646
C,1,20,0.27168906,0.27161103,0.23727700114250183,0.3046063482761383
C,1,21,0.26694348,0.26589516,0.23012250661849976,0.3022165298461914
C,1,22,0.24279961,0.23628287,0.2063618302345276,0.26877138018608093
C,1,23,0.248545,0.24323714,0.21096542477607727,0.278852254152298
C,1,24,0.25405526,0.23835784,0.20348277688026428,0.28049930930137634
C,1,25,0.27861485,0.2771434,0.24219965934753418,0.31329962611198425
C,1,26,0.28655303,0.28484994,0.25260308384895325,0.31917378306388855
C,1,27,0.260509,0.25340554,0.21908879280090332,0.2920840382575989
C,1,28,0.2912369,0.24299508,0.18415002524852753,0.38315898180007935
