model,scope,label,layer,valid,undefined,mean,q25,median,q75
llava_1_5_7b,train,REAL,17,9539,0,0.5933914835162633,0.2269169814518545,0.472652322947979,0.8990136409608218
llava_1_5_7b,train,REAL,18,9539,0,0.3705212578543283,0.12624480092268814,0.29090249749521413,0.5514309017785958
llava_1_5_7b,train,REAL,19,9539,0,0.42793244747929815,0.13750365726001393,0.32356552057899535,0.6712894790107384
llava_1_5_7b,train,REAL,20,9539,0,0.4716934069620276,0.1662346309861566,0.34524820496638614,0.6789405693167022
llava_1_5_7b,train,REAL,21,9539,0,0.35920807180524783,0.12776380003415008,0.29054296513398487,0.5473289146511393
llava_1_5_7b,train,REAL,22,9539,0,0.18970334462452446,0.06343181168616314,0.1307493906734245,0.261183258301268
llava_1_5_7b,train,REAL,23,9539,0,0.37603677507307465,0.11830825444262859,0.2563306459924206,0.5513760858913883
llava_1_5_7b,train,REAL,24,9539,0,0.26928497655562644,0.09475268903223233,0.18078900350451046,0.3528330372646451
llava_1_5_7b,train,REAL,25,9539,0,0.15402272180138873,0.06284723531938373,0.12763369362801313,0.21273558773100376
llava_1_5_7b,train,REAL,26,9539,0,0.11534383749941708,0.03278973939532369,0.05966528033365636,0.11964832343870685
llava_1_5_7b,train,REAL,27,9539,0,0.2670144054741878,0.11427856523730846,0.20311161710156334,0.3826249116970288
llava_1_5_7b,train,REAL,28,9539,0,0.13497771170530085,0.04512281237976572,0.08132463414222002,0.15586454387576806
llava_1_5_7b,train,REAL,29,9539,0,0.21055027643437815,0.06272127592964358,0.1545941166114062,0.32035782222043385
llava_1_5_7b,train,REAL,30,9539,0,0.21720281191475435,0.09397080716366424,0.1732555695555427,0.3185839497173826
llava_1_5_7b,train,REAL,31,9539,0,0.5242091157911406,0.14098195978169742,0.30434199714580096,0.652040127253816
llava_1_5_7b,train,REAL,32,9539,0,1.3808922697572223,0.5408775157846091,1.123341171277894,2.1971103231876326
llava_1_5_7b,train,HALL,1,2778,0,0.041229428812067544,0.022578146432441423,0.032504359599399665,0.047248203756790313
llava_1_5_7b,train,HALL,2,2778,0,0.04846378804887404,0.026512093424267153,0.03409876132553946,0.046224047872965454
llava_1_5_7b,train,HALL,3,2778,0,0.07443712954310265,0.03537595664053564,0.04594353284700614,0.07062771247001365
llava_1_5_7b,train,HALL,4,2778,0,0.06926723706511541,0.034886315992155505,0.04885228375814346,0.07128373912940794
