feature,label,layer,n,mean,std,ci95_low,ci95_high
N,HALL,16,1766,0.5678258323166541,0.1472490907748546,0.5609581002497309,0.5746935643835772
N,REAL,17,9993,0.40377387897792094,0.11341191447155236,0.4015502270398538,0.40599753091598806
N,HALL,17,1766,0.4099863909800892,0.12530265226585646,0.4041422459432107,0.41583053601696773
N,REAL,18,9993,0.2765894453481614,0.08213867005083889,0.2749789636478933,0.27819992704842944
N,HALL,18,1766,0.2613278676166135,0.09345941741924002,0.25696889850795207,0.2656868367252749
N,REAL,19,9993,0.465257898144544,0.10218617302018099,0.4632543477879632,0.4672614485011248
N,HALL,19,1766,0.442770903565133,0.11216106908592145,0.4375396850444051,0.4480021220858609
N,REAL,20,9993,0.7190003403002354,0.14103520833549196,0.7162350822070958,0.7217655983933751
N,HALL,20,1766,0.7366709585638036,0.17432389697181946,0.7285404511972425,0.7448014659303647
N,REAL,21,9993,0.3998930615597655,0.08167654109134961,0.3982916407589734,0.4014944823605576
N,HALL,21,1766,0.40903553005523074,0.09765473378937187,0.40448089040888097,0.4135901697015805
N,REAL,22,9993,0.31171430342430995,0.09480142047375016,0.3098555449036534,0.3135730619449665
N,HALL,22,1766,0.2989046571107575,0.10506188316783605,0.2940045462832732,0.30380476793824174
N,REAL,23,9993,0.16875134263570502,0.06227183025248847,0.16753038735359782,0.1699722979178122
N,HALL,23,1766,0.1591275602279575,0.07050685782779331,0.1558391038721739,0.16241601658374108
N,REAL,24,9993,0.12601730930962374,0.0716778387235916,0.12461193170236928,0.1274226869168782
N,HALL,24,1766,0.14089488332072275,0.08368406564965919,0.1369918389071486,0.1447979277342969
N,REAL,25,9993,0.43128435877248245,0.14510969559416198,0.42843921276340746,0.43412950478155743
N,HALL,25,1766,0.4108050500474119,0.16370623861720687,0.4031697527522604,0.4184403473425634
N,REAL,26,9993,0.3435542003622445,0.13042974447985783,0.3409968821523752,0.34611151857211375
N,HALL,26,1766,0.2923843601902067,0.1373250182314165,0.28597948919008126,0.2987892311903321
N,REAL,27,9993,0.23951639110172318,0.12249302371945828,0.23711468709326297,0.2419180951101834
N,HALL,27,1766,0.2623166375374791,0.18767374608619236,0.25356349008282714,0.271069784992131
N,REAL,28,9993,0.13284194522947268,0.0699659589985318,0.13147013221449325,0.1342137582444521
N,HALL,28,1766,0.13179710644085302,0.06314245028234014,0.12885212777710578,0.13474208510460026
N,REAL,29,9993,0.4017377041867787,0.1427647317998965,0.39893853556297326,0.4045368728105841
N,HALL,29,1766,0.36982456397050034,0.14732042167965512,0.3629535050134777,0.376695622927523
N,REAL,30,9993,0.7389884564526402,0.20561682008045948,0.7349569555067162,0.7430199573985642
N,HALL,30,1766,0.7230274942054888,0.2436705119560956,0.7116626444809958,0.7343923439299819
N,REAL,31,9993,0.4551671354826489,0.12984531505005506,0.45262127610089575,0.4577129948644021
N,HALL,31,1766,0.4377493670343138,0.1405820121683745,0.4311925890744583,0.44430614499416926
N,REAL,32,9993,0.5655829930635325,0.1544160934589531,0.5625553777808817,0.5686106083461834
N,HALL,32,1766,0.5337064562962387,0.17082427785733165,0.5257391719844898,0.5416737406079876
S,REAL,1,9993,1.7298208750679271,0.37419519731833634,1.7224840808729835,1.7371576692628707
S,HALL,1,1766,1.6777727590074356,0.3816902224682738,1.6599706376722048,1.6955748803426665
S,REAL,2,9993,0.8153326052523323,0.10991429621804373,0.8131775306382992,0.8174876798663654
S,HALL,2,1766,0.8285183785050804,0.1267691584927991,0.8226058352744465,0.8344309217357142
S,REAL,3,9993,0.9223196998583022,0.12422353108563752,0.9198840660279483,0.9247553336886561
S,HALL,3,1766,0.9258709023722436,0.11971575667455901,0.9202873314537178,0.9314544732907694
S,REAL,4,9993,0.978828173797672,0.11555827280621084,0.9765624385044928,0.9810939090908511
S,HALL,4,1766,0.967145659881702,0.11771295324684879,0.9616555001839304,0.9726358195794735
S,REAL,5,9993,1.017430554946049,0.09212639581910154,1.0156242452689324,1.0192368646231655
S,HALL,5,1766,1.0097920932761675,0.09252917287867986,1.0054765109906618,1.0141076755616731
S,REAL,6,9993,1.1013387128491545,0.16761946682595125,1.0980522208257897,1.1046252048725194
S,HALL,6,1766,1.0798047586246093,0.15034013889803352,1.0727928593495613,1.0868166578996574
S,REAL,7,9993,0.8386667815340803,0.08044090455951149,0.8370895876902316,0.8402439753779289
S,HALL,7,1766,0.8196987515802696,0.09510727921765759,0.8152629258115413,0.824134577348998
S,REAL,8,9993,0.9102650300871679,0.09341026217898614,0.9084335478174478,0.9120965123568879
S,HALL,8,1766,0.9168408542095198,0.0998827167705976,0.9121823009153219,0.9214994075037176
S,REAL,9,9993,0.7877131530642808,0.06656850883488419,0.78640795339126,0.7890183527373016
S,HALL,9,1766,0.7592366817718454,0.07610860123444993,0.7556869587921247,0.7627864047515662
S,REAL,10,9993,0.768215832419311,0.08683027044156866,0.7665133631500993,0.7699183016885227
S,HALL,10,1766,0.7297481238707005,0.08015805717960749,0.7260095333176602,0.7334867144237409
S,REAL,11,9993,0.7053172697143417,0.08607391610731205,0.7036296301813978,0.7070049092472857
S,HALL,11,1766,0.6840940241196688,0.08377735838694232,0.6801866285109865,0.688001419728351
S,REAL,12,9993,0.7342444687983325,0.0765646455765322,0.7327432762356553,0.7357456613610097
S,HALL,12,1766,0.6982336605931733,0.0703242583463122,0.6949537207199552,0.7015136004663913
S,REAL,13,9993,0.7835472078995221,0.1127802233887062,0.781335941442356,0.7857584743566883
S,HALL,13,1766,0.7301137533254018,0.10592504814640928,0.7251733842812372,0.7350541223695665
