model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,sigma_B_cv,13,95,95,-0.0019738640208508008,-0.0038860193829143297,0.4631578947368421
qwen2_5_vl_7b,all,sigma_B_cv,14,95,95,-0.0026771373991237367,-0.006452701672774563,0.43157894736842106
qwen2_5_vl_7b,all,sigma_B_cv,15,95,95,-0.00019074393597246818,-0.002595179290590721,0.4631578947368421
qwen2_5_vl_7b,all,sigma_B_cv,16,95,95,-0.0009303375199020312,-0.0013807462150399186,0.49473684210526314
qwen2_5_vl_7b,all,sigma_B_cv,17,95,95,-0.0026142121713161296,-0.006769456624271308,0.42105263157894735
qwen2_5_vl_7b,all,sigma_B_cv,18,95,95,-0.005078538509086559,-0.0018038707725027692,0.4421052631578947
qwen2_5_vl_7b,all,sigma_B_cv,19,95,95,0.0030230672512226776,0.0021177252606999764,0.5368421052631579
qwen2_5_vl_7b,all,sigma_B_cv,20,95,95,-0.0023439991150039866,-0.004244937751655353,0.43157894736842106
qwen2_5_vl_7b,all,sigma_B_cv,21,95,95,0.000154508387376972,0.0037033595148223686,0.5368421052631579
qwen2_5_vl_7b,all,sigma_B_cv,22,95,95,0.004722304757839167,0.0015446503540000878,0.5052631578947369
qwen2_5_vl_7b,all,sigma_B_cv,23,95,95,-0.002290585886593181,-0.0044492675282882255,0.3894736842105263
qwen2_5_vl_7b,all,sigma_B_cv,24,95,95,0.04139305485961277,0.0365800822750908,0.7368421052631579
qwen2_5_vl_7b,all,sigma_B_cv,25,95,95,0.004296348711472722,0.00498771231202666,0.5789473684210527
qwen2_5_vl_7b,all,sigma_B_cv,26,95,95,0.009959810732291609,0.003878772704138056,0.5157894736842106
qwen2_5_vl_7b,all,sigma_B_cv,27,95,95,0.013639232406071879,0.007490048132959837,0.5894736842105263
qwen2_5_vl_7b,all,sigma_B_cv,28,95,95,-0.002179226885616859,-0.014559377904793225,0.47368421052631576
qwen2_5_vl_7b,all,sigma_B_p90_p10,1,95,95,-0.22854415279735998,-0.16549137533460367,0.4105263157894737
qwen2_5_vl_7b,all,sigma_B_p90_p10,2,95,95,-0.503370069456884,-1.1628425931969772,0.42105263157894735
qwen2_5_vl_7b,all,sigma_B_p90_p10,3,95,95,-0.5666570684838872,-0.6569985383339194,0.43157894736842106
qwen2_5_vl_7b,all,sigma_B_p90_p10,4,95,95,0.1085743554342593,0.020431396138278046,0.5263157894736842
qwen2_5_vl_7b,all,sigma_B_p90_p10,5,95,95,0.04533116238218996,-0.02014981498397539,0.49473684210526314
qwen2_5_vl_7b,all,sigma_B_p90_p10,6,95,95,-0.2129719029799876,-0.37155913088159664,0.47368421052631576
qwen2_5_vl_7b,all,sigma_B_p90_p10,7,95,95,0.2587689819588519,0.05643484735274118,0.5263157894736842
qwen2_5_vl_7b,all,sigma_B_p90_p10,8,95,95,-0.0973143054935812,0.06064702890001339,0.5263157894736842
qwen2_5_vl_7b,all,sigma_B_p90_p10,9,95,95,0.006179503188532334,-0.05359916719767721,0.4842105263157895
qwen2_5_vl_7b,all,sigma_B_p90_p10,10,95,95,0.13157545655444308,0.07117272409003528,0.6631578947368421
qwen2_5_vl_7b,all,sigma_B_p90_p10,11,95,95,0.023965774822681845,0.014998509336472843,0.5263157894736842
qwen2_5_vl_7b,all,sigma_B_p90_p10,12,95,95,-0.07019887640380619,-0.08341636234406735,0.4
qwen2_5_vl_7b,all,sigma_B_p90_p10,13,95,95,0.02117063971251472,0.024233816048931267,0.5052631578947369
