model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_F1
qwen2_5_vl_7b,F_reference,43,fixed_0.5,0.5,0.8746414926605213,0.44001472872324426,0.358974358974359
qwen2_5_vl_7b,F_reference,43,train_f1,0.4882247745990753,0.8746414926605213,0.44001472872324426,0.34074074074074073
qwen2_5_vl_7b,F_reference,44,fixed_0.5,0.5,0.8733856145512529,0.4191787498405885,0.441340782122905
qwen2_5_vl_7b,F_reference,44,train_f1,0.4292242228984833,0.8733856145512529,0.4191787498405885,0.38562091503267976
qwen2_5_vl_7b,F_reference,45,fixed_0.5,0.5,0.8754387635950569,0.4602703155692483,0.4250871080139373
qwen2_5_vl_7b,F_reference,45,train_f1,0.5090934038162231,0.8754387635950569,0.4602703155692483,0.42567567567567566
llava_1_5_7b,attention_ratio,43,fixed_0.5,0.5,0.8766408559160519,0.6564185258671743,0.6302765647743813
llava_1_5_7b,attention_ratio,43,train_f1,0.45607471466064453,0.8766408559160519,0.6564185258671743,0.583941605839416
llava_1_5_7b,attention_ratio,44,fixed_0.5,0.5,0.8743860083700219,0.6492280990272602,0.6314265025343954
llava_1_5_7b,attention_ratio,44,train_f1,0.41749507188796997,0.8743860083700219,0.6492280990272602,0.5220458553791887
llava_1_5_7b,attention_ratio,45,fixed_0.5,0.5,0.8761101333288576,0.6532193058616266,0.6281957633308984
llava_1_5_7b,attention_ratio,45,train_f1,0.47352537512779236,0.8761101333288576,0.6532193058616266,0.6150306748466258
llava_1_5_7b,gated_ratio,43,fixed_0.5,0.5,0.874784195000327,0.6558269683030511,0.5933384972889233
llava_1_5_7b,gated_ratio,43,train_f1,0.4648040235042572,0.874784195000327,0.6558269683030511,0.5716680637049455
llava_1_5_7b,gated_ratio,44,fixed_0.5,0.5,0.8687494682645835,0.6426165730533249,0.609084139985108
llava_1_5_7b,gated_ratio,44,train_f1,0.45597100257873535,0.8687494682645835,0.6426165730533249,0.5664160401002506
llava_1_5_7b,gated_ratio,45,fixed_0.5,0.5,0.8735091875198587,0.6512078422562426,0.6067924528301887
llava_1_5_7b,gated_ratio,45,train_f1,0.45519304275512695,0.8735091875198587,0.6512078422562426,0.5721434528773979
llava_1_5_7b,F_reference,43,fixed_0.5,0.5,0.8964109957385928,0.6995942975840702,0.6702484889187375
llava_1_5_7b,F_reference,43,train_f1,0.5099802017211914,0.8964109957385928,0.6995942975840702,0.6688741721854304
llava_1_5_7b,F_reference,44,fixed_0.5,0.5,0.901234378553946,0.7140445535468405,0.673728813559322
llava_1_5_7b,F_reference,44,train_f1,0.4837189316749573,0.901234378553946,0.7140445535468405,0.6676258992805756
llava_1_5_7b,F_reference,45,fixed_0.5,0.5,0.9028091835264171,0.710820944369018,0.6843100189035917
llava_1_5_7b,F_reference,45,train_f1,0.39934590458869934,0.9028091835264171,0.710820944369018,0.6671480144404333
qwen3_vl_8b,attention_ratio,43,fixed_0.5,0.5,0.842510010218604,0.5271442628340169,0.36535859269282817
qwen3_vl_8b,attention_ratio,43,train_f1,0.472111314535141,0.842510010218604,0.5271442628340169,0.291350531107739
qwen3_vl_8b,attention_ratio,44,fixed_0.5,0.5,0.8492400877997277,0.5407692158724241,0.4260204081632653
qwen3_vl_8b,attention_ratio,44,train_f1,0.4895368814468384,0.8492400877997277,0.5407692158724241,0.39361702127659576
