model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen3_vl_8b,B_raw_AE_top32,45,train_f1,0.6480076313018799,0.8681394885758477,0.6342967987448792,0.6828571428571428,0.4631782945736434,0.5519630484988453
internvl_2_5_8b,B,43,fixed_0.5,0.5,0.8697562297725986,0.538202436911719,0.5465116279069767,0.5040214477211796,0.5244072524407253
internvl_2_5_8b,B,43,train_f1,0.4795866310596466,0.8697562297725986,0.538202436911719,0.5463258785942492,0.4584450402144772,0.49854227405247814
internvl_2_5_8b,B,44,fixed_0.5,0.5,0.8550549811477948,0.505237209947841,0.5074626865671642,0.45576407506702415,0.480225988700565
internvl_2_5_8b,B,44,train_f1,0.4478658139705658,0.8550549811477948,0.505237209947841,0.5345454545454545,0.3941018766756032,0.4537037037037037
internvl_2_5_8b,B,45,fixed_0.5,0.5,0.8558867746173482,0.5036124780060378,0.47123893805309736,0.5710455764075067,0.5163636363636364
internvl_2_5_8b,B,45,train_f1,0.3867930471897125,0.8558867746173482,0.5036124780060378,0.5131086142322098,0.3672922252010724,0.428125
internvl_2_5_8b,raw_AE_top32,43,fixed_0.5,0.5,0.6908779092744305,0.28551673676939754,0.0,0.0,0.0
internvl_2_5_8b,raw_AE_top32,43,train_f1,0.5812098979949951,0.6908779092744305,0.28551673676939754,0.3225806451612903,0.02680965147453083,0.04950495049504951
internvl_2_5_8b,raw_AE_top32,44,fixed_0.5,0.5,0.6823957521121947,0.29007726703908726,0.6363636363636364,0.01876675603217158,0.036458333333333336
internvl_2_5_8b,raw_AE_top32,44,train_f1,0.5982967019081116,0.6823957521121947,0.29007726703908726,0.36923076923076925,0.19302949061662197,0.2535211267605634
internvl_2_5_8b,raw_AE_top32,45,fixed_0.5,0.5,0.695972143597193,0.28971846353708536,0.0,0.0,0.0
internvl_2_5_8b,raw_AE_top32,45,train_f1,0.5611318349838257,0.695972143597193,0.28971846353708536,0.5625,0.024128686327077747,0.04627249357326478
internvl_2_5_8b,B_raw_AE_top32,43,fixed_0.5,0.5,0.8699398117983829,0.5487443029010197,0.6374269005847953,0.29222520107238603,0.4007352941176471
internvl_2_5_8b,B_raw_AE_top32,43,train_f1,0.6856772303581238,0.8699398117983829,0.5487443029010197,0.557632398753894,0.47989276139410186,0.515850144092219
internvl_2_5_8b,B_raw_AE_top32,44,fixed_0.5,0.5,0.853256544866112,0.5001359759933264,0.5351170568561873,0.4289544235924933,0.47619047619047616
internvl_2_5_8b,B_raw_AE_top32,44,train_f1,0.4011797606945038,0.853256544866112,0.5001359759933264,0.5495049504950495,0.2975871313672922,0.38608695652173913
internvl_2_5_8b,B_raw_AE_top32,45,fixed_0.5,0.5,0.8594502686305716,0.5155495687352954,0.5207756232686981,0.5040214477211796,0.5122615803814714
internvl_2_5_8b,B_raw_AE_top32,45,train_f1,0.43505167961120605,0.8594502686305716,0.5155495687352954,0.5406360424028268,0.4101876675603217,0.46646341463414637
