model,scope,metric,layer,mixed_images,valid,mean_H_minus_R,median_H_minus_R,fraction_H_gt_R,ci95_low,ci95_high
qwen3_vl_8b,train,ovir,8,1386,1386,0.0026603242830466178,0.0029969774447438646,0.5461760461760462,0.0012238300939791727,0.004147483596780388
qwen3_vl_8b,train,ovir,9,1386,1386,0.0011428727656945948,-1.5193783168110375e-05,0.5,-0.0008260761105558297,0.0030194363284332913
qwen3_vl_8b,train,ovir,10,1386,1386,-0.0030461226543918706,-0.0008029980078505528,0.49783549783549785,-0.00840574379618907,0.0020401850265300897
qwen3_vl_8b,train,ovir,11,1386,1386,-0.015581460703348711,-0.018151563090433753,0.40115440115440115,-0.019621536694461556,-0.011641985702117606
qwen3_vl_8b,train,ovir,12,1386,1386,-0.0036888337983069534,-0.003632197538904036,0.481962481962482,-0.008027564572999175,0.0003939573733694988
qwen3_vl_8b,train,ovir,13,1386,1386,0.00612984741948758,0.008761413676549923,0.5512265512265512,0.00294404598972985,0.009366161833601793
qwen3_vl_8b,train,ovir,14,1386,1386,0.0006637454335569078,-0.0014676248464723929,0.4862914862914863,-0.0019869893228728814,0.0033502339460267138
qwen3_vl_8b,train,ovir,15,1386,1386,-0.008022153609512698,-0.008429229350654655,0.424963924963925,-0.010536135068011734,-0.0055667782276721065
qwen3_vl_8b,train,ovir,16,1386,1386,-0.0007677804698088985,-0.0016929838495253202,0.4855699855699856,-0.003899527287917485,0.0027015328899536294
qwen3_vl_8b,train,ovir,17,1386,1386,-0.003385949228203102,-0.0034252887544460875,0.4588744588744589,-0.0053628724830118895,-0.0012157309885119513
qwen3_vl_8b,train,ovir,18,1386,1386,0.0002639370584873882,0.00013491125468090281,0.5014430014430015,-0.0015481218851066273,0.0020982810592649237
qwen3_vl_8b,train,ovir,19,1386,1386,0.00683278685223918,0.0063729575925251525,0.6002886002886003,0.005342391406120111,0.008275480032232116
qwen3_vl_8b,train,ovir,20,1386,1386,-0.0024567702231453677,-0.0034359440965086585,0.461038961038961,-0.004080529355956144,-0.0009292698212868596
qwen3_vl_8b,train,ovir,21,1386,1386,-0.00243862503910055,-0.000272077010049776,0.49206349206349204,-0.003961361255022507,-0.0009520184397463526
qwen3_vl_8b,train,ovir,22,1386,1386,0.0007344501241314511,4.530383390544124e-06,0.5,-0.0004118342020913767,0.0018075050573943064
qwen3_vl_8b,train,ovir,23,1386,1386,0.0009430618261577349,0.001438825041328251,0.5454545454545454,-0.00011447622642201138,0.0019837139054115246
qwen3_vl_8b,train,ovir,24,1386,1386,0.0037422877944004417,0.003407504268367334,0.6031746031746031,0.0028708260797523626,0.00454608459933701
qwen3_vl_8b,train,ovir,25,1386,1386,0.004848893001682603,0.004765211824615201,0.7171717171717171,0.004340389561892642,0.005352284314825593
qwen3_vl_8b,train,ovir,26,1386,1386,-0.0017497238891992506,-3.9394713625184874e-05,0.49855699855699853,-0.0024779494962224977,-0.001008120219042848
qwen3_vl_8b,train,ovir,27,1386,1386,0.0031912435057741043,0.003172735356956946,0.7236652236652237,0.0029012299215113945,0.0034606127707942722
qwen3_vl_8b,train,ovir,28,1386,1386,-0.0013242410003034943,-0.00011101402005292416,0.4935064935064935,-0.0019219876696358008,-0.0007542815171069974
qwen3_vl_8b,train,ovir,29,1386,1386,-0.0012485148605159285,-0.0001586343676520663,0.48773448773448774,-0.0016546152042878502,-0.0008588309844052437
qwen3_vl_8b,train,ovir,30,1386,1386,0.001307182432602202,0.0016805040707115193,0.6168831168831169,0.0008672579872434872,0.0017071053085460398
qwen3_vl_8b,train,ovir,31,1386,1386,0.001265626183098878,0.0014139331405630395,0.6616161616161617,0.0010355217626884254,0.0014908771925291292
qwen3_vl_8b,train,ovir,32,1386,1386,0.0032864251058681154,0.002501211483639465,0.7467532467532467,0.0029930271690418123,0.003581766110626382
qwen3_vl_8b,train,ovir,33,1386,1386,0.0017250039875060376,0.00167257771972118,0.6818181818181818,0.0013985452102160088,0.002044567475722226
qwen3_vl_8b,train,ovir,34,1386,1386,0.001537750452625244,0.0016192158189735073,0.6190476190476191,0.0010290786333396562,0.0020275890852773713
qwen3_vl_8b,train,ovir,35,1386,1386,-0.0013120265336351807,0.0028044143062915805,0.575036075036075,-0.0024757560288764203,-0.0001478592377411872
qwen3_vl_8b,train,ovir,36,1386,1386,-0.014718300559502765,-0.024239424111437702,0.43434343434343436,-0.024854729232290693,-0.004516021005124559
qwen3_vl_8b,validation,ovir,1,175,175,-0.0011589987191394809,0.0024973019229119764,0.5885714285714285,-0.0075385289314869475,0.004882223293466541
qwen3_vl_8b,validation,ovir,2,175,175,-0.003784415386500489,-0.0030662232125004962,0.44571428571428573,-0.00869696581599696,0.001002932760305884
qwen3_vl_8b,validation,ovir,3,175,175,-0.007036564445772804,-0.00441268820959817,0.42857142857142855,-0.0121232012929832,-0.001988519974203265
qwen3_vl_8b,validation,ovir,4,175,175,-0.004355776954777005,-0.007456075915135196,0.4114285714285714,-0.008734129819332899,-5.986694541044661e-05
qwen3_vl_8b,validation,ovir,5,175,175,-0.013189206186532349,-0.011694906772560909,0.3314285714285714,-0.019915537713169795,-0.007000719851635297
qwen3_vl_8b,validation,ovir,6,175,175,-0.007796195890992238,-0.00807354752010303,0.38857142857142857,-0.012590850230603755,-0.0030075317670653526
qwen3_vl_8b,validation,ovir,7,175,175,0.0014410165269205567,0.0021548964969502205,0.5142857142857142,-0.004689557005956917,0.007365026044708795
qwen3_vl_8b,validation,ovir,8,175,175,0.005596467183386614,0.006382506236489061,0.5714285714285714,0.0012996271009491779,0.009537100812353972
qwen3_vl_8b,validation,ovir,9,175,175,-0.0002753293662300736,0.0006427218997743234,0.5257142857142857,-0.005445853420018663,0.00488691750211645
qwen3_vl_8b,validation,ovir,10,175,175,-0.011710729621781742,0.0021115174215653454,0.5028571428571429,-0.027701905333613407,0.0034075708185734477
qwen3_vl_8b,validation,ovir,11,175,175,-0.012356516963637024,-0.011684228717252387,0.4228571428571429,-0.02361447376863751,-0.002183419884337579
qwen3_vl_8b,validation,ovir,12,175,175,-0.006312573674034868,-0.004610774728651457,0.4742857142857143,-0.01891535318146328,0.005685685311156422
qwen3_vl_8b,validation,ovir,13,175,175,0.003971555605136695,0.004439897215034128,0.5371428571428571,-0.005339809719860809,0.012649796080795018
qwen3_vl_8b,validation,ovir,14,175,175,0.0018435973331117524,0.003187424891321511,0.5257142857142857,-0.004571598267443226,0.008925376963103875
qwen3_vl_8b,validation,ovir,15,175,175,-0.005242809916760706,-0.005249461789387455,0.4228571428571429,-0.012341398168039877,0.0017378241631568082
qwen3_vl_8b,validation,ovir,16,175,175,0.004171569486871333,0.0003766206818268669,0.5085714285714286,-0.004925498111210151,0.013167980751285283
qwen3_vl_8b,validation,ovir,17,175,175,0.0012956185646242112,-0.001985785090242609,0.48,-0.004850231470583165,0.007633385023605921
qwen3_vl_8b,validation,ovir,18,175,175,-0.0014028591839891844,0.003012359298142253,0.5257142857142857,-0.006545749532092514,0.003975092264948344
qwen3_vl_8b,validation,ovir,19,175,175,0.007048468828376459,0.005816322220755454,0.5828571428571429,0.002958766734387752,0.011307590565317556
qwen3_vl_8b,validation,ovir,20,175,175,-0.005713537316044026,-0.0056733646516832215,0.41714285714285715,-0.010126395762778377,-0.0011272387820770707
qwen3_vl_8b,validation,ovir,21,175,175,-0.003981677453088186,-0.0027988642599636737,0.4742857142857143,-0.007624708636211991,-0.0005519825561329625
qwen3_vl_8b,validation,ovir,22,175,175,-0.0008973376027549485,-0.001300468285720835,0.46285714285714286,-0.0036296306912485784,0.0017400178833796678
qwen3_vl_8b,validation,ovir,23,175,175,0.0009604540395422832,0.002367301174048375,0.5314285714285715,-0.0016851926792934991,0.0035867060255175653
qwen3_vl_8b,validation,ovir,24,175,175,0.0018861401348131343,0.002170185671161784,0.5714285714285714,-0.0008190738489300916,0.004495036925950079
qwen3_vl_8b,validation,ovir,25,175,175,0.0051511308135942496,0.005602467484914553,0.7485714285714286,0.0038815097676501917,0.0064331069621382875
qwen3_vl_8b,validation,ovir,26,175,175,-0.0013448051680588235,-0.00017538390514248992,0.49714285714285716,-0.0028169795242339525,0.00014789194777661715
qwen3_vl_8b,validation,ovir,27,175,175,0.002850020727833118,0.002499361254026722,0.7428571428571429,0.0021644292255148423,0.003560882342099937
qwen3_vl_8b,validation,ovir,28,175,175,-0.0021183137686189126,-0.0017366569587062841,0.44,-0.0036517313664876077,-0.0006145076291723269
qwen3_vl_8b,validation,ovir,29,175,175,-0.001623323538988373,-0.0002038608911605344,0.4742857142857143,-0.002795229263896746,-0.0005553758869519242
qwen3_vl_8b,validation,ovir,30,175,175,0.001491219158842162,0.0013862523430039353,0.6114285714285714,0.00027129366747848067,0.0026355707157486004
qwen3_vl_8b,validation,ovir,31,175,175,0.000897668569477409,0.0008078160834762427,0.6114285714285714,0.00021462324041735304,0.0014948771397406383
qwen3_vl_8b,validation,ovir,32,175,175,0.0028711003991760574,0.002853784490594702,0.7428571428571429,0.0021842525121750314,0.003570669728948392
qwen3_vl_8b,validation,ovir,33,175,175,0.0019120048299596203,0.001189450858210983,0.64,0.0008813687861548453,0.00305878846499657
qwen3_vl_8b,validation,ovir,34,175,175,-0.0005818986013583017,0.000993415261117514,0.6,-0.0022512232405179342,0.0009660756431469341
qwen3_vl_8b,validation,ovir,35,175,175,-0.0011028207400074536,0.0028391428316489886,0.6057142857142858,-0.0041752727018499625,0.001991411647691804
qwen3_vl_8b,validation,ovir,36,175,175,-0.04716006079014507,-0.04738857356875603,0.37142857142857144,-0.07228998997229051,-0.0214048216950903
qwen3_vl_8b,test,ovir,1,170,170,-0.0062543034557253005,0.0003656792563290212,0.5117647058823529,-0.012459717752197313,-0.0009305555600912972
qwen3_vl_8b,test,ovir,2,170,170,-0.005006229254120908,0.00047150696735370756,0.5058823529411764,-0.010287435026575488,-0.00023712350355334613
qwen3_vl_8b,test,ovir,3,170,170,-0.01632952704436652,-0.013434067171041453,0.3411764705882353,-0.02165037897144159,-0.011179683860311252
qwen3_vl_8b,test,ovir,4,170,170,-0.008392470291567238,-0.01044848771292739,0.3235294117647059,-0.012267830603534416,-0.004601192223345251
qwen3_vl_8b,test,ovir,5,170,170,-0.014017159791346866,-0.010741504353092457,0.3764705882352941,-0.01958639294317643,-0.00900897800697753
qwen3_vl_8b,test,ovir,6,170,170,-0.010826487775072221,-0.008684869112925986,0.34705882352941175,-0.014728830566497536,-0.007009127513021239
qwen3_vl_8b,test,ovir,7,170,170,-0.0007827787207770769,0.0020460103929661466,0.5411764705882353,-0.006235539562411724,0.005144158176532548
qwen3_vl_8b,test,ovir,8,170,170,0.0031421113258092623,0.0024259225564324804,0.5235294117647059,-0.0014730906975030406,0.0076700142066565774
qwen3_vl_8b,test,ovir,9,170,170,-0.0003609314691212598,-0.0005252258387749009,0.4823529411764706,-0.005188217059622994,0.00447713951935161
qwen3_vl_8b,test,ovir,10,170,170,-0.009866793888377875,-0.011508077381384263,0.4294117647058823,-0.023708714362278335,0.0039254388204161845
qwen3_vl_8b,test,ovir,11,170,170,-0.014803642892739291,-0.017868913754711724,0.40588235294117647,-0.026770644545038573,-0.002511743147606669
qwen3_vl_8b,test,ovir,12,170,170,-0.005904201106461633,0.0008089228025473516,0.5058823529411764,-0.018221892953512987,0.00653818702597586
qwen3_vl_8b,test,ovir,13,170,170,0.007524642632137294,0.0033942217811167574,0.5235294117647059,-0.001976927279271464,0.017314771866807743
qwen3_vl_8b,test,ovir,14,170,170,0.0020661240160088413,0.0031780518119468026,0.5294117647058824,-0.005649573323226586,0.009719465370725936
qwen3_vl_8b,test,ovir,15,170,170,-0.00843731224406824,-0.007637086188324649,0.40588235294117647,-0.015947198792333833,-0.0003784162665018075
qwen3_vl_8b,test,ovir,16,170,170,0.00030986269766030073,0.00037476161664845575,0.5058823529411764,-0.009253002045486045,0.009879288962707554
qwen3_vl_8b,test,ovir,17,170,170,-0.0029567318589973687,-0.003201438806189283,0.47058823529411764,-0.009003001419923027,0.003207181882805813
qwen3_vl_8b,test,ovir,18,170,170,0.0016793081105773808,0.0012664263612490179,0.5294117647058824,-0.0030423161681080897,0.006444012197798669
