model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen3_vl_8b,validation,ovir,REAL,16,1261,1261,0,0.8289458949191235,0.7929344246841388,0.8239574721799816,0.8618492346960103
qwen3_vl_8b,validation,ovir,REAL,17,1261,1261,0,0.7585879269646278,0.7347994457318872,0.7577332684691475,0.7809758542239964
qwen3_vl_8b,validation,ovir,REAL,18,1261,1261,0,0.8437907081120324,0.8248293249970962,0.8423284236499877,0.8608444428678628
qwen3_vl_8b,validation,ovir,REAL,19,1261,1261,0,0.8597773530680823,0.8452430860782745,0.8600759764422203,0.8736528300791494
qwen3_vl_8b,validation,ovir,REAL,20,1261,1261,0,0.8694116684601679,0.8521084060131461,0.8688720716801902,0.8856782338710552
qwen3_vl_8b,validation,ovir,REAL,21,1261,1261,0,0.91396497985305,0.901426230573993,0.9142930621535276,0.9270316680716794
qwen3_vl_8b,validation,ovir,REAL,22,1261,1261,0,0.9357868682071827,0.9254566366838939,0.9364234689029325,0.9464881571080519
qwen3_vl_8b,validation,ovir,REAL,23,1261,1261,0,0.935393491481703,0.925435459203269,0.9364388264169357,0.9473494734297326
qwen3_vl_8b,validation,ovir,REAL,24,1261,1261,0,0.9542127856780571,0.947082759347229,0.9542781763558238,0.9616419213246964
qwen3_vl_8b,validation,ovir,REAL,25,1261,1261,0,0.9749978732098645,0.9695388383501086,0.9751897415038195,0.980611850544579
qwen3_vl_8b,validation,ovir,REAL,26,1261,1261,0,0.9839825505808778,0.9806336413163536,0.9847103863886931,0.9883467815284082
qwen3_vl_8b,validation,ovir,REAL,27,1261,1261,0,0.9857192791832754,0.9822996313246368,0.9859986472151773,0.9894442208593974
qwen3_vl_8b,validation,ovir,REAL,28,1261,1261,0,0.9829578820448001,0.9787856020201409,0.9839606810899626,0.9883213147333042
qwen3_vl_8b,validation,ovir,REAL,29,1261,1261,0,0.9911230743050311,0.9888319687905144,0.9918190210723653,0.9942268615758533
qwen3_vl_8b,validation,ovir,REAL,30,1261,1261,0,0.9886096447102178,0.9859483972181254,0.9901538017210308,0.9932143299945291
qwen3_vl_8b,validation,ovir,REAL,31,1261,1261,0,0.9930415205203076,0.9910588669702415,0.9934597726705328,0.9959716858482205
qwen3_vl_8b,validation,ovir,REAL,32,1261,1261,0,0.9919995684644006,0.989349248450638,0.9945568282369491,0.9970341665387934
qwen3_vl_8b,validation,ovir,REAL,33,1261,1261,0,0.9927429817084698,0.9915425051521248,0.9949735386108696,0.9968105402082963
qwen3_vl_8b,validation,ovir,REAL,34,1261,1261,0,0.9886499236993521,0.9874331182672393,0.9918337178877028,0.9943195011765887
qwen3_vl_8b,validation,ovir,REAL,35,1261,1261,0,0.979123507270765,0.9742173786997448,0.9835972511914571,0.9904537044431988
qwen3_vl_8b,validation,ovir,REAL,36,1261,1261,0,0.5638798553301487,0.44958583236289956,0.5417533334774638,0.653295388803963
qwen3_vl_8b,validation,ovir,HALL,1,274,274,0,0.9719448943081636,0.9633628049769134,0.9860622189504186,0.9903464332951265
qwen3_vl_8b,validation,ovir,HALL,2,274,274,0,0.966009450529226,0.9585035357406184,0.97253800815551,0.983362879774412
qwen3_vl_8b,validation,ovir,HALL,3,274,274,0,0.9436025062371103,0.9284573247993626,0.9508452052577173,0.9665995718191636
qwen3_vl_8b,validation,ovir,HALL,4,274,274,0,0.9444570596020153,0.9270874209630717,0.9387101615281435,0.9626822835917377
qwen3_vl_8b,validation,ovir,HALL,5,274,274,0,0.9190609237914305,0.9025549773917966,0.9261407488979796,0.9423574384410026
