model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,B_JS_TC,43,train_f1,0.42740675806999207,0.8723872620093344,0.44059028083320545,0.5234375,0.366120218579235,0.43086816720257237
qwen2_5_vl_7b,B_JS_TC,44,fixed_0.5,0.5,0.8854081780242498,0.4507978747290682,0.53,0.2896174863387978,0.3745583038869258
qwen2_5_vl_7b,B_JS_TC,44,train_f1,0.6121971607208252,0.8854081780242498,0.4507978747290682,0.49390243902439024,0.4426229508196721,0.4668587896253602
qwen2_5_vl_7b,B_JS_TC,45,fixed_0.5,0.5,0.8750542391177808,0.454994826153375,0.5490196078431373,0.30601092896174864,0.3929824561403509
qwen2_5_vl_7b,B_JS_TC,45,train_f1,0.5522078275680542,0.8750542391177808,0.454994826153375,0.5078125,0.3551912568306011,0.4180064308681672
qwen2_5_vl_7b,B_OT_TE,43,fixed_0.5,0.5,0.8663265918078649,0.4262112641094564,0.5357142857142857,0.32786885245901637,0.4067796610169492
qwen2_5_vl_7b,B_OT_TE,43,train_f1,0.554358720779419,0.8663265918078649,0.4262112641094564,0.5390625,0.3770491803278688,0.4437299035369775
qwen2_5_vl_7b,B_OT_TE,44,fixed_0.5,0.5,0.8786913467881624,0.4406586541586687,0.55,0.24043715846994534,0.33460076045627374
qwen2_5_vl_7b,B_OT_TE,44,train_f1,0.5620980858802795,0.8786913467881624,0.4406586541586687,0.4957983193277311,0.3224043715846995,0.39072847682119205
qwen2_5_vl_7b,B_OT_TE,45,fixed_0.5,0.5,0.8684573512966236,0.44192703627670166,0.5229357798165137,0.3114754098360656,0.3904109589041096
qwen2_5_vl_7b,B_OT_TE,45,train_f1,0.5712166428565979,0.8684573512966236,0.44192703627670166,0.4827586206896552,0.3825136612021858,0.4268292682926829
qwen2_5_vl_7b,B_OT_TC,43,fixed_0.5,0.5,0.8711895917337821,0.43980082477143817,0.5671641791044776,0.20765027322404372,0.304
qwen2_5_vl_7b,B_OT_TC,43,train_f1,0.6385442614555359,0.8711895917337821,0.43980082477143817,0.5384615384615384,0.3825136612021858,0.4472843450479233
qwen2_5_vl_7b,B_OT_TC,44,fixed_0.5,0.5,0.8627300532337097,0.4235076211754135,0.5888888888888889,0.2896174863387978,0.3882783882783883
qwen2_5_vl_7b,B_OT_TC,44,train_f1,0.5952533483505249,0.8627300532337097,0.4235076211754135,0.5193798449612403,0.366120218579235,0.42948717948717946
qwen2_5_vl_7b,B_OT_TC,45,fixed_0.5,0.5,0.8653882109734113,0.4383880794079077,0.45918367346938777,0.4918032786885246,0.47493403693931396
qwen2_5_vl_7b,B_OT_TC,45,train_f1,0.3933291435241699,0.8653882109734113,0.4383880794079077,0.4918032786885246,0.32786885245901637,0.39344262295081966
qwen2_5_vl_7b,F,43,fixed_0.5,0.5,0.8746414926605213,0.44001472872324426,0.5444444444444444,0.2677595628415301,0.358974358974359
qwen2_5_vl_7b,F,43,train_f1,0.4882247745990753,0.8746414926605213,0.44001472872324426,0.5287356321839081,0.25136612021857924,0.34074074074074073
qwen2_5_vl_7b,F,44,fixed_0.5,0.5,0.8733856145512529,0.4191787498405885,0.4514285714285714,0.43169398907103823,0.441340782122905
qwen2_5_vl_7b,F,44,train_f1,0.4292242228984833,0.8733856145512529,0.4191787498405885,0.4796747967479675,0.3224043715846995,0.38562091503267976
qwen2_5_vl_7b,F,45,fixed_0.5,0.5,0.8754387635950569,0.4602703155692483,0.5865384615384616,0.3333333333333333,0.4250871080139373
qwen2_5_vl_7b,F,45,train_f1,0.5090934038162231,0.8754387635950569,0.4602703155692483,0.5575221238938053,0.3442622950819672,0.42567567567567566
qwen2_5_vl_7b,F_C,43,fixed_0.5,0.5,0.8759326482447694,0.4579413805597009,0.5666666666666667,0.2786885245901639,0.37362637362637363
qwen2_5_vl_7b,F_C,43,train_f1,0.49174702167510986,0.8759326482447694,0.4579413805597009,0.5783132530120482,0.26229508196721313,0.3609022556390977
qwen2_5_vl_7b,F_C,44,fixed_0.5,0.5,0.8685949334490435,0.4530011297014148,0.631578947368421,0.13114754098360656,0.2171945701357466
qwen2_5_vl_7b,F_C,44,train_f1,0.7609571218490601,0.8685949334490435,0.4530011297014148,0.5373134328358209,0.39344262295081966,0.45425867507886436
qwen2_5_vl_7b,F_C,45,fixed_0.5,0.5,0.8709197190501893,0.45609391092322665,0.5769230769230769,0.32786885245901637,0.4181184668989547
qwen2_5_vl_7b,F_C,45,train_f1,0.5214765667915344,0.8709197190501893,0.45609391092322665,0.5892857142857143,0.36065573770491804,0.44745762711864406
llava_1_5_7b,AE_I,43,fixed_0.5,0.5,0.8975624380365463,0.7072778671614561,0.6562942008486563,0.6544428772919605,0.655367231638418
llava_1_5_7b,AE_I,43,train_f1,0.495015025138855,0.8975624380365463,0.7072778671614561,0.6604850213980028,0.6530324400564175,0.6567375886524822
llava_1_5_7b,AE_I,44,fixed_0.5,0.5,0.8992845373366523,0.7062659802588526,0.6418485237483954,0.7052186177715092,0.6720430107526881
llava_1_5_7b,AE_I,44,train_f1,0.43839603662490845,0.8992845373366523,0.7062659802588526,0.6778115501519757,0.6290550070521862,0.6525237746891002
llava_1_5_7b,AE_I,45,fixed_0.5,0.5,0.8997455193875796,0.7139043238938798,0.6542056074766355,0.691114245416079,0.6721536351165981
llava_1_5_7b,AE_I,45,train_f1,0.45715391635894775,0.8997455193875796,0.7139043238938798,0.6808510638297872,0.6318758815232722,0.6554498902706657
llava_1_5_7b,B,43,fixed_0.5,0.5,0.9037227556135343,0.7104157656106413,0.6619915848527349,0.6657263751763046,0.6638537271448663
llava_1_5_7b,B,43,train_f1,0.46560138463974,0.9037227556135343,0.7104157656106413,0.6742770167427702,0.6248236953455572,0.6486090775988287
llava_1_5_7b,B,44,fixed_0.5,0.5,0.9027255527588604,0.708770994302726,0.6446700507614214,0.7165021156558533,0.678690714762859
llava_1_5_7b,B,44,train_f1,0.48844265937805176,0.9027255527588604,0.708770994302726,0.6519480519480519,0.7080394922425952,0.6788370520622042
llava_1_5_7b,B,45,fixed_0.5,0.5,0.8949863788919414,0.7007646655711877,0.7155963302752294,0.5500705218617772,0.6220095693779905
llava_1_5_7b,B,45,train_f1,0.5778083801269531,0.8949863788919414,0.7007646655711877,0.6751497005988024,0.6361071932299013,0.6550472040668119
llava_1_5_7b,AE_I_SC,43,fixed_0.5,0.5,0.9013400021877116,0.70540015747364,0.6868044515103339,0.609308885754584,0.6457399103139013
llava_1_5_7b,AE_I_SC,43,train_f1,0.5210347771644592,0.9013400021877116,0.70540015747364,0.6781954887218045,0.6361071932299013,0.6564774381368268
llava_1_5_7b,AE_I_SC,44,fixed_0.5,0.5,0.9032258904651087,0.7093659442306077,0.6452442159383034,0.7080394922425952,0.6751849361129791
llava_1_5_7b,AE_I_SC,44,train_f1,0.46634259819984436,0.9032258904651087,0.7093659442306077,0.6619718309859155,0.6629055007052186,0.6624383368569415
llava_1_5_7b,AE_I_SC,45,fixed_0.5,0.5,0.9046377745997443,0.7165014765169929,0.59536354056902,0.7968970380818053,0.6815440289505428
llava_1_5_7b,AE_I_SC,45,train_f1,0.3616923987865448,0.9046377745997443,0.7165014765169929,0.6738197424892703,0.6643159379407616,0.6690340909090909
llava_1_5_7b,B_SC,43,fixed_0.5,0.5,0.8950063460994204,0.6902773628151134,0.746875,0.33709449929478136,0.4645286686103013
llava_1_5_7b,B_SC,43,train_f1,0.6997684836387634,0.8950063460994204,0.6902773628151134,0.6562962962962963,0.6248236953455572,0.6401734104046243
llava_1_5_7b,B_SC,44,fixed_0.5,0.5,0.9009985340018394,0.7045105307832954,0.6537396121883656,0.6657263751763046,0.6596785464709993
llava_1_5_7b,B_SC,44,train_f1,0.5536980628967285,0.9009985340018394,0.7045105307832954,0.6383248730964467,0.7094499294781382,0.6720106880427522
llava_1_5_7b,B_SC,45,fixed_0.5,0.5,0.9015460406185088,0.7092414305927027,0.6294046172539489,0.7306064880112835,0.6762402088772846
