model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
internvl_2_5_8b,train,ovir,REAL,24,7979,7979,0,0.9859879663480249,0.9824614525613666,0.9875391300954375,0.9911023295521805
internvl_2_5_8b,train,ovir,REAL,25,7979,7979,0,0.9877340870296804,0.9858861304113427,0.9905854711136283,0.9937932736599381
internvl_2_5_8b,train,ovir,REAL,26,7979,7979,0,0.9927332654722081,0.9909551929459541,0.9940071878028918,0.9962117093667834
internvl_2_5_8b,train,ovir,REAL,27,7979,7979,0,0.9916184573855367,0.9910689091654051,0.9945230561663019,0.9966966856565437
internvl_2_5_8b,train,ovir,REAL,28,7979,7979,0,0.9936176409605965,0.9927487602016837,0.9964556957108537,0.998063914807871
internvl_2_5_8b,train,ovir,REAL,29,7979,7979,0,0.9848798728949087,0.9806346791026204,0.9866289907913528,0.9911634603085433
internvl_2_5_8b,train,ovir,REAL,30,7979,7979,0,0.9696473721944803,0.9606343577763559,0.9740207179736541,0.9836002564733104
internvl_2_5_8b,train,ovir,REAL,31,7979,7979,0,0.9760992070705072,0.9693005109150241,0.9803588734647544,0.9879918073369871
internvl_2_5_8b,train,ovir,REAL,32,7979,7979,0,0.950065428567697,0.9377847116483109,0.9586149548150283,0.9746242514076618
internvl_2_5_8b,train,ovir,HALL,1,1387,1387,0,0.964882860649788,0.9519626811748706,0.965602670831194,0.9832269005660763
internvl_2_5_8b,train,ovir,HALL,2,1387,1387,0,0.9354130716931532,0.9284411655641129,0.94065635429181,0.9507376022297525
internvl_2_5_8b,train,ovir,HALL,3,1387,1387,0,0.9559891237346039,0.9489848214630636,0.95851300792733,0.9667161935258677
internvl_2_5_8b,train,ovir,HALL,4,1387,1387,0,0.9083686778361868,0.8958199093604621,0.909776376187659,0.9231757945053116
internvl_2_5_8b,train,ovir,HALL,5,1387,1387,0,0.8939542619218064,0.8809088186302769,0.8948033435264482,0.907925786525347
internvl_2_5_8b,train,ovir,HALL,6,1387,1387,0,0.8799611666373981,0.8611783995789677,0.8810084409983278,0.8989111391476587
internvl_2_5_8b,train,ovir,HALL,7,1387,1387,0,0.8687744363114008,0.8417671988212696,0.8687138721214679,0.892709478994657
internvl_2_5_8b,train,ovir,HALL,8,1387,1387,0,0.8049478354407714,0.7703847395589773,0.7993875745524905,0.8363800825435566
internvl_2_5_8b,train,ovir,HALL,9,1387,1387,0,0.8176142215952588,0.7927996621653063,0.8163195275817209,0.8413586613608337
internvl_2_5_8b,train,ovir,HALL,10,1387,1387,0,0.8668825172542179,0.8415485791005735,0.8649079172375937,0.8896423777850363
internvl_2_5_8b,train,ovir,HALL,11,1387,1387,0,0.855923536427605,0.8286596725237956,0.8539624756330939,0.8815636982446042
internvl_2_5_8b,train,ovir,HALL,12,1387,1387,0,0.8620192039024305,0.8420465464668325,0.8618843593490894,0.8808659537772991
internvl_2_5_8b,train,ovir,HALL,13,1387,1387,0,0.8590987559169375,0.8306412914262342,0.8567940062211853,0.8870178263325375
internvl_2_5_8b,train,ovir,HALL,14,1387,1387,0,0.8549169393893569,0.8320686276430296,0.8535835147870403,0.8772913188006555
internvl_2_5_8b,train,ovir,HALL,15,1387,1387,0,0.8543848911787665,0.8360354580931548,0.8542651952692082,0.8715934333476034
internvl_2_5_8b,train,ovir,HALL,16,1387,1387,0,0.885359048839698,0.8673082533667966,0.8847033321767751,0.9017509871891873
internvl_2_5_8b,train,ovir,HALL,17,1387,1387,0,0.904392449818101,0.8902903432667234,0.9048305582794742,0.9189873122366587
internvl_2_5_8b,train,ovir,HALL,18,1387,1387,0,0.9259389434240876,0.9110758756261188,0.9268292687884431,0.9411100871881323
internvl_2_5_8b,train,ovir,HALL,19,1387,1387,0,0.9496752583006951,0.9421715025253801,0.9496746840547063,0.9572865305853359
internvl_2_5_8b,train,ovir,HALL,20,1387,1387,0,0.9628202315106293,0.9539454315147395,0.9633553848215184,0.9722687374426098
internvl_2_5_8b,train,ovir,HALL,21,1387,1387,0,0.9608484747217112,0.9540682347974172,0.9614301287742281,0.9688631761035275
internvl_2_5_8b,train,ovir,HALL,22,1387,1387,0,0.9698381440039955,0.9643919155731284,0.9706322215263801,0.9767035708270497
internvl_2_5_8b,train,ovir,HALL,23,1387,1387,0,0.9835540263319965,0.9803707119570733,0.9847688060549435,0.9883199984817186
internvl_2_5_8b,train,ovir,HALL,24,1387,1387,0,0.9872222916623717,0.9848152447108343,0.9896750814377527,0.9923764928893013
internvl_2_5_8b,train,ovir,HALL,25,1387,1387,0,0.990566691192772,0.9883818641813369,0.992359876172458,0.9951847778196825
internvl_2_5_8b,train,ovir,HALL,26,1387,1387,0,0.9933589440983559,0.9916652234364992,0.994775759832025,0.9968830714635866
internvl_2_5_8b,train,ovir,HALL,27,1387,1387,0,0.9913893868122506,0.989969291151817,0.9950009379267457,0.9971692316942573
internvl_2_5_8b,train,ovir,HALL,28,1387,1387,0,0.9926453742497957,0.991265325188601,0.996719625386656,0.9982051984142026
internvl_2_5_8b,train,ovir,HALL,29,1387,1387,0,0.9868754614796331,0.9838471465745358,0.9891733408451121,0.9929456112927447
internvl_2_5_8b,train,ovir,HALL,30,1387,1387,0,0.9780812372198154,0.972225717854078,0.9812072719218066,0.9878301479159062
internvl_2_5_8b,train,ovir,HALL,31,1387,1387,0,0.9790005330538553,0.9743866840539672,0.9839480346555576,0.9897208788131187
internvl_2_5_8b,train,ovir,HALL,32,1387,1387,0,0.937932443575603,0.9265791538963023,0.9618070931144739,0.9772110925639437
internvl_2_5_8b,train,rank95,REAL,1,7979,7979,0,17.27033462839955,14.0,17.0,21.0
internvl_2_5_8b,train,rank95,REAL,2,7979,7979,0,13.312821155533275,10.0,12.0,16.0
internvl_2_5_8b,train,rank95,REAL,3,7979,7979,0,9.002130592806116,6.0,8.0,12.0
internvl_2_5_8b,train,rank95,REAL,4,7979,7979,0,10.90813385135982,8.0,10.0,13.0
internvl_2_5_8b,train,rank95,REAL,5,7979,7979,0,14.710991352299787,10.0,14.0,19.0
internvl_2_5_8b,train,rank95,REAL,6,7979,7979,0,17.168442160671763,12.0,17.0,22.0
internvl_2_5_8b,train,rank95,REAL,7,7979,7979,0,21.133976688808122,13.0,22.0,29.0
internvl_2_5_8b,train,rank95,REAL,8,7979,7979,0,20.083594435392907,12.0,20.0,27.0
internvl_2_5_8b,train,rank95,REAL,9,7979,7979,0,32.52274721143,24.0,32.0,41.0
internvl_2_5_8b,train,rank95,REAL,10,7979,7979,0,21.77691440030079,11.0,20.0,30.0
internvl_2_5_8b,train,rank95,REAL,11,7979,7979,0,23.075949367088608,10.0,19.0,34.0
internvl_2_5_8b,train,rank95,REAL,12,7979,7979,0,22.420353427747838,12.0,19.0,31.0
internvl_2_5_8b,train,rank95,REAL,13,7979,7979,0,20.480260684296276,9.0,17.0,29.0
internvl_2_5_8b,train,rank95,REAL,14,7979,7979,0,19.55483143251034,9.0,17.0,28.0
internvl_2_5_8b,train,rank95,REAL,15,7979,7979,0,20.49016167439529,9.0,17.0,29.0
internvl_2_5_8b,train,rank95,REAL,16,7979,7979,0,22.29138989848352,11.0,20.0,31.0
internvl_2_5_8b,train,rank95,REAL,17,7979,7979,0,18.905501942599322,10.0,17.0,26.0
internvl_2_5_8b,train,rank95,REAL,18,7979,7979,0,11.916029577641309,6.0,10.0,16.0
internvl_2_5_8b,train,rank95,REAL,19,7979,7979,0,14.33575636044617,7.0,12.0,19.0
internvl_2_5_8b,train,rank95,REAL,20,7979,7979,0,15.89133976688808,9.0,14.0,21.0
internvl_2_5_8b,train,rank95,REAL,21,7979,7979,0,20.450933700965034,12.0,19.0,28.0
internvl_2_5_8b,train,rank95,REAL,22,7979,7979,0,15.434640932447675,9.0,14.0,21.0
