model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_real_auroc
qwen2_5_vl_7b,HALL,18,916,0.24648217856884003,0.20948737859725952,0.24440814554691315,0.28157150745391846,0.4868595393379754
qwen2_5_vl_7b,HALL,19,916,0.25847023725509644,0.22138133645057678,0.258905827999115,0.2950041592121124,0.3854540258806815
qwen2_5_vl_7b,HALL,20,916,0.28722161054611206,0.2517175078392029,0.2900022566318512,0.3249043822288513,0.4151477612600333
qwen2_5_vl_7b,HALL,21,916,0.2811078131198883,0.24674919247627258,0.28174692392349243,0.3157780170440674,0.4020517328144584
qwen2_5_vl_7b,HALL,22,916,0.2492605745792389,0.21513527631759644,0.24732333421707153,0.28019264340400696,0.4311676394639809
qwen2_5_vl_7b,HALL,23,916,0.26471370458602905,0.2299414575099945,0.2640795111656189,0.29672038555145264,0.38487528751492506
qwen2_5_vl_7b,HALL,24,916,0.2539248466491699,0.22048085927963257,0.2489144504070282,0.28245994448661804,0.39478332192323345
qwen2_5_vl_7b,HALL,25,916,0.27031174302101135,0.2382286936044693,0.2707478404045105,0.3030640780925751,0.4731746965594491
qwen2_5_vl_7b,HALL,26,916,0.2810414731502533,0.25009721517562866,0.28242039680480957,0.3112165331840515,0.4408237047204227
qwen2_5_vl_7b,HALL,27,916,0.2718828618526459,0.22905142605304718,0.26305270195007324,0.3016679883003235,0.4395232052323378
qwen2_5_vl_7b,HALL,28,916,0.27439966797828674,0.20387104153633118,0.25072968006134033,0.3264428973197937,0.38582480747905457
qwen2_5_vl_7b,REAL,1,7801,0.2530239224433899,0.21874448657035828,0.25221407413482666,0.28575488924980164,0.37320164977169534
qwen2_5_vl_7b,REAL,2,7801,0.22012034058570862,0.1891702562570572,0.21794287860393524,0.24870353937149048,0.41662312076214614
qwen2_5_vl_7b,REAL,3,7801,0.17132249474525452,0.1503908932209015,0.16923607885837555,0.19063137471675873,0.5163112415886666
qwen2_5_vl_7b,REAL,4,7801,0.1771751195192337,0.14985457062721252,0.1731206476688385,0.1999056190252304,0.5535334737624613
qwen2_5_vl_7b,REAL,5,7801,0.17537318170070648,0.14275358617305756,0.16769851744174957,0.19936373829841614,0.6088711054287632
qwen2_5_vl_7b,REAL,6,7801,0.1474388986825943,0.11357017606496811,0.1369192898273468,0.17334246635437012,0.5773686639659343
qwen2_5_vl_7b,REAL,7,7801,0.14762639999389648,0.11969075351953506,0.14501675963401794,0.17318089306354523,0.6144784511447139
qwen2_5_vl_7b,REAL,8,7801,0.12243630737066269,0.09961923211812973,0.1181531548500061,0.14024890959262848,0.5755006216311983
qwen2_5_vl_7b,REAL,9,7801,0.1729935258626938,0.13874828815460205,0.169923797249794,0.20268085598945618,0.5723214440652273
qwen2_5_vl_7b,REAL,10,7801,0.17130237817764282,0.1449243426322937,0.16854918003082275,0.19358696043491364,0.4888052505865052
qwen2_5_vl_7b,REAL,11,7801,0.15024979412555695,0.1256103664636612,0.14862298965454102,0.17224782705307007,0.5895325954739875
qwen2_5_vl_7b,REAL,12,7801,0.1888885647058487,0.15278804302215576,0.18782229721546173,0.22251251339912415,0.5113290256707655
qwen2_5_vl_7b,REAL,13,7801,0.18460729718208313,0.15112973749637604,0.18060919642448425,0.21493899822235107,0.4716197788996932
qwen2_5_vl_7b,REAL,14,7801,0.18480439484119415,0.15199890732765198,0.17936915159225464,0.21264873445034027,0.45055512981484286
qwen2_5_vl_7b,REAL,15,7801,0.22007347643375397,0.18097442388534546,0.21663498878479004,0.25518324971199036,0.38807846547497826
qwen2_5_vl_7b,REAL,16,7801,0.21570666134357452,0.17541278898715973,0.21373514831066132,0.2530858814716339,0.43760233404182314
qwen2_5_vl_7b,REAL,17,7801,0.27780407667160034,0.24227626621723175,0.27748265862464905,0.3130490779876709,0.41255802777496337
qwen2_5_vl_7b,REAL,18,7801,0.24350251257419586,0.2077445387840271,0.2416817843914032,0.27764347195625305,0.4868595393379754
qwen2_5_vl_7b,REAL,19,7801,0.23753155767917633,0.19923870265483856,0.23536893725395203,0.2722604274749756,0.3854540258806815
qwen2_5_vl_7b,REAL,20,7801,0.272347092628479,0.24072635173797607,0.2734670639038086,0.3050767481327057,0.4151477612600333
qwen2_5_vl_7b,REAL,21,7801,0.26427507400512695,0.23220060765743256,0.26460546255111694,0.29606765508651733,0.4020517328144584
qwen2_5_vl_7b,REAL,22,7801,0.2377450317144394,0.20831653475761414,0.23577041923999786,0.26411688327789307,0.4311676394639809
qwen2_5_vl_7b,REAL,23,7801,0.24496830999851227,0.21283555030822754,0.24336038529872894,0.27304691076278687,0.38487528751492506
qwen2_5_vl_7b,REAL,24,7801,0.23745141923427582,0.20368996262550354,0.23178038001060486,0.2635835111141205,0.39478332192323345
qwen2_5_vl_7b,REAL,25,7801,0.26566579937934875,0.23572441935539246,0.2664142847061157,0.2957927882671356,0.4731746965594491
qwen2_5_vl_7b,REAL,26,7801,0.27223336696624756,0.24140404164791107,0.27097269892692566,0.30252397060394287,0.4408237047204227
qwen2_5_vl_7b,REAL,27,7801,0.2606552541255951,0.21879421174526215,0.25003036856651306,0.2886011600494385,0.4395232052323378
qwen2_5_vl_7b,REAL,28,7801,0.2459784597158432,0.1791265308856964,0.21563363075256348,0.27481377124786377,0.38582480747905457
