model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
qwen3_vl_8b,REAL,11,12280,0.2577081322669983,0.11726178228855133,0.19170209765434265,0.40938299894332886,0.5421561087166527
qwen3_vl_8b,REAL,12,12280,0.27203139662742615,0.12945595383644104,0.22932061553001404,0.41865110397338867,0.4982223971830951
qwen3_vl_8b,REAL,13,12280,0.1983855664730072,0.113431915640831,0.1420024335384369,0.2482292801141739,0.5321534989592375
qwen3_vl_8b,REAL,14,12280,0.36861518025398254,0.2665266990661621,0.4088897109031677,0.47388917207717896,0.5648759470184699
qwen3_vl_8b,REAL,15,12280,0.32961031794548035,0.20009270310401917,0.35850292444229126,0.43726834654808044,0.6059297865337774
qwen3_vl_8b,REAL,16,12280,0.37951359152793884,0.2990175485610962,0.4051401615142822,0.47213008999824524,0.5394844048936563
qwen3_vl_8b,REAL,17,12280,0.3112359046936035,0.16525773704051971,0.3055661916732788,0.44529590010643005,0.5022251086927847
qwen3_vl_8b,REAL,18,12280,0.3986491560935974,0.33860695362091064,0.4126509428024292,0.47264787554740906,0.5859271893383715
qwen3_vl_8b,REAL,19,12280,0.4223150908946991,0.36785635352134705,0.4448421597480774,0.49992892146110535,0.5710146240630312
qwen3_vl_8b,REAL,20,12280,0.3870464265346527,0.3007199168205261,0.4065002202987671,0.48193061351776123,0.5957341615047277
qwen3_vl_8b,REAL,21,12280,0.4230458438396454,0.36358770728111267,0.4326556324958801,0.4927058219909668,0.6453229441329764
qwen3_vl_8b,REAL,22,12280,0.3955622911453247,0.33498695492744446,0.40266844630241394,0.46491575241088867,0.6567775180233427
qwen3_vl_8b,REAL,23,12280,0.3396528363227844,0.22078301012516022,0.3553878664970398,0.4410763382911682,0.524132263510755
qwen3_vl_8b,REAL,24,12280,0.4112098217010498,0.35323426127433777,0.4214562773704529,0.47835466265678406,0.6283983375437001
qwen3_vl_8b,REAL,25,12280,0.43754637241363525,0.3834526538848877,0.4475504755973816,0.5005126595497131,0.6175475095188625
qwen3_vl_8b,REAL,26,12280,0.3910464942455292,0.3220731019973755,0.40476372838020325,0.4705691337585449,0.6138393614228234
qwen3_vl_8b,REAL,27,12280,0.4386143684387207,0.3885001540184021,0.4488365352153778,0.5009102821350098,0.6010165177859208
qwen3_vl_8b,REAL,28,12280,0.4242202341556549,0.36782538890838623,0.43926191329956055,0.49628451466560364,0.6292711616466784
qwen3_vl_8b,REAL,29,12280,0.40321406722068787,0.3479222357273102,0.4125143885612488,0.4684792459011078,0.6513560374900603
qwen3_vl_8b,REAL,30,12280,0.46351441740989685,0.40709125995635986,0.47481638193130493,0.5329639911651611,0.6192160740957551
qwen3_vl_8b,REAL,31,12280,0.42141827940940857,0.35432004928588867,0.43520811200141907,0.5032524466514587,0.6302434297551288
qwen3_vl_8b,REAL,32,12280,0.42731744050979614,0.37506216764450073,0.4380931854248047,0.4890381991863251,0.6723373722286637
qwen3_vl_8b,REAL,33,12280,0.42060935497283936,0.3592790961265564,0.4307708740234375,0.49173274636268616,0.6675311317993445
qwen3_vl_8b,REAL,34,12280,0.4488723874092102,0.39645859599113464,0.46047940850257874,0.5130515694618225,0.6643185235619326
qwen3_vl_8b,REAL,35,12280,0.44722163677215576,0.39708131551742554,0.4574725031852722,0.5081859827041626,0.6405611261087544
qwen3_vl_8b,REAL,36,12280,0.6349338889122009,0.6186836957931519,0.643110454082489,0.6619210839271545,0.5412435258544993
