model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,visual,0,2778,2,0.25601472012575277,0.24694223701953888,0.22881712391972542,0.27121810615062714
llava_1_5_7b,train,raw_attention,visual,0,2778,3,0.15938687366631238,0.15729400515556335,0.13288411498069763,0.1844801902770996
llava_1_5_7b,train,raw_attention,visual,0,2778,4,0.07264193991511587,0.07159572467207909,0.057106150314211845,0.08663265034556389
llava_1_5_7b,train,raw_attention,visual,0,2778,5,0.05445563150107152,0.05322203412652016,0.0431448370218277,0.06408884935081005
llava_1_5_7b,train,raw_attention,visual,0,2778,6,0.04820539109888933,0.04580443352460861,0.03824998997151852,0.055366418324410915
llava_1_5_7b,train,raw_attention,visual,0,2778,7,0.04882478304247555,0.044946545735001564,0.03672165796160698,0.05444413889199495
llava_1_5_7b,train,raw_attention,visual,0,2778,8,0.05184444236247938,0.047884536907076836,0.03959152661263943,0.05892644822597504
llava_1_5_7b,train,raw_attention,visual,0,2778,9,0.05348203657094397,0.04818562790751457,0.03917411342263222,0.0605660080909729
llava_1_5_7b,train,raw_attention,visual,0,2778,10,0.05781551037128556,0.053009165450930595,0.04298779182136059,0.0655163824558258
llava_1_5_7b,train,raw_attention,visual,0,2778,11,0.07597654758261274,0.06974869593977928,0.055218035355210304,0.08871961385011673
llava_1_5_7b,train,raw_attention,visual,0,2778,12,0.1338180180443243,0.1324320062994957,0.11262308247387409,0.15143752843141556
llava_1_5_7b,train,raw_attention,visual,0,2778,13,0.07575286437051278,0.07220403850078583,0.059239914640784264,0.08512561395764351
llava_1_5_7b,train,raw_attention,visual,0,2778,14,0.11685567240105356,0.11774008721113205,0.09680086374282837,0.13619257882237434
llava_1_5_7b,train,raw_attention,visual,0,2778,15,0.1588824034626264,0.15500757098197937,0.12108318880200386,0.19229130819439888
llava_1_5_7b,train,raw_attention,visual,0,2778,16,0.12462476706916777,0.12293494865298271,0.09909062087535858,0.14786402881145477
llava_1_5_7b,train,raw_attention,visual,0,2778,17,0.11428404406726875,0.11070969328284264,0.09084971435368061,0.13296495750546455
