model,split,label,layer,n,mean,median,q25,q75
shikra_7b,test,0,4,751,0.5594479441642761,0.5650715827941895,0.5263316631317139,0.5976977050304413
shikra_7b,test,0,5,751,0.5349523425102234,0.5360961556434631,0.5061905682086945,0.5692912638187408
shikra_7b,test,0,6,751,0.5604912638664246,0.5638940334320068,0.5289696156978607,0.5956544578075409
shikra_7b,test,0,7,751,0.5301306843757629,0.5318137407302856,0.49494102597236633,0.566734105348587
shikra_7b,test,0,8,751,0.5346369743347168,0.5379840135574341,0.5008646547794342,0.5698682367801666
shikra_7b,test,0,9,751,0.5154146552085876,0.5158225297927856,0.48096007108688354,0.547063559293747
shikra_7b,test,0,10,751,0.5047567486763,0.5057376623153687,0.4675152599811554,0.5400570929050446
shikra_7b,test,0,11,751,0.48228493332862854,0.48256242275238037,0.4421219527721405,0.5235276222229004
shikra_7b,test,0,12,751,0.43751364946365356,0.43868663907051086,0.3956008106470108,0.4794809967279434
shikra_7b,test,0,13,751,0.4927017390727997,0.4952738583087921,0.4546792060136795,0.5286285877227783
shikra_7b,test,0,14,751,0.534980058670044,0.535950779914856,0.4948962926864624,0.5752753913402557
shikra_7b,test,0,15,751,0.47646868228912354,0.47643759846687317,0.4385838210582733,0.512589305639267
shikra_7b,test,0,16,751,0.5142748951911926,0.5175888538360596,0.47412240505218506,0.5615879595279694
shikra_7b,test,0,17,751,0.4947102963924408,0.4957772195339203,0.4576202780008316,0.5328275561332703
shikra_7b,test,0,18,751,0.5087200403213501,0.5133151412010193,0.4734758585691452,0.5444835722446442
shikra_7b,test,0,19,751,0.6008855700492859,0.6052284240722656,0.5657703280448914,0.644796222448349
shikra_7b,test,0,20,751,0.5774779319763184,0.582783579826355,0.5401555299758911,0.6155277192592621
shikra_7b,test,0,21,751,0.5556887984275818,0.5620687007904053,0.5254980325698853,0.5904014706611633
shikra_7b,test,0,22,751,0.612441897392273,0.6191735863685608,0.5796814858913422,0.6528620719909668
shikra_7b,test,0,23,751,0.5691577196121216,0.5713853240013123,0.5396643280982971,0.6068984866142273
shikra_7b,test,0,24,751,0.6145560145378113,0.6216336488723755,0.5805681347846985,0.6583018898963928
shikra_7b,test,0,25,751,0.6053974032402039,0.606995165348053,0.5628048479557037,0.6488233208656311
shikra_7b,test,0,26,751,0.5512922406196594,0.5537176132202148,0.515358954668045,0.5902624130249023
shikra_7b,test,0,27,751,0.5623134970664978,0.5642248392105103,0.5231969356536865,0.6041955351829529
shikra_7b,test,0,28,751,0.5886414051055908,0.5898892283439636,0.5499269664287567,0.6299569010734558
shikra_7b,test,0,29,751,0.621087908744812,0.6242596507072449,0.5812133252620697,0.6665997505187988
shikra_7b,test,0,30,751,0.5294859409332275,0.5262570977210999,0.49132421612739563,0.5680618286132812
shikra_7b,test,0,31,751,0.47237512469291687,0.47127753496170044,0.43103086948394775,0.5118610560894012
shikra_7b,test,0,32,751,0.4134308099746704,0.4124751091003418,0.37406764924526215,0.44861844182014465
shikra_7b,test,1,1,2592,0.14207880198955536,0.1410076916217804,0.10455767437815666,0.1776081956923008
shikra_7b,test,1,2,2592,0.14585626125335693,0.1447947919368744,0.12019776180386543,0.16818305104970932
shikra_7b,test,1,3,2592,0.1421351432800293,0.14120128750801086,0.11972988583147526,0.1648896001279354
shikra_7b,test,1,4,2592,0.5745866298675537,0.5803167819976807,0.5403806567192078,0.6122052520513535
shikra_7b,test,1,5,2592,0.5619696974754333,0.5649479031562805,0.5249659270048141,0.6027245223522186
shikra_7b,test,1,6,2592,0.5958451628684998,0.5975052118301392,0.5574867874383926,0.637591764330864
shikra_7b,test,1,7,2592,0.5721905827522278,0.5746421813964844,0.529940664768219,0.6184825599193573
shikra_7b,test,1,8,2592,0.5603266954421997,0.5650647282600403,0.525314211845398,0.5990026891231537
shikra_7b,test,1,9,2592,0.5585255026817322,0.5615835785865784,0.5164908766746521,0.6054684668779373
shikra_7b,test,1,10,2592,0.5522819757461548,0.5560515522956848,0.508595734834671,0.6012928336858749
shikra_7b,test,1,11,2592,0.5356637239456177,0.5397526621818542,0.48553720116615295,0.5908484011888504
shikra_7b,test,1,12,2592,0.4855031669139862,0.48888611793518066,0.44058211892843246,0.5331136882305145
shikra_7b,test,1,13,2592,0.5413285493850708,0.5464909076690674,0.4928150027990341,0.5940725058317184
