model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,train,visual_gross_norm,HALL,24,108,108,0,36.82153300129698,22.810717503082554,33.70015375014053,51.40408954059825
qwen2_5_vl_7b,train,visual_gross_norm,HALL,25,108,108,0,24.491920422182346,14.992113748534113,21.270229063708975,33.367574695340124
qwen2_5_vl_7b,train,visual_gross_norm,HALL,26,108,108,0,24.054954040136213,12.265804418570564,21.288243694939112,30.893820626832852
qwen2_5_vl_7b,train,visual_gross_norm,HALL,27,108,108,0,59.85288447857975,37.08087922008076,58.29340729949814,78.25203580479129
qwen2_5_vl_7b,train,visual_gross_norm,HALL,28,108,108,0,121.62745917671143,75.81529514140769,114.36217638274039,165.62605870923977
qwen2_5_vl_7b,train,visual_group_gain,REAL,1,798,798,0,4.6478094232776455,3.5750521984847246,4.773695543709449,5.604635018729991
qwen2_5_vl_7b,train,visual_group_gain,REAL,2,798,798,0,0.6016983896570127,0.4452588306515062,0.5703230171643319,0.7128377261987121
qwen2_5_vl_7b,train,visual_group_gain,REAL,3,798,798,0,0.5329790532463834,0.4416245928085471,0.4980429262781413,0.5899989676481292
qwen2_5_vl_7b,train,visual_group_gain,REAL,4,798,798,0,0.48839116995412524,0.40745550041178136,0.4873082438014263,0.5639716432521946
qwen2_5_vl_7b,train,visual_group_gain,REAL,5,798,798,0,0.7139665728905739,0.6300388126302645,0.7060825019908262,0.7893748305213549
qwen2_5_vl_7b,train,visual_group_gain,REAL,6,798,798,0,0.6931504477291056,0.6151652985178897,0.6837019984742831,0.7691763833947334
qwen2_5_vl_7b,train,visual_group_gain,REAL,7,798,798,0,0.7824866323778934,0.7070896394534714,0.7563561298009533,0.8438646857011456
qwen2_5_vl_7b,train,visual_group_gain,REAL,8,798,798,0,0.8876820034091959,0.8152717789467668,0.8590215679581316,0.9420316272277979
qwen2_5_vl_7b,train,visual_group_gain,REAL,9,798,798,0,0.8374288248006627,0.7426468711636549,0.8239260584516104,0.9233205282733481
qwen2_5_vl_7b,train,visual_group_gain,REAL,10,798,798,0,1.1536667375406122,0.9537311257790262,1.0635245161827926,1.2598361175117725
qwen2_5_vl_7b,train,visual_group_gain,REAL,11,798,798,0,0.6826078543585106,0.640636177614274,0.6727968512558273,0.7138500929259941
qwen2_5_vl_7b,train,visual_group_gain,REAL,12,798,798,0,0.8000068514058938,0.747393272183247,0.7957573923034216,0.8448875835001339
qwen2_5_vl_7b,train,visual_group_gain,REAL,13,798,798,0,0.798091992724063,0.7427303381529051,0.7830849988730315,0.8369789133415683
qwen2_5_vl_7b,train,visual_group_gain,REAL,14,798,798,0,0.8263817423829111,0.7799918220657942,0.8167865892766075,0.8680808619837406
qwen2_5_vl_7b,train,visual_group_gain,REAL,15,798,798,0,0.7983280008456498,0.7383169866482151,0.7893788675831572,0.8484808517952835
qwen2_5_vl_7b,train,visual_group_gain,REAL,16,798,798,0,0.7022082286944346,0.6462112937925863,0.7009448066976767,0.7479678143669247
qwen2_5_vl_7b,train,visual_group_gain,REAL,17,798,798,0,0.7660094824571403,0.7089786781392808,0.7607433371218663,0.819028973473264
qwen2_5_vl_7b,train,visual_group_gain,REAL,18,798,798,0,0.6394399817820271,0.5815656707669017,0.6295420445440124,0.6876269768967833
qwen2_5_vl_7b,train,visual_group_gain,REAL,19,798,798,0,0.6803663266474655,0.610920183204628,0.6563379498239181,0.7324109930809348
qwen2_5_vl_7b,train,visual_group_gain,REAL,20,798,798,0,0.7475206584497729,0.6909707845989884,0.7432673163654301,0.7956973111442688
qwen2_5_vl_7b,train,visual_group_gain,REAL,21,798,798,0,0.6939421323202412,0.6145527533648736,0.6791666475178834,0.7651352604097216
qwen2_5_vl_7b,train,visual_group_gain,REAL,22,798,798,0,0.7358243546959843,0.6712414766816767,0.7223268611130873,0.7822393102818955
qwen2_5_vl_7b,train,visual_group_gain,REAL,23,798,798,0,0.6498837337270421,0.5983549344009518,0.6345596410861636,0.6914216988833485
qwen2_5_vl_7b,train,visual_group_gain,REAL,24,798,798,0,0.7881586980008238,0.6368905528855697,0.7550870217444772,0.899019989271455
qwen2_5_vl_7b,train,visual_group_gain,REAL,25,798,798,0,0.46757643153604805,0.4236874342467909,0.4581505152690989,0.49754070102780246
qwen2_5_vl_7b,train,visual_group_gain,REAL,26,798,798,0,0.43667670494572713,0.3961530870133239,0.4249176379860679,0.46578226336103373
qwen2_5_vl_7b,train,visual_group_gain,REAL,27,798,798,0,0.5225631025548656,0.46732123235684236,0.5126178035369353,0.5635439577625498
qwen2_5_vl_7b,train,visual_group_gain,REAL,28,798,798,0,1.142774152403711,0.9929628059343464,1.1186128074913526,1.2604639143893712
qwen2_5_vl_7b,train,visual_group_gain,HALL,1,108,108,0,4.546699668161643,3.5317404433762825,4.677508456556822,5.429083173306735
qwen2_5_vl_7b,train,visual_group_gain,HALL,2,108,108,0,0.5392474605923996,0.38602911645972915,0.5203090932262748,0.648993436453249
