model,metric,scope,layers,paired_positive_layers,paired_negative_layers,paired_layer_mean,numerical_status,real_layer_mean,real_undefined_entries,hall_layer_mean,hall_undefined_entries
qwen2_5_vl_7b,b2_cos_residual_generation,all,28,19,9,0.006896409777330436,B2_K4_PROVISIONAL,0.09811859820393538,0,0.1122726743281511,0
qwen2_5_vl_7b,b2_cos_residual_generation,train,28,18,10,0.008991676258387557,B2_K4_PROVISIONAL,0.0984992727781715,0,0.11303328103059644,0
qwen2_5_vl_7b,b2_cos_residual_generation,test,28,16,12,-0.007595850049981331,B2_K4_PROVISIONAL,0.0966581255585487,0,0.106405136909287,0
qwen2_5_vl_7b,b2_cos_residual_prompt,all,28,9,19,-0.02765318843046732,B2_K4_PROVISIONAL,-0.021228646737498056,0,-0.05141146987533351,0
qwen2_5_vl_7b,b2_cos_residual_prompt,train,28,8,20,-0.028051475737619434,B2_K4_PROVISIONAL,-0.02194379893302631,0,-0.05191775789062259,0
qwen2_5_vl_7b,b2_cos_residual_prompt,test,28,7,21,-0.024898367889331852,B2_K4_PROVISIONAL,-0.018484937833500224,0,-0.04750581947167489,0
qwen2_5_vl_7b,b2_cos_residual_visual,all,28,15,13,-0.00264569691582783,B2_K4_PROVISIONAL,0.161337788470342,0,0.1566458211101657,0
qwen2_5_vl_7b,b2_cos_residual_visual,train,28,16,12,-0.0010479853965427877,B2_K4_PROVISIONAL,0.16178611541025326,0,0.15796412974364613,0
qwen2_5_vl_7b,b2_cos_residual_visual,test,28,15,13,-0.013696534924216047,B2_K4_PROVISIONAL,0.15961776492202864,0,0.14647601165188795,0
qwen2_5_vl_7b,b2_delta_residual_generation_cos,all,28,14,14,-0.003404266342998347,B2_K4_PROVISIONAL,-0.018773346704735818,0,-0.014419845107092846,0
qwen2_5_vl_7b,b2_delta_residual_generation_cos,train,28,16,12,0.0001581270074062046,B2_K4_PROVISIONAL,-0.018608722423350675,0,-0.012776257955935353,0
qwen2_5_vl_7b,b2_delta_residual_generation_cos,test,28,16,12,-0.0280441536832965,B2_K4_PROVISIONAL,-0.019404934091972977,0,-0.027098945987450464,0
qwen2_5_vl_7b,b2_delta_residual_visual_cos,all,28,15,13,0.002819807879590213,B2_K4_PROVISIONAL,0.07109492746830352,0,0.07173104243431148,0
qwen2_5_vl_7b,b2_delta_residual_visual_cos,train,28,17,11,0.005111877460859885,B2_K4_PROVISIONAL,0.07189844122823565,0,0.07404515175018012,0
qwen2_5_vl_7b,b2_delta_residual_visual_cos,test,28,15,13,-0.013033673390858347,B2_K4_PROVISIONAL,0.06801221602394855,0,0.05387934199761059,0
qwen2_5_vl_7b,b2_generation_norm,all,28,27,1,1.2207753341136947,B2_K4_PROVISIONAL,13.09901100061484,0,14.584498526500791,0
qwen2_5_vl_7b,b2_generation_norm,train,28,26,2,1.1134143780890897,B2_K4_PROVISIONAL,13.163968201918177,0,14.60380389454087,0
qwen2_5_vl_7b,b2_generation_norm,test,28,27,1,1.9633552799505414,B2_K4_PROVISIONAL,12.849800199460702,0,14.435571401620198,0
qwen2_5_vl_7b,b2_prompt_norm,all,28,3,25,-0.44253528562689615,B2_K4_PROVISIONAL,6.226366663112233,0,5.773704022533168,0
qwen2_5_vl_7b,b2_prompt_norm,train,28,5,23,-0.39786130854366686,B2_K4_PROVISIONAL,6.216217988622053,0,5.785875031089373,0
qwen2_5_vl_7b,b2_prompt_norm,test,28,2,26,-0.7515302937858989,B2_K4_PROVISIONAL,6.265302443127447,0,5.679813385099592,0
qwen2_5_vl_7b,b2_residual_norm,all,28,26,2,2.12849608027819,B2_K4_PROVISIONAL,65.49172583811061,0,66.68784430046621,0
qwen2_5_vl_7b,b2_residual_norm,train,28,25,3,2.259969676363134,B2_K4_PROVISIONAL,65.54958207088812,0,66.97700305477115,0
qwen2_5_vl_7b,b2_residual_norm,test,28,21,7,1.2191370406906679,B2_K4_PROVISIONAL,65.26975817581997,0,64.45719105297101,0
qwen2_5_vl_7b,b2_residual_share,all,28,16,12,0.0013942181500210267,B2_K4_PROVISIONAL,0.7050205045963022,0,0.7038740105460847,0
qwen2_5_vl_7b,b2_residual_share,train,28,16,12,0.0014047594946955983,B2_K4_PROVISIONAL,0.70518657081698,0,0.7046750536940074,0
qwen2_5_vl_7b,b2_residual_share,test,28,15,13,0.0013213071826885738,B2_K4_PROVISIONAL,0.7043833851535091,0,0.6976945348335385,0
qwen2_5_vl_7b,b2_residual_visual_generation_balance,all,28,18,10,0.009542106693158265,B2_K4_PROVISIONAL,-0.06321919026640664,0,-0.04437314678201457,0
qwen2_5_vl_7b,b2_residual_visual_generation_balance,train,28,18,10,0.010039661654930343,B2_K4_PROVISIONAL,-0.06328684263208176,0,-0.044930848713049656,0
qwen2_5_vl_7b,b2_residual_visual_generation_balance,test,28,16,12,0.006100684874234726,B2_K4_PROVISIONAL,-0.06295963936347997,0,-0.040070874742600945,0
qwen2_5_vl_7b,b2_visual_norm,all,28,2,26,-0.8978878448501558,B2_K4_PROVISIONAL,6.105326016398015,0,5.264836870065382,0
qwen2_5_vl_7b,b2_visual_norm,train,28,1,27,-0.9179430849925271,B2_K4_PROVISIONAL,6.064233375332345,0,5.202118461608584,0
qwen2_5_vl_7b,b2_visual_norm,test,28,8,20,-0.7591724338654213,B2_K4_PROVISIONAL,6.262979514332646,0,5.748664592446403,0
qwen2_5_vl_7b,cos_pg_in,all,28,3,25,-0.08358030450925946,see full numerical report,-0.04238502413786942,0,-0.12213525567289794,0
qwen2_5_vl_7b,cos_pg_in,train,28,3,25,-0.07990276054857574,see full numerical report,-0.044930185988372805,0,-0.1229686623398427,0
qwen2_5_vl_7b,cos_pg_in,test,28,3,25,-0.1090166502373218,see full numerical report,-0.03262041280757273,0,-0.11570611852789549,0
qwen2_5_vl_7b,cos_pg_out,all,28,4,24,-0.04949748375769003,see full numerical report,-0.10689693526365972,0,-0.1585843003213143,0
qwen2_5_vl_7b,cos_pg_out,train,28,6,22,-0.04437829980306696,see full numerical report,-0.10827607553942567,0,-0.1579386734575944,0
qwen2_5_vl_7b,cos_pg_out,test,28,3,25,-0.08490517277716629,see full numerical report,-0.10160581055182692,0,-0.163564850412868,0
qwen2_5_vl_7b,cos_vg_in,all,28,23,5,0.03478488249544871,see full numerical report,0.18625369226878066,0,0.22291572758050285,0
qwen2_5_vl_7b,cos_vg_in,train,28,23,5,0.03580792024012745,see full numerical report,0.18695407675099515,0,0.22406764922899608,0
qwen2_5_vl_7b,cos_vg_in,test,28,23,5,0.027708871428087485,see full numerical report,0.18356664026489997,0,0.21402947486355536,0
qwen2_5_vl_7b,cos_vg_out,all,28,26,2,0.07191153766666733,see full numerical report,0.06506775555603192,0,0.13870260526075487,0
qwen2_5_vl_7b,cos_vg_out,train,28,26,2,0.07423756626145203,see full numerical report,0.0669332415087507,0,0.14337530587724753,0
qwen2_5_vl_7b,cos_vg_out,test,28,23,5,0.05582317321940632,see full numerical report,0.0579107469489666,0,0.10265605764781151,0
qwen2_5_vl_7b,cos_vp_in,all,28,1,27,-0.03668459947485871,see full numerical report,-0.06631862420032533,0,-0.10272040633588482,0
qwen2_5_vl_7b,cos_vp_in,train,28,0,28,-0.03726079489224255,see full numerical report,-0.06673553900019277,0,-0.10413798464921602,0
qwen2_5_vl_7b,cos_vp_in,test,28,3,25,-0.03269924783795383,see full numerical report,-0.06471911453544933,0,-0.09178480220447274,0
qwen2_5_vl_7b,cos_vp_out,all,28,9,19,-0.02868421726887792,see full numerical report,-0.0462621245125797,0,-0.08180170340978657,0
qwen2_5_vl_7b,cos_vp_out,train,28,9,19,-0.03261629126738296,see full numerical report,-0.04686228309037589,0,-0.08532407198797762,0
qwen2_5_vl_7b,cos_vp_out,test,28,14,14,-0.0014873721125514179,see full numerical report,-0.043959593045842495,0,-0.05462914580659876,0
qwen2_5_vl_7b,delta_cos_pg,all,28,20,8,0.03408282075156942,see full numerical report,-0.06451191112579029,0,-0.03644904464841635,0
qwen2_5_vl_7b,delta_cos_pg,train,28,20,8,0.03552446074550879,see full numerical report,-0.06334588955105287,0,-0.034970011117751665,0
qwen2_5_vl_7b,delta_cos_pg,test,28,15,13,0.02411147746015549,see full numerical report,-0.06898539774425419,0,-0.04785873188497256,0
qwen2_5_vl_7b,delta_cos_vg,all,28,24,4,0.03712665517121859,see full numerical report,-0.12118593671274873,0,-0.08421312231974797,0
qwen2_5_vl_7b,delta_cos_vg,train,28,25,3,0.03842964602132458,see full numerical report,-0.12002083524224447,0,-0.0806923433517485,0
qwen2_5_vl_7b,delta_cos_vg,test,28,18,10,0.028114301791318828,see full numerical report,-0.12565589331593335,0,-0.11137341721574381,0
qwen2_5_vl_7b,delta_cos_vp,all,28,16,12,0.008000382205980794,see full numerical report,0.020056499687745633,0,0.02091870292609824,0
qwen2_5_vl_7b,delta_cos_vp,train,28,16,12,0.004644503624859597,see full numerical report,0.019873255909816895,0,0.018813912661238424,0
qwen2_5_vl_7b,delta_cos_vp,test,28,20,8,0.031211875725402422,see full numerical report,0.020759521489606858,0,0.037155656397873986,0
qwen2_5_vl_7b,generation_attention_gate_mass,all,28,28,0,0.03902431282737668,see full numerical report,0.20665328189801332,0,0.24276467923738013,0
qwen2_5_vl_7b,generation_attention_gate_mass,train,28,28,0,0.03769057033622527,see full numerical report,0.20720883461889242,0,0.24221866216545024,0
