model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,prompt_attention_mass,21,95,95,-0.0355577165568084,-0.05522941549619037,0.28421052631578947
qwen2_5_vl_7b,all,prompt_attention_mass,22,95,95,-0.007436138072557617,-0.01527521014213562,0.4421052631578947
qwen2_5_vl_7b,all,prompt_attention_mass,23,95,95,0.015620752112907274,-0.0021027028560638428,0.49473684210526314
qwen2_5_vl_7b,all,prompt_attention_mass,24,95,95,0.01142900070077495,0.008950471878051758,0.5578947368421052
qwen2_5_vl_7b,all,prompt_attention_mass,25,95,95,-0.010629008088195528,-0.008895426988601685,0.45263157894736844
qwen2_5_vl_7b,all,prompt_attention_mass,26,95,95,-0.016306913615318767,-0.031110088030497196,0.42105263157894735
qwen2_5_vl_7b,all,prompt_attention_mass,27,95,95,0.019264120318387683,0.007245689630508423,0.5368421052631579
qwen2_5_vl_7b,all,prompt_attention_mass,28,95,95,0.005425944957032538,-0.002840399742126465,0.49473684210526314
qwen2_5_vl_7b,all,visual_attention_mass,1,95,95,-0.015147626554887543,-0.01894706441089511,0.17894736842105263
qwen2_5_vl_7b,all,visual_attention_mass,2,95,95,-0.008223676223046424,-0.008665044171114765,0.25263157894736843
qwen2_5_vl_7b,all,visual_attention_mass,3,95,95,-0.012746904540578263,-0.011247461661696434,0.17894736842105263
qwen2_5_vl_7b,all,visual_attention_mass,4,95,95,-0.018824631505760185,-0.017654722835868594,0.21052631578947367
qwen2_5_vl_7b,all,visual_attention_mass,5,95,95,-0.010790325371189078,-0.009466680511832238,0.2631578947368421
qwen2_5_vl_7b,all,visual_attention_mass,6,95,95,-0.018794248721709376,-0.01712510734796524,0.25263157894736843
qwen2_5_vl_7b,all,visual_attention_mass,7,95,95,-0.014440211880658018,-0.012812255881726742,0.21052631578947367
qwen2_5_vl_7b,all,visual_attention_mass,8,95,95,-0.020025427977374773,-0.025770150125026703,0.30526315789473685
qwen2_5_vl_7b,all,visual_attention_mass,9,95,95,-0.034396592720754834,-0.039918168137470886,0.3368421052631579
qwen2_5_vl_7b,all,visual_attention_mass,10,95,95,-0.037828020521423276,-0.04037439078092575,0.2631578947368421
qwen2_5_vl_7b,all,visual_attention_mass,11,95,95,-0.0212909189520175,-0.021195873618125916,0.24210526315789474
qwen2_5_vl_7b,all,visual_attention_mass,12,95,95,-0.023420600959737047,-0.02278910204768181,0.29473684210526313
qwen2_5_vl_7b,all,visual_attention_mass,13,95,95,-0.039185359563613145,-0.04169871732592584,0.23157894736842105
qwen2_5_vl_7b,all,visual_attention_mass,14,95,95,-0.0502466758602021,-0.05590469762682915,0.25263157894736843
qwen2_5_vl_7b,all,visual_attention_mass,15,95,95,-0.04132282963447404,-0.053313031792640686,0.37894736842105264
qwen2_5_vl_7b,all,visual_attention_mass,16,95,95,-0.02300570221781208,-0.026545381173491478,0.3263157894736842
qwen2_5_vl_7b,all,visual_attention_mass,17,95,95,-0.05430033006623648,-0.06159248203039169,0.25263157894736843
qwen2_5_vl_7b,all,visual_attention_mass,18,95,95,-0.04674178351043609,-0.05281344801187515,0.2631578947368421
qwen2_5_vl_7b,all,visual_attention_mass,19,95,95,-0.04128576657064913,-0.04099506139755249,0.22105263157894736
qwen2_5_vl_7b,all,visual_attention_mass,20,95,95,-0.04713163820405801,-0.05618692934513092,0.2631578947368421
qwen2_5_vl_7b,all,visual_attention_mass,21,95,95,-0.05343898514645141,-0.059309735894203186,0.2736842105263158
qwen2_5_vl_7b,all,visual_attention_mass,22,95,95,-0.03385412267425604,-0.036345407366752625,0.3157894736842105
qwen2_5_vl_7b,all,visual_attention_mass,23,95,95,-0.06256724696671753,-0.06823167204856873,0.28421052631578947
