model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,22,1321,0.7553448069736328,0.08249196304855268,0.7671748995780945,0.7060191035270691,0.8127517104148865
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,23,1321,0.7531991039235695,0.10216716051175644,0.7702727317810059,0.692489743232727,0.8316662907600403
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,24,1321,0.7711256424826622,0.10261190659906189,0.7904695868492126,0.7068655490875244,0.8519827723503113
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,25,1321,0.7090729819067855,0.10323639149340853,0.7191311120986938,0.6460912227630615,0.784974217414856
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,26,1321,0.7260476392521089,0.10469197599880276,0.7389423251152039,0.6581657528877258,0.8051331043243408
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,27,1321,0.7494873176868173,0.1044472437529032,0.7641639709472656,0.6899455785751343,0.8287397623062134
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,28,1321,0.7881426991024855,0.09729782191251742,0.8014102578163147,0.7255334258079529,0.8653425574302673
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,29,1321,0.7298551163242045,0.09829904207477694,0.7387367486953735,0.6693841814994812,0.8002281188964844
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,30,1321,0.7492623150484026,0.08385417585182497,0.7547627091407776,0.6960358619689941,0.8100640773773193
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,31,1321,0.7740494569623949,0.07811369060702851,0.777443528175354,0.7259798645973206,0.8304042816162109
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,32,1321,0.8382820818660658,0.059279247349049595,0.8446558713912964,0.8023530840873718,0.8831855058670044
internvl_2_5_8b,attention_distribution,HALL,top32_mass,1,1321,0.5402889880693653,0.0723245048541141,0.5379441380500793,0.4912365674972534,0.5861543416976929
internvl_2_5_8b,attention_distribution,HALL,top32_mass,2,1321,0.6404619041398834,0.05297243301396483,0.6418821215629578,0.6037173271179199,0.6772426962852478
internvl_2_5_8b,attention_distribution,HALL,top32_mass,3,1321,0.6555345916188549,0.07121421769833224,0.65509033203125,0.6048377156257629,0.702985942363739
internvl_2_5_8b,attention_distribution,HALL,top32_mass,4,1321,0.5985943580964224,0.05919070505878091,0.5980319380760193,0.5582966804504395,0.6368488073348999
internvl_2_5_8b,attention_distribution,HALL,top32_mass,5,1321,0.5464285288589819,0.06045556062900549,0.5439102649688721,0.504550039768219,0.5862532258033752
internvl_2_5_8b,attention_distribution,HALL,top32_mass,6,1321,0.5516254719597746,0.062418414654944215,0.5500285029411316,0.507793664932251,0.5922218561172485
internvl_2_5_8b,attention_distribution,HALL,top32_mass,7,1321,0.5040050720645116,0.06355943336799114,0.49876296520233154,0.46089300513267517,0.5390262007713318
internvl_2_5_8b,attention_distribution,HALL,top32_mass,8,1321,0.5501116656562219,0.081310687779824,0.5475829243659973,0.4903408885002136,0.6006740927696228
internvl_2_5_8b,attention_distribution,HALL,top32_mass,9,1321,0.46362837242141625,0.065921368085315,0.4599367678165436,0.4152875542640686,0.5035234689712524
internvl_2_5_8b,attention_distribution,HALL,top32_mass,10,1321,0.5809318146229151,0.09332744300290088,0.5821380615234375,0.5203890204429626,0.6423355937004089
internvl_2_5_8b,attention_distribution,HALL,top32_mass,11,1321,0.5520900882932834,0.09484322671116092,0.5518749356269836,0.48435065150260925,0.6157259941101074
internvl_2_5_8b,attention_distribution,HALL,top32_mass,12,1321,0.6037763710458742,0.09603251660988323,0.6080904603004456,0.534923255443573,0.6690403819084167
internvl_2_5_8b,attention_distribution,HALL,top32_mass,13,1321,0.6823993516771474,0.1038107247697623,0.6886393427848816,0.6140732169151306,0.7604618668556213
internvl_2_5_8b,attention_distribution,HALL,top32_mass,14,1321,0.5964121292884561,0.08757559127217887,0.5962322950363159,0.537382185459137,0.6541380286216736
internvl_2_5_8b,attention_distribution,HALL,top32_mass,15,1321,0.6477566218394208,0.09360068935928545,0.6572011709213257,0.5868826508522034,0.7141874432563782
internvl_2_5_8b,attention_distribution,HALL,top32_mass,16,1321,0.7119338612814549,0.10700813519482213,0.7187067270278931,0.6430110335350037,0.7883191704750061
internvl_2_5_8b,attention_distribution,HALL,top32_mass,17,1321,0.682777772700579,0.09356165716722356,0.6860266327857971,0.6206254959106445,0.7482558488845825
internvl_2_5_8b,attention_distribution,HALL,top32_mass,18,1321,0.6964293592676442,0.10469169906454105,0.7049944996833801,0.625695526599884,0.7758930921554565
internvl_2_5_8b,attention_distribution,HALL,top32_mass,19,1321,0.6825255783645606,0.08378982993900687,0.6853542327880859,0.6284799575805664,0.742407500743866
internvl_2_5_8b,attention_distribution,HALL,top32_mass,20,1321,0.7418609670307671,0.09474413884601292,0.7524364590644836,0.6812936663627625,0.8131601810455322
internvl_2_5_8b,attention_distribution,HALL,top32_mass,21,1321,0.668765783919068,0.09623851244478492,0.6703730225563049,0.5999978184700012,0.7370070815086365
internvl_2_5_8b,attention_distribution,HALL,top32_mass,22,1321,0.6897611414095743,0.09768704691197067,0.6917489171028137,0.628390908241272,0.7603659629821777
internvl_2_5_8b,attention_distribution,HALL,top32_mass,23,1321,0.6794493500253271,0.11537927904670561,0.6862335205078125,0.5963895320892334,0.768984317779541
