source,layer,metric,count,mean,std
new_jffn_entropy_matched,3,top32_overlap,16510,0.6898603119321624,0.11432106290132496
new_jffn_entropy_matched,3,tv,16510,0.07597190502281896,0.022109428343630614
new_jffn_entropy_matched,4,centered_cosine,16510,0.8544437476337353,0.07304002301824225
new_jffn_entropy_matched,4,js,16510,0.0036586587430724113,0.001760151669046503
new_jffn_entropy_matched,4,raw_cosine,16510,0.9843211403259864,0.008219357190979288
new_jffn_entropy_matched,4,top32_overlap,16510,0.714701317383404,0.0999306156728206
new_jffn_entropy_matched,4,tv,16510,0.0662132955797644,0.01580199167600709
new_jffn_entropy_matched,5,centered_cosine,16510,0.8119953771086262,0.09589623970877295
new_jffn_entropy_matched,5,js,16510,0.007589380312864011,0.0038877248688257205
new_jffn_entropy_matched,5,raw_cosine,16510,0.965199550919501,0.019645206134917163
new_jffn_entropy_matched,5,top32_overlap,16510,0.6617731677771048,0.12320895386962642
new_jffn_entropy_matched,5,tv,16510,0.09331557018155495,0.024304493649828156
new_jffn_entropy_matched,6,centered_cosine,16510,0.8379570954635531,0.09014275680242123
new_jffn_entropy_matched,6,js,16510,0.006375736183905227,0.0035202263584097828
new_jffn_entropy_matched,6,raw_cosine,16510,0.9720917339039022,0.016655793525184173
new_jffn_entropy_matched,6,top32_overlap,16510,0.6633725772259237,0.12745018007948014
new_jffn_entropy_matched,6,tv,16510,0.08684957276258069,0.02435046454242654
new_jffn_entropy_matched,7,centered_cosine,16510,0.7042441882390522,0.1692628393931182
new_jffn_entropy_matched,7,js,16510,0.010683808517742093,0.006772920131724121
new_jffn_entropy_matched,7,raw_cosine,16510,0.9458943692826272,0.037706019612999395
new_jffn_entropy_matched,7,top32_overlap,16510,0.5639347365233192,0.152424629437676
new_jffn_entropy_matched,7,tv,16510,0.10517492878071959,0.03229703917823234
new_jffn_entropy_matched,8,centered_cosine,16510,0.6655484467143501,0.18264776572885535
new_jffn_entropy_matched,8,js,16510,0.009522963440828609,0.0055058960854022605
new_jffn_entropy_matched,8,raw_cosine,16510,0.956976949132478,0.025150176730154176
new_jffn_entropy_matched,8,top32_overlap,16510,0.47584229254996974,0.17741106676314738
new_jffn_entropy_matched,8,tv,16510,0.10409775160790068,0.031227893940706398
new_jffn_entropy_matched,9,centered_cosine,16510,0.658184935845579,0.1712285086080852
new_jffn_entropy_matched,9,js,16510,0.012531347261401326,0.006763811181222524
new_jffn_entropy_matched,9,raw_cosine,16510,0.9445108943928523,0.030614583335662016
new_jffn_entropy_matched,9,top32_overlap,16510,0.48369170199878864,0.16480903698311156
new_jffn_entropy_matched,9,tv,16510,0.1209888621099713,0.03440233193054684
new_jffn_entropy_matched,10,centered_cosine,16510,0.4898292178252846,0.25353280389590377
new_jffn_entropy_matched,10,js,16510,0.014190287040210194,0.00792888792733069
new_jffn_entropy_matched,10,raw_cosine,16510,0.9353937502343462,0.03520264011322394
new_jffn_entropy_matched,10,top32_overlap,16510,0.350662477286493,0.2020386432465604
new_jffn_entropy_matched,10,tv,16510,0.127596509109377,0.03882035440153348
new_jffn_entropy_matched,11,centered_cosine,16510,0.4204689806095239,0.2657937717682196
new_jffn_entropy_matched,11,js,16510,0.020944723241955725,0.01145000641661961
new_jffn_entropy_matched,11,raw_cosine,16510,0.9026698861390732,0.051337955750606734
