model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
llava_1_5_7b,llava_1_5_7b:314557:9:16,16,fp32_trapezoid_vs_gauss_k64,1.0,4.590399265232838e-13,1.0,5.0370600010557675e-06,2.3543834686279297e-06,1.0139544428966474e-05
llava_1_5_7b,llava_1_5_7b:328791:13:32,32,native_vs_fp32_gauss_k64,0.9999999372064401,2.1857458626226071e-10,1.0,2.1489552157733033e-05,0.0001488327980041504,2.788645133477985e-06
llava_1_5_7b,llava_1_5_7b:328791:13:32,32,fp32_trapezoid_vs_gauss_k64,1.0,4.513898312420463e-15,1.0,6.999703702542272e-08,5.960464477539063e-08,3.243218998250086e-06
llava_1_5_7b,llava_1_5_7b:351351:47:8,8,native_vs_fp32_gauss_k64,0.9999995604450809,2.8074560757887425e-09,1.0,0.0001506210214583138,0.0005276799201965332,8.790229003352579e-06
llava_1_5_7b,llava_1_5_7b:351351:47:8,8,fp32_trapezoid_vs_gauss_k64,1.0,3.4782531270946114e-16,1.0,7.79325978106707e-08,2.9802322387695312e-08,8.791495929472148e-06
llava_1_5_7b,llava_1_5_7b:35738:68:8,8,native_vs_fp32_gauss_k64,0.9999979278125236,1.9034012695966184e-08,1.0,4.940304282323119e-06,0.00011163949966430664,1.0938736522803083e-05
llava_1_5_7b,llava_1_5_7b:35738:68:8,8,fp32_trapezoid_vs_gauss_k64,1.0,2.425799567201594e-16,1.0,0.0,0.0,1.094776325771818e-05
llava_1_5_7b,llava_1_5_7b:36049:120:24,24,native_vs_fp32_gauss_k64,0.9999996860322007,2.24040049667023e-10,1.0,0.00010671459705400677,0.00020954012870788574,5.693605089618359e-06
llava_1_5_7b,llava_1_5_7b:36049:120:24,24,fp32_trapezoid_vs_gauss_k64,1.0,1.094852504202387e-15,1.0,4.324344894181118e-07,2.086162567138672e-07,5.688126293534879e-06
llava_1_5_7b,llava_1_5_7b:361751:72:32,32,native_vs_fp32_gauss_k64,1.0,2.1483916512844167e-10,1.0,1.375958166446548e-05,0.0002732276916503906,3.743902652786346e-06
llava_1_5_7b,llava_1_5_7b:361751:72:32,32,fp32_trapezoid_vs_gauss_k64,1.0,1.1908398994728353e-15,1.0,0.0,0.0,3.7487011468329e-06
llava_1_5_7b,llava_1_5_7b:361751:6:24,24,native_vs_fp32_gauss_k64,0.9999994976515211,8.917975098051068e-10,1.0,4.163876232263056e-06,0.0005689263343811035,9.894021786749363e-06
llava_1_5_7b,llava_1_5_7b:361751:6:24,24,fp32_trapezoid_vs_gauss_k64,1.0,1.0190578652648143e-15,1.0,1.6995483960002148e-07,1.1920928955078125e-07,9.89002364804037e-06
