model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
llava_1_5_7b,REAL,14,11976,0.3310557007789612,0.23648498952388763,0.3283626437187195,0.41180142760276794,0.5507979083106467
llava_1_5_7b,REAL,15,11976,0.38700684905052185,0.28589391708374023,0.3735595941543579,0.47588977217674255,0.5534740736611354
llava_1_5_7b,REAL,16,11976,0.35688453912734985,0.2660386562347412,0.35061514377593994,0.44055676460266113,0.5771834511198096
llava_1_5_7b,REAL,17,11976,0.338787704706192,0.2495655119419098,0.3348293900489807,0.41571488976478577,0.5914949102870688
llava_1_5_7b,REAL,18,11976,0.3968980312347412,0.30423280596733093,0.3852241635322571,0.4808045029640198,0.5562170728034791
llava_1_5_7b,REAL,19,11976,0.45095863938331604,0.36119282245635986,0.4513048529624939,0.5438568592071533,0.6239641839840661
llava_1_5_7b,REAL,20,11976,0.43808096647262573,0.33288711309432983,0.4256514310836792,0.5301848649978638,0.6190303367465262
llava_1_5_7b,REAL,21,11976,0.38135531544685364,0.2939106523990631,0.36903685331344604,0.4596916437149048,0.5937194865785486
llava_1_5_7b,REAL,22,11976,0.4278009533882141,0.3248865008354187,0.4117240607738495,0.5181432366371155,0.5693916151775877
llava_1_5_7b,REAL,23,11976,0.4410618543624878,0.3434605896472931,0.43225330114364624,0.5304922461509705,0.5516935433815724
llava_1_5_7b,REAL,24,11976,0.4201012849807739,0.3240298628807068,0.4108278751373291,0.5067524909973145,0.5527037609297555
llava_1_5_7b,REAL,25,11976,0.4283212125301361,0.32412102818489075,0.41609445214271545,0.522617518901825,0.6071273725157992
llava_1_5_7b,REAL,26,11976,0.3624550402164459,0.28604185581207275,0.3515014946460724,0.4296775460243225,0.5623228940435119
llava_1_5_7b,REAL,27,11976,0.39887669682502747,0.31020668148994446,0.3895670771598816,0.47723984718322754,0.6396197662507885
llava_1_5_7b,REAL,28,11976,0.3331846296787262,0.2468317151069641,0.3234795928001404,0.40909475088119507,0.564731831984397
llava_1_5_7b,REAL,29,11976,0.38669848442077637,0.30066418647766113,0.3792664408683777,0.46369192004203796,0.6670830787854267
llava_1_5_7b,REAL,30,11976,0.3439318537712097,0.26998040080070496,0.33512255549430847,0.4089898467063904,0.6616726426756582
llava_1_5_7b,REAL,31,11976,0.3002564311027527,0.24131126701831818,0.2949965000152588,0.35608571767807007,0.6098952158211846
llava_1_5_7b,REAL,32,11976,0.21560312807559967,0.17257356643676758,0.2103007733821869,0.2547334134578705,0.5711812689522051
