model,label,layer,n_mentions,mean,q25,median,q75,raw_bounded_strength_real_auroc
llava_1_5_7b,HALL,25,3487,0.49676045775413513,0.47031328082084656,0.5342756509780884,0.573923647403717,0.3949787659632428
llava_1_5_7b,HALL,26,3487,0.49121788144111633,0.4545595049858093,0.5236830115318298,0.5710638761520386,0.431640465234072
llava_1_5_7b,HALL,27,3487,0.48530587553977966,0.4604412913322449,0.5194812417030334,0.5555529594421387,0.4343405767658058
llava_1_5_7b,HALL,28,3487,0.4761166572570801,0.4197436571121216,0.46855711936950684,0.5236786603927612,0.6243454790280303
llava_1_5_7b,HALL,29,3487,0.4863555133342743,0.44061005115509033,0.5079473257064819,0.5623008012771606,0.48548698582520167
llava_1_5_7b,HALL,30,3487,0.48447057604789734,0.44372624158859253,0.5010256171226501,0.5519647598266602,0.5036737872073369
llava_1_5_7b,HALL,31,3487,0.4699063301086426,0.4239879846572876,0.4727807939052582,0.5209163427352905,0.6165870360355545
llava_1_5_7b,HALL,32,3487,0.4635300040245056,0.4351370334625244,0.45902734994888306,0.48505568504333496,0.7800365452250453
llava_1_5_7b,REAL,1,11976,0.525444507598877,0.4470919966697693,0.5146729946136475,0.6323813199996948,0.6912353049469553
llava_1_5_7b,REAL,2,11976,0.5073415040969849,0.47622978687286377,0.5090457201004028,0.5361519455909729,0.7177406983932495
llava_1_5_7b,REAL,3,11976,0.5021981000900269,0.46262744069099426,0.5016788244247437,0.5404223799705505,0.5410531655031696
llava_1_5_7b,REAL,4,11976,0.5339457392692566,0.45947951078414917,0.5235391855239868,0.6051459312438965,0.7409559104826611
llava_1_5_7b,REAL,5,11976,0.5316576957702637,0.448797345161438,0.5282425284385681,0.6077513098716736,0.7335684058107612
llava_1_5_7b,REAL,6,11976,0.5501490235328674,0.43428462743759155,0.5517719984054565,0.6502858400344849,0.7435025389657051
llava_1_5_7b,REAL,7,11976,0.5640630125999451,0.395222932100296,0.5987850427627563,0.7247543334960938,0.7770091133418735
llava_1_5_7b,REAL,8,11976,0.5511960387229919,0.4010660648345947,0.5836358070373535,0.7003743648529053,0.7526662755776347
llava_1_5_7b,REAL,9,11976,0.5402357578277588,0.4039885997772217,0.5663089752197266,0.6679376363754272,0.7643236717196941
llava_1_5_7b,REAL,10,11976,0.5221032500267029,0.4117662012577057,0.5599997639656067,0.6406079530715942,0.775516871138319
llava_1_5_7b,REAL,11,11976,0.5034795999526978,0.42062288522720337,0.5436947345733643,0.6091942191123962,0.7807430653295886
llava_1_5_7b,REAL,12,11976,0.5051801800727844,0.4524857997894287,0.5130285024642944,0.5738191604614258,0.6649384947123957
llava_1_5_7b,REAL,13,11976,0.5095115900039673,0.4385201930999756,0.5283026695251465,0.6063206791877747,0.7316982330017076
llava_1_5_7b,REAL,14,11976,0.484281063079834,0.4212791919708252,0.5040876865386963,0.5655407309532166,0.5564500811200837
llava_1_5_7b,REAL,15,11976,0.49266183376312256,0.4296993315219879,0.5216576457023621,0.5857720375061035,0.6855632089147228
llava_1_5_7b,REAL,16,11976,0.48914390802383423,0.43657180666923523,0.5188231468200684,0.5683215260505676,0.6864842868032213
llava_1_5_7b,REAL,17,11976,0.5171409845352173,0.4170188307762146,0.5505075454711914,0.6354672312736511,0.7257674344003944
llava_1_5_7b,REAL,18,11976,0.4859948456287384,0.43828290700912476,0.5104319453239441,0.5625658631324768,0.6222996609795444
llava_1_5_7b,REAL,19,11976,0.491239994764328,0.42872709035873413,0.520128607749939,0.5886908173561096,0.6558301575907767
llava_1_5_7b,REAL,20,11976,0.4680621027946472,0.41754335165023804,0.5055654048919678,0.5530864000320435,0.5657184745171444
llava_1_5_7b,REAL,21,11976,0.46270549297332764,0.41550230979919434,0.4976939558982849,0.5461395978927612,0.49193016086661423
llava_1_5_7b,REAL,22,11976,0.4500584900379181,0.370611310005188,0.48453155159950256,0.5539677143096924,0.3798790583748512
llava_1_5_7b,REAL,23,11976,0.45247435569763184,0.3899686634540558,0.4874272644519806,0.5447476506233215,0.38917267907385367
llava_1_5_7b,REAL,24,11976,0.4569331109523773,0.38000136613845825,0.48686498403549194,0.5531673431396484,0.39895311366447644
llava_1_5_7b,REAL,25,11976,0.4626869559288025,0.3932906687259674,0.4870627224445343,0.5546512007713318,0.3949787659632428
llava_1_5_7b,REAL,26,11976,0.46825528144836426,0.3958519995212555,0.4934077858924866,0.5574222803115845,0.431640465234072
llava_1_5_7b,REAL,27,11976,0.46118611097335815,0.386342316865921,0.49237316846847534,0.5510767698287964,0.4343405767658058
llava_1_5_7b,REAL,28,11976,0.5241485834121704,0.44139963388442993,0.5152112245559692,0.5984712243080139,0.6243454790280303
llava_1_5_7b,REAL,29,11976,0.48414817452430725,0.40071022510528564,0.49724745750427246,0.5723834037780762,0.48548698582520167
llava_1_5_7b,REAL,30,11976,0.48629486560821533,0.4225899279117584,0.5002893805503845,0.5645275712013245,0.5036737872073369
llava_1_5_7b,REAL,31,11976,0.5091564655303955,0.43774425983428955,0.5121368169784546,0.5825684666633606,0.6165870360355545
llava_1_5_7b,REAL,32,11976,0.5200765132904053,0.4777616858482361,0.5124548077583313,0.5500975847244263,0.7800365452250453
