feature_set,ae_variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
F,full,44,fixed_0.5,0.5,0.8969321687917756,0.9676153199805304,0.8939886271324127,0.9031596224866639,0.8985507246376812,0.704865352432086,0.6549707602339181,0.6318758815232722,0.6432160804020101
F,full,44,train_f1,0.5260182023048401,0.8969321687917756,0.9676153199805304,0.8989690721649485,0.8945424702503078,0.8967503085150144,0.704865352432086,0.6435506241331485,0.6544428772919605,0.6489510489510489
F,full,45,fixed_0.5,0.5,0.8978382170036109,0.9679373084214288,0.8945028294260308,0.9080837094788674,0.9012421095499898,0.7027197865546562,0.6666666666666666,0.6318758815232722,0.6488052136133237
F,full,45,train_f1,0.5235773324966431,0.8978382170036109,0.9679373084214288,0.9019365471775855,0.8982355354944604,0.9000822368421053,0.7027197865546562,0.655076495132128,0.6643159379407616,0.6596638655462185
C_JS,top32,43,fixed_0.5,0.5,0.8834540143636567,0.9627012652895115,0.8983481575603558,0.8703323758719738,0.8841183826594414,0.6704330645354217,0.597452229299363,0.6614950634696756,0.6278447121820616
C_JS,top32,43,train_f1,0.41915372014045715,0.8834540143636567,0.9627012652895115,0.8787878787878788,0.9043906442347148,0.8914054600606673,0.6704330645354217,0.6347962382445141,0.5712270803949224,0.6013363028953229
C_JS,top32,44,fixed_0.5,0.5,0.8845519213951811,0.9632310894432433,0.8928280358598207,0.8990562166598277,0.8959313023921488,0.6714274584788174,0.6445086705202312,0.6290550070521862,0.6366880799428979
C_JS,top32,44,train_f1,0.44880735874176025,0.8845519213951811,0.9632310894432433,0.8794801102796377,0.9162905211325401,0.897508038585209,0.6714274584788174,0.6639209225700164,0.5684062059238364,0.6124620060790273
C_JS,top32,45,fixed_0.5,0.5,0.883525491178835,0.9622124419888451,0.8927548096602538,0.8949528108329914,0.8938524590163934,0.6621053392009133,0.635846372688478,0.6304654442877292,0.6331444759206799
C_JS,top32,45,train_f1,0.4622633457183838,0.883525491178835,0.9622124419888451,0.8832669322709163,0.9097250718096019,0.8963007883565798,0.6621053392009133,0.6540880503144654,0.5867418899858956,0.6185873605947956
C_JS,full,43,fixed_0.5,0.5,0.8819087261326759,0.9633146084091846,0.9380226266601082,0.7825194911776775,0.8532438478747204,0.6639639308242158,0.5238095238095238,0.8222849083215797,0.6399560922063666
C_JS,full,43,train_f1,0.3013565242290497,0.8819087261326759,0.9633146084091846,0.8684719535783365,0.9212146081247435,0.8940661091198726,0.6639639308242158,0.6577540106951871,0.5204513399153737,0.5811023622047244
C_JS,full,44,fixed_0.5,0.5,0.8885036921971047,0.9652690571347902,0.8937040065412919,0.8970045137464095,0.8953512185132091,0.6740166265785816,0.6414285714285715,0.6332863187588152,0.6373314407381121
C_JS,full,44,train_f1,0.48323479294776917,0.8885036921971047,0.9652690571347902,0.8885748889786032,0.9031596224866639,0.8958078958078958,0.6740166265785816,0.6472346786248132,0.610719322990127,0.6284470246734397
C_JS,full,45,fixed_0.5,0.5,0.8832636024430602,0.9633523663874604,0.8857142857142857,0.9031596224866639,0.8943518894758228,0.672364492050217,0.642965204236006,0.5994358251057827,0.6204379562043796
C_JS,full,45,train_f1,0.50246661901474,0.8832636024430602,0.9633523663874604,0.8864277084172372,0.9031596224866639,0.8947154471544716,0.672364492050217,0.6440422322775264,0.6022566995768688,0.6224489795918368
D_JS,top32,43,fixed_0.5,0.5,0.8789078574144608,0.9615707838966541,0.9151241534988713,0.8317603610997127,0.8714531384350817,0.6587678798579562,0.5596133190118152,0.7348377997179125,0.6353658536585366
D_JS,top32,43,train_f1,0.40072694420814514,0.8789078574144608,0.9615707838966541,0.878727634194831,0.9068526877308166,0.8925686591276252,0.6587678798579562,0.6402535657686212,0.5698166431593794,0.6029850746268657
D_JS,top32,44,fixed_0.5,0.5,0.879647512230638,0.9620032221908921,0.9020442930153322,0.8691013541239229,0.8852664576802508,0.6600843349650896,0.600250626566416,0.6755994358251057,0.6357000663570007
D_JS,top32,44,train_f1,0.40716591477394104,0.879647512230638,0.9620032221908921,0.8684920940994987,0.924086992203529,0.895427435387674,0.6600843349650896,0.6654611211573237,0.5190409026798307,0.5832012678288431
D_JS,top32,45,fixed_0.5,0.5,0.8805492197451952,0.9626119410401103,0.905440414507772,0.8604842018875667,0.8823900694298338,0.6535250816986607,0.5903614457831325,0.691114245416079,0.6367771280051981
D_JS,top32,45,train_f1,0.42038866877555847,0.8805492197451952,0.9626119410401103,0.8792,0.901928600738613,0.8904192829653635,0.6535250816986607,0.6300309597523219,0.5740479548660085,0.6007380073800738
D_JS,full,43,fixed_0.5,0.5,0.8741880725741433,0.9601094508768755,0.9020949123557076,0.8658186294624538,0.8835845896147404,0.6554459899111252,0.5947955390334573,0.6770098730606487,0.633245382585752
D_JS,full,43,train_f1,0.37455978989601135,0.8741880725741433,0.9601094508768755,0.8677431757016532,0.926138695116947,0.8959904724096864,0.6554459899111252,0.6697247706422018,0.5148095909732017,0.5821371610845295
D_JS,full,44,fixed_0.5,0.5,0.8835796052049011,0.9632078795517505,0.8746081504702194,0.9158801805498564,0.8947684906794949,0.669032878774948,0.6548821548821548,0.5486600846262342,0.5970836531082118
D_JS,full,44,train_f1,0.5175552368164062,0.8835796052049011,0.9632078795517505,0.882024711040255,0.9080837094788674,0.8948645369995957,0.669032878774948,0.6483516483516484,0.5825105782792666,0.6136701337295691
D_JS,full,45,fixed_0.5,0.5,0.8824811194137395,0.9631021306844401,0.9098005203816132,0.8608945424702503,0.8846721484292642,0.6586342854450661,0.5964285714285714,0.7066290550070522,0.6468689477081988
D_JS,full,45,train_f1,0.3843865394592285,0.8824811194137395,0.9631021306844401,0.8638803680981595,0.9244973327862126,0.8931615460852329,0.6586342854450661,0.6579925650557621,0.4992947813822285,0.5677626303127506
E_JS,top32,43,fixed_0.5,0.5,0.880912102037639,0.961463588770041,0.9000419991600168,0.8793598686910136,0.8895807388958074,0.6638445481910507,0.615686274509804,0.6643159379407616,0.6390773405698779
E_JS,top32,43,train_f1,0.4412446618080139,0.880912102037639,0.961463588770041,0.8813021040095276,0.9109560935576528,0.8958837772397095,0.6638445481910507,0.6539074960127592,0.5782792665726375,0.6137724550898204
E_JS,top32,44,fixed_0.5,0.5,0.8804103174322981,0.9618403992936393,0.9075194468452895,0.8617152236356176,0.8840244159124395,0.6629847295203017,0.5949519230769231,0.6981664315937941,0.6424399740428294
E_JS,top32,44,train_f1,0.3918173909187317,0.8804103174322981,0.9618403992936393,0.8752429071123202,0.924086992203529,0.899001996007984,0.6629847295203017,0.6771378708551483,0.5472496473906912,0.6053042121684867
E_JS,top32,45,fixed_0.5,0.5,0.8783181013442849,0.9610161878985963,0.8858979509843311,0.9048009848173985,0.8952496954933008,0.6488860435023558,0.6468797564687976,0.5994358251057827,0.6222547584187409
E_JS,top32,45,train_f1,0.47972962260246277,0.8783181013442849,0.9610161878985963,0.8787998420844848,0.9134181370537546,0.895774647887324,0.6488860435023558,0.6557911908646004,0.5669957686882934,0.6081694402420574
E_JS,full,43,fixed_0.5,0.5,0.864644904918473,0.9567618618753849,0.9480446927374302,0.6963479688141158,0.8029335225928554,0.6363524271235016,0.45427728613569324,0.8688293370944993,0.5966101694915255
E_JS,full,43,train_f1,0.2647590637207031,0.864644904918473,0.9567618618753849,0.8647604327666152,0.9183422240459581,0.8907462686567165,0.6363524271235016,0.6433691756272402,0.5063469675599436,0.5666929755327546
E_JS,full,44,fixed_0.5,0.5,0.8827296966778617,0.9631331054378216,0.8794801102796377,0.9162905211325401,0.897508038585209,0.6645503916522248,0.6639209225700164,0.5684062059238364,0.6124620060790273
E_JS,full,44,train_f1,0.5158041715621948,0.8827296966778617,0.9631331054378216,0.8844462215113954,0.9076733688961839,0.8959092750101255,0.6645503916522248,0.6511627906976745,0.5923836389280677,0.620384047267356
E_JS,full,45,fixed_0.5,0.5,0.8786427855006821,0.9613588174435035,0.8862997187625552,0.9052113254000821,0.8956557044254974,0.6582447195449509,0.6484018264840182,0.6008462623413258,0.623718887262079
E_JS,full,45,train_f1,0.47986042499542236,0.8786427855006821,0.9613588174435035,0.8796992481203008,0.9121871153057037,0.895648670427075,0.6582447195449509,0.654281098546042,0.5712270803949224,0.6099397590361446
G_JS,top32,43,fixed_0.5,0.5,0.8981602967416412,0.9678031297861426,0.9099746407438715,0.8834632745178498,0.8965230064542994,0.7093191385198049,0.6358974358974359,0.6995768688293371,0.6662189388851578
G_JS,top32,43,train_f1,0.4150844216346741,0.8981602967416412,0.9678031297861426,0.8931726907630522,0.9125974558883874,0.9027805967119952,0.7093191385198049,0.6753048780487805,0.6248236953455572,0.6490842490842491
G_JS,top32,44,fixed_0.5,0.5,0.8958140051729535,0.9671754084511069,0.9022774327122153,0.8941321296676241,0.8981863149216818,0.7043545045226716,0.6470588235294118,0.6671368124118476,0.6569444444444444
G_JS,top32,44,train_f1,0.4895763099193573,0.8958140051729535,0.9671754084511069,0.9012751953928424,0.8990562166598277,0.900164338537387,0.7043545045226716,0.6559440559440559,0.6614950634696756,0.6587078651685393
G_JS,top32,45,fixed_0.5,0.5,0.9005997686118972,0.9696760674463917,0.9136170212765957,0.8810012310217481,0.8970127428452057,0.7080811713006729,0.635678391959799,0.7136812411847673,0.6724252491694352
G_JS,top32,45,train_f1,0.4840306341648102,0.9005997686118972,0.9696760674463917,0.9110830172777076,0.8871563397620025,0.898960498960499,0.7080811713006729,0.6442432082794308,0.7023977433004231,0.6720647773279352
G_JS,full,43,fixed_0.5,0.5,0.8992483648593353,0.9682021248770557,0.8982498982498982,0.9056216659827657,0.9019207192480588,0.7163920791422361,0.6661828737300436,0.6473906911142454,0.6566523605150214
G_JS,full,43,train_f1,0.5193487405776978,0.8992483648593353,0.9682021248770557,0.9030800821355236,0.9023389413212967,0.9027093596059114,0.7163920791422361,0.6652601969057665,0.6671368124118476,0.6661971830985915
G_JS,full,44,fixed_0.5,0.5,0.8999194366585197,0.9682741854465607,0.906301824212272,0.8970045137464095,0.9016292018972984,0.7145493271315901,0.6580381471389646,0.6812411847672779,0.6694386694386695
