model,label,layer,n,mean,median,q25,q75
llava_1_5_7b,HALL,31,3487,0.20327851176261902,0.20036695897579193,0.16924627125263214,0.23478272557258606
llava_1_5_7b,HALL,32,3487,0.15026305615901947,0.13613580167293549,0.10847608745098114,0.1658487766981125
llava_1_5_7b,REAL,1,11976,0.04150762781500816,0.03961403667926788,0.03367387875914574,0.046188950538635254
llava_1_5_7b,REAL,2,11976,0.07567096501588821,0.07035422325134277,0.05590347573161125,0.09243551641702652
llava_1_5_7b,REAL,3,11976,0.37780454754829407,0.40728214383125305,0.26621580123901367,0.4817841053009033
llava_1_5_7b,REAL,4,11976,0.386650413274765,0.4155612587928772,0.27318090200424194,0.4956836402416229
llava_1_5_7b,REAL,5,11976,0.368012398481369,0.38760924339294434,0.267966091632843,0.46103328466415405
llava_1_5_7b,REAL,6,11976,0.33257824182510376,0.34345829486846924,0.24947118759155273,0.4117157757282257
llava_1_5_7b,REAL,7,11976,0.32828429341316223,0.3298775851726532,0.26673296093940735,0.38786646723747253
llava_1_5_7b,REAL,8,11976,0.29382601380348206,0.29815399646759033,0.2247404307126999,0.3548051714897156
llava_1_5_7b,REAL,9,11976,0.2750243842601776,0.28065332770347595,0.21729212999343872,0.3283308744430542
llava_1_5_7b,REAL,10,11976,0.27655264735221863,0.27992475032806396,0.22877183556556702,0.3230573534965515
llava_1_5_7b,REAL,11,11976,0.26497626304626465,0.2661355137825012,0.22308464348316193,0.30605605244636536
llava_1_5_7b,REAL,12,11976,0.26290813088417053,0.26112884283065796,0.22189806401729584,0.3010304868221283
llava_1_5_7b,REAL,13,11976,0.30961471796035767,0.31343042850494385,0.26908135414123535,0.35088130831718445
llava_1_5_7b,REAL,14,11976,0.2768142521381378,0.27871111035346985,0.2391674965620041,0.31428635120391846
llava_1_5_7b,REAL,15,11976,0.29711464047431946,0.2943270802497864,0.25825294852256775,0.33211028575897217
llava_1_5_7b,REAL,16,11976,0.2879599630832672,0.287922739982605,0.2539563775062561,0.32233884930610657
llava_1_5_7b,REAL,17,11976,0.27635282278060913,0.276447057723999,0.24233898520469666,0.3085211515426636
llava_1_5_7b,REAL,18,11976,0.2932868003845215,0.2925404906272888,0.25964799523353577,0.3260699510574341
llava_1_5_7b,REAL,19,11976,0.3185248374938965,0.3173941373825073,0.28384432196617126,0.3525935709476471
llava_1_5_7b,REAL,20,11976,0.32065150141716003,0.31937354803085327,0.2884385883808136,0.3522659242153168
llava_1_5_7b,REAL,21,11976,0.27940264344215393,0.27422529458999634,0.24347451329231262,0.30801573395729065
llava_1_5_7b,REAL,22,11976,0.3317267894744873,0.3286486864089966,0.296784371137619,0.3639083802700043
llava_1_5_7b,REAL,23,11976,0.33918169140815735,0.33643800020217896,0.3018242120742798,0.37243762612342834
llava_1_5_7b,REAL,24,11976,0.3312855660915375,0.3296096920967102,0.2945355176925659,0.3668803572654724
llava_1_5_7b,REAL,25,11976,0.31648027896881104,0.31358933448791504,0.27913805842399597,0.34959912300109863
llava_1_5_7b,REAL,26,11976,0.27953267097473145,0.27422940731048584,0.2444153130054474,0.3082789480686188
llava_1_5_7b,REAL,27,11976,0.2890045940876007,0.2848404049873352,0.25311279296875,0.31978699564933777
llava_1_5_7b,REAL,28,11976,0.2625734508037567,0.26191556453704834,0.22622373700141907,0.29870548844337463
llava_1_5_7b,REAL,29,11976,0.2734087109565735,0.2710566818714142,0.2377881109714508,0.3072126805782318
llava_1_5_7b,REAL,30,11976,0.24528217315673828,0.24287286400794983,0.212009996175766,0.2763024568557739
llava_1_5_7b,REAL,31,11976,0.21407553553581238,0.21368718147277832,0.18613728880882263,0.24128112196922302
llava_1_5_7b,REAL,32,11976,0.21556641161441803,0.1554904580116272,0.12461704015731812,0.20230895280838013
