model,signal,label,support,layer_from,layer_to,n_images,mean,std,se
internvl_2_5_8b,attention_evidence,HALL,union_top32,30,31,1321,0.03487722683320052,0.016722896178241763,0.00046010831804728386
internvl_2_5_8b,attention_evidence,HALL,union_top32,31,32,1321,0.04035327656026774,0.018674415293870116,0.0005138017792969662
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,1,2,3869,0.05733980926590916,0.016208783615205887,0.0002605859881003841
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,2,3,3869,0.04905665001638655,0.018718317048312325,0.0003009313505200232
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,3,4,3869,0.03800402458301731,0.013654932543365996,0.000219528138182991
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,4,5,3869,0.04683349466947398,0.015384965127274223,0.00024734159174163176
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,5,6,3869,0.040491297253248425,0.011357523419989619,0.00018259306392336304
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,6,7,3869,0.04619408464389012,0.01855534187183977,0.00029831122501245
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,7,8,3869,0.040794989676666095,0.013708859890310102,0.0002203951194027217
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,8,9,3869,0.04238239882148477,0.015645619484699072,0.00025153208961579087
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,9,10,3869,0.054046273799591454,0.021577152370685772,0.00034689238282093485
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,10,11,3869,0.042360102505061815,0.010840546889179022,0.00017428171599595863
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,11,12,3869,0.041783834490072946,0.01275889000670191,0.00020512260749421454
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,12,13,3869,0.040633540883136525,0.012205763553599638,0.00019623008312299043
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,13,14,3869,0.06241456120840398,0.02012236110953184,0.0003235039394147338
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,14,15,3869,0.040987705136414615,0.015193735999831572,0.00024426723204190267
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,15,16,3869,0.0347826564542489,0.010665617267793743,0.0001714694008143342
