model,signal,label,support,layer_left,layer_right,n_images,mean,std,se
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,8,1321,0.19376396766266618,0.04893570562406929,0.0013464010639761578
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,9,1321,0.1592278412904909,0.04114831283992413,0.0011321412756179366
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,10,1321,0.26108619673382055,0.054927466525496994,0.0015112564216315104
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,11,1321,0.24545746941308377,0.05035412329143803,0.0013854269456335894
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,12,1321,0.2827782573955335,0.05445057996790345,0.0014981355202293232
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,13,1321,0.33412449789444304,0.05886081286134896,0.0016194772314479938
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,14,1321,0.2586535641431448,0.05115889166316581,0.0014075690804639842
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,15,1321,0.3020286547086349,0.05852957161056582,0.0016103635675741483
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,16,1321,0.3578769404675183,0.06173201643944797,0.001698474591415421
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,17,1321,0.3418178629866159,0.05911577327160321,0.0016264921291236343
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,18,1321,0.33006208863202413,0.0669701551656862,0.0018425950340313132
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,19,1321,0.33070709990065356,0.061216522036013486,0.0016842914463190812
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,20,1321,0.36369734576125656,0.06570361559278064,0.0018077478767914016
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,21,1321,0.3345832996504673,0.06076533244914483,0.0016718775629987572
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,22,1321,0.33604241545501756,0.06467078426872049,0.0017793308921809148
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,23,1321,0.32323110284090584,0.07236160676036227,0.001990933676968494
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,24,1321,0.3006019715352279,0.07484815495874123,0.0020593477541178944
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,25,1321,0.3753167831541281,0.07451990267052334,0.0020503163275864297
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,26,1321,0.3537726363704387,0.07673237379573666,0.002111189537424004
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,27,1321,0.33641509338367354,0.07525825648777236,0.002070631153999109
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,28,1321,0.2941043872800765,0.07178412664242766,0.001975045077114938
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,29,1321,0.3637521758303328,0.06990401619033038,0.0019233163305726303
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,30,1321,0.3549702329720447,0.06341210385420834,0.001744699969264958
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,31,1321,0.3272407663581409,0.06472924799128547,0.001780939443999299
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,32,1321,0.2616366348105971,0.05898659111965111,0.0016229378534752725
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,1,1321,0.06338641310870692,0.02123141812887345,0.0005841543223681997
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,2,1321,0.04714826053822022,0.017840044018777826,0.0004908451598264
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,3,1321,0.03722153971201538,0.013433310428131656,0.00036959972728507
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,4,1321,0.0,0.0,0.0
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,5,1321,0.04432401121971194,0.01691554676802255,0.000465408843619534
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,6,1321,0.09384295851680295,0.025060180628698737,0.0006894976465879131
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,7,1321,0.09866906092540953,0.03205286383163672,0.000881892054401522
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,8,1321,0.1603880508786616,0.046363717724124225,0.0012756362267094283
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,9,1321,0.12188069848378981,0.030776257298947233,0.0008467679181093782
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,10,1321,0.23051181400616363,0.05326179342312296,0.0014654276344775801
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,11,1321,0.215584209139468,0.0496326816494156,0.0013655774353010372
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,12,1321,0.2526582043609504,0.05316126431832169,0.0014626617094349373
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,13,1321,0.30678770170574565,0.06044816709514535,0.0016631511787638634
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,14,1321,0.22523792605793538,0.045272488110154184,0.0012456124905733154
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,15,1321,0.27510543677456717,0.056526859765385275,0.0015552616062393459
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,16,1321,0.33138168162689524,0.06447299106759163,0.0017738888744752142
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,17,1321,0.31248397077239887,0.0571860183460891,0.001573397480711178
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,18,1321,0.30203462670149,0.06922947206584729,0.0019047571432610204
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,19,1321,0.3032637490164051,0.05769885117638693,0.00158750739615123
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,20,1321,0.33765930596127103,0.06656811663055841,0.0018315334767378746
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,21,1321,0.30578167183799876,0.0586392682418419,0.0016133817249539425
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,22,1321,0.305157829569561,0.06454105293144616,0.0017757615064264915
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,23,1321,0.29738916743216776,0.07405115041277627,0.00203741923066051
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,24,1321,0.2739723865210694,0.07766560897582793,0.0021368662661722833
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,25,1321,0.35186681973717593,0.07635478802328993,0.0021008007654776057
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,26,1321,0.32974956129916594,0.07966367712620231,0.00219184046240085
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,27,1321,0.3101137325585024,0.07685181646047219,0.0021144758439936794
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,28,1321,0.26736466131997233,0.0732363083831507,0.0020149999324881604
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,29,1321,0.3379466910081592,0.07124287628032067,0.0019601532909615596
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,30,1321,0.3281495114513458,0.06226893671250474,0.001713247240909177
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,31,1321,0.3036062242991991,0.06326476748426664,0.001740646204376477
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,4,32,1321,0.2356202452585248,0.05487652283538363,0.0015098547735363868
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,1,1321,0.08356528235409046,0.0310798609969946,0.0008551211713600478
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,2,1321,0.10029705263036927,0.03022416944407921,0.0008315779527104321
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,3,1321,0.06937465714368289,0.020924793596234524,0.0005757179548585999
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,4,1321,0.04432401121971194,0.01691554676802255,0.000465408843619534
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,5,1321,0.0,0.0,0.0
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,6,1321,0.042038160685751585,0.013331025040581125,0.00036678548045096466
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,7,1321,0.04839746276569538,0.01738876305394696,0.00047842876236258965
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,8,1321,0.094707131639608,0.03341742227945998,0.0009194360710367543
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,9,1321,0.07334052073930719,0.02051454727222907,0.0005644305711356283
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,10,1321,0.15837781586424138,0.043405037044550114,0.0011942320502672488
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,11,1321,0.15515258009238825,0.04187924216955198,0.001152251827096697
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,12,1321,0.18794163676891068,0.04693738051602626,0.0012914197978979988
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,13,1321,0.23790495001755368,0.05752940738095667,0.0015828453747592415
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,14,1321,0.16757681466114513,0.040871295310087395,0.0011245195055391013
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,15,1321,0.21547477194344247,0.053216879439178986,0.001464191885753854
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,16,1321,0.2654656884708159,0.06349776094375158,0.0017470567105242767
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,17,1321,0.2463897542913785,0.055222865777800244,0.0015193839404345343
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,18,1321,0.24521977204567189,0.06572582686527476,0.0018083589905075925
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,19,1321,0.23893556595525445,0.0558281056857362,0.0015360363141075726
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,20,1321,0.2755855789900187,0.06561861499465668,0.0018054091980231443
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,21,1321,0.24009989141109403,0.05579078680221533,0.0015350095345028213
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,22,1321,0.24049236183812633,0.05862297598021636,0.001612933464974701
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,23,1321,0.24153742513405743,0.0694019521800288,0.0019095027049380652
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,24,1321,0.22450549791113705,0.06850583996326294,0.0018848473653100993
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,25,1321,0.2941196759278624,0.07262443057795137,0.0019981649258720797
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,26,1321,0.2733956529596013,0.07420672133332822,0.002041699558292117
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,27,1321,0.25527202798776966,0.07125052752019989,0.001960363804683243
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,28,1321,0.22357962639786635,0.06549177915782099,0.0018019194781245947
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,29,1321,0.27855915205664566,0.06669478874644061,0.0018350186920714413
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,30,1321,0.26943059642372663,0.05849164749061553,0.0016093201356914308
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,31,1321,0.24696981233462162,0.057776209800177364,0.0015896358161270102
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,5,32,1321,0.18970237661048736,0.04853905801192343,0.0013354878307815776
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,1,1321,0.13399794621056088,0.04004020804416578,0.0011016532412271073
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,2,1321,0.1678278284890466,0.04255717399919727,0.0011709042226246114
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,3,1321,0.1359171197043956,0.03564856235928226,0.00098082293241012
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,4,1321,0.09384295851680295,0.025060180628698737,0.0006894976465879131
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,5,1321,0.042038160685751585,0.013331025040581125,0.00036678548045096466
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,6,1321,0.0,0.0,0.0
