model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
internvl_2_5_8b,all,amp_fraction_gt1,REAL,10,9993,9993,0,0.00011570599419593716,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,11,9993,9993,0,0.00010593352846992895,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,12,9993,9993,0,0.00012938744621234863,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,13,9993,9993,0,0.00020170369258480937,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,14,9993,9993,0,1.6417742419693785e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,15,9993,9993,0,1.1336060242169519e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,16,9993,9993,0,4.417154508155709e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,17,9993,9993,0,5.863479435604924e-06,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,18,9993,9993,0,5.628940258180726e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,19,9993,9993,0,1.6417742419693785e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,20,9993,9993,0,0.0010941252626838788,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,21,9993,9993,0,3.9089862904032823e-07,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,22,9993,9993,0,0.00013681452016411487,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,23,9993,9993,0,1.1726958871209847e-06,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,24,9993,9993,0,0.0,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,25,9993,9993,0,0.00017121359951966376,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,26,9993,9993,0,3.9089862904032823e-07,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,27,9993,9993,0,1.52450465325728e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,28,9993,9993,0,3.9089862904032823e-07,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,29,9993,9993,0,5.472580806564595e-06,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,30,9993,9993,0,4.299884919443611e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,31,9993,9993,0,0.00013798721605123585,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,REAL,32,9993,9993,0,0.10132327003902732,0.0546875,0.0859375,0.12890625
internvl_2_5_8b,all,amp_fraction_gt1,HALL,1,1766,1766,0,0.9952598563137033,0.99609375,1.0,1.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,2,1766,1766,0,0.02046468006795017,0.0,0.0,0.00390625
internvl_2_5_8b,all,amp_fraction_gt1,HALL,3,1766,1766,0,0.085722943799547,0.0,0.015625,0.09375
internvl_2_5_8b,all,amp_fraction_gt1,HALL,4,1766,1766,0,0.08188526330690826,0.00390625,0.03125,0.1171875
internvl_2_5_8b,all,amp_fraction_gt1,HALL,5,1766,1766,0,0.07786841732729331,0.00390625,0.02734375,0.10546875
internvl_2_5_8b,all,amp_fraction_gt1,HALL,6,1766,1766,0,0.11832885050962627,0.00390625,0.0546875,0.1796875
internvl_2_5_8b,all,amp_fraction_gt1,HALL,7,1766,1766,0,0.0032426741223103056,0.0,0.0,0.00390625
internvl_2_5_8b,all,amp_fraction_gt1,HALL,8,1766,1766,0,0.022063897933182332,0.0,0.00390625,0.01953125
internvl_2_5_8b,all,amp_fraction_gt1,HALL,9,1766,1766,0,0.0012099200169875424,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,10,1766,1766,0,8.405294450736127e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,11,1766,1766,0,0.00036496673272933184,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,12,1766,1766,0,0.000570675254813137,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,13,1766,1766,0,0.0004711388731596829,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,14,1766,1766,0,0.00021013236126840316,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,15,1766,1766,0,0.00017695356738391845,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,16,1766,1766,0,8.847678369195923e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,17,1766,1766,0,3.9814552661381654e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,18,1766,1766,0,0.0001813774065685164,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,19,1766,1766,0,2.654303510758777e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,20,1766,1766,0,0.0017297211211778029,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,21,1766,1766,0,0.0,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,22,1766,1766,0,0.00013050325594563987,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,23,1766,1766,0,6.635758776896942e-06,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,24,1766,1766,0,0.0,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,25,1766,1766,0,2.433111551528879e-05,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,26,1766,1766,0,0.0,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,27,1766,1766,0,6.635758776896942e-06,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,28,1766,1766,0,0.0,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,29,1766,1766,0,6.635758776896942e-06,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,30,1766,1766,0,0.00016589396942242357,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,31,1766,1766,0,0.00018580124575311437,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,HALL,32,1766,1766,0,0.14037726500566253,0.0859375,0.125,0.1787109375
internvl_2_5_8b,all,gross_gain,REAL,1,9993,9993,0,1.794001798001822,1.616217017814578,1.8051348782548025,1.9455714467413567
internvl_2_5_8b,all,gross_gain,REAL,2,9993,9993,0,0.7080864682453275,0.6459187034863357,0.7079693111420583,0.7663964518315525
internvl_2_5_8b,all,gross_gain,REAL,3,9993,9993,0,0.8507063857833977,0.7886024038501601,0.8380620392879684,0.8973150494866641
