model,scope,signal,layer,real_mean,hall_mean,hall_minus_real,real_median,hall_median,real_count,hall_count
qwen2_5_vl_7b,test,kVP,20,0.43189477920532227,0.42343035340309143,-0.008464425802230835,0.42852306365966797,0.4107748568058014,763,85
qwen2_5_vl_7b,test,kVP,21,0.4121866524219513,0.4120703637599945,-0.00011628866195678711,0.41206544637680054,0.3994289040565491,763,85
qwen2_5_vl_7b,test,kVP,22,0.47842058539390564,0.5083137154579163,0.02989313006401062,0.4782325029373169,0.5055921077728271,763,85
qwen2_5_vl_7b,test,kVP,23,0.4080476462841034,0.4214845597743988,0.01343691349029541,0.40409842133522034,0.4108099341392517,763,85
qwen2_5_vl_7b,test,kVP,24,0.42879289388656616,0.42721450328826904,-0.0015783905982971191,0.42416703701019287,0.42353975772857666,763,85
qwen2_5_vl_7b,test,kVP,25,0.38334232568740845,0.4080880582332611,0.02474573254585266,0.37390121817588806,0.40100112557411194,763,85
qwen2_5_vl_7b,test,kVP,26,0.4835354685783386,0.5174726247787476,0.033937156200408936,0.4738808572292328,0.5157658457756042,763,85
qwen2_5_vl_7b,test,kVP,27,0.35916265845298767,0.37266555428504944,0.013502895832061768,0.35598304867744446,0.3634287416934967,763,85
qwen2_5_vl_7b,test,kVP,28,0.5659779906272888,0.6065120697021484,0.04053407907485962,0.558252215385437,0.590817928314209,763,85
llava_1_5_7b,all,kP,1,0.6096226572990417,0.7116122841835022,0.10198962688446045,0.6269024610519409,0.754740834236145,11976,3487
llava_1_5_7b,all,kP,2,0.5160439014434814,0.6010889410972595,0.08504503965377808,0.5060781240463257,0.6100548505783081,11976,3487
llava_1_5_7b,all,kP,3,0.6640414595603943,0.7837607264518738,0.11971926689147949,0.651336669921875,0.8046906590461731,11976,3487
llava_1_5_7b,all,kP,4,0.8643407225608826,0.885498583316803,0.02115786075592041,0.8823232054710388,0.9101216197013855,11976,3487
llava_1_5_7b,all,kP,5,0.7905871868133545,0.8414916396141052,0.05090445280075073,0.8195549249649048,0.851708173751831,11976,3487
llava_1_5_7b,all,kP,6,0.7829341888427734,0.8553027510643005,0.0723685622215271,0.7845449447631836,0.8636220097541809,11976,3487
llava_1_5_7b,all,kP,7,0.6653321385383606,0.7193045616149902,0.05397242307662964,0.6732345819473267,0.7293763756752014,11976,3487
llava_1_5_7b,all,kP,8,0.835783064365387,0.8931379318237305,0.057354867458343506,0.8495694398880005,0.8984354734420776,11976,3487
llava_1_5_7b,all,kP,9,0.7131779789924622,0.7539356350898743,0.04075765609741211,0.7083520293235779,0.7437705993652344,11976,3487
llava_1_5_7b,all,kP,10,0.6834307312965393,0.7607141137123108,0.07728338241577148,0.6850082874298096,0.7683930993080139,11976,3487
llava_1_5_7b,all,kP,11,0.6199554204940796,0.6747596859931946,0.05480426549911499,0.6009323000907898,0.6666127443313599,11976,3487
llava_1_5_7b,all,kP,12,0.6381073594093323,0.6919954419136047,0.05388808250427246,0.6249079704284668,0.6915132999420166,11976,3487
llava_1_5_7b,all,kP,13,0.7047812938690186,0.7994888424873352,0.09470754861831665,0.7127629518508911,0.8068211078643799,11976,3487
llava_1_5_7b,all,kP,14,0.648382842540741,0.7258336544036865,0.07745081186294556,0.6406185626983643,0.7274506092071533,11976,3487
llava_1_5_7b,all,kP,15,0.6447011828422546,0.7174688577651978,0.07276767492294312,0.6207845211029053,0.711736261844635,11976,3487
llava_1_5_7b,all,kP,16,0.647337794303894,0.6915864944458008,0.04424870014190674,0.6488601565361023,0.6833442449569702,11976,3487
llava_1_5_7b,all,kP,17,0.6121793389320374,0.644177258014679,0.0319979190826416,0.609634518623352,0.6440618634223938,11976,3487
llava_1_5_7b,all,kP,18,0.8061516880989075,0.8946011066436768,0.08844941854476929,0.8310272693634033,0.903695821762085,11976,3487
llava_1_5_7b,all,kP,19,0.7886520028114319,0.8829532861709595,0.09430128335952759,0.8207957744598389,0.8926247954368591,11976,3487
llava_1_5_7b,all,kP,20,0.7146479487419128,0.8573737144470215,0.14272576570510864,0.7412769794464111,0.8759182691574097,11976,3487
llava_1_5_7b,all,kP,21,0.6721304059028625,0.7297932505607605,0.05766284465789795,0.6798445582389832,0.7305107712745667,11976,3487
