model,scope,signal,layer,paired_images,hall_minus_real,ci95_low,ci95_high
qwen2_5_vl_7b,all,kVP,20,703,0.007020145654678345,0.002406527695711702,0.011705284193158147
qwen2_5_vl_7b,all,kVP,21,703,0.0010474807349964976,-0.004248508927412331,0.0065372030134312805
qwen2_5_vl_7b,all,kVP,22,703,0.03267093002796173,0.02533123386092484,0.03957896512001751
qwen2_5_vl_7b,all,kVP,23,703,0.020249634981155396,0.014749805675819516,0.02582012400962412
qwen2_5_vl_7b,all,kVP,24,703,0.010384589433670044,0.003374506230466068,0.017683245241641995
qwen2_5_vl_7b,all,kVP,25,703,0.04290865734219551,0.03535441691055894,0.05032220389693975
qwen2_5_vl_7b,all,kVP,26,703,0.042780231684446335,0.03228700952604413,0.05352407805621623
qwen2_5_vl_7b,all,kVP,27,703,0.024778448045253754,0.01886772788129747,0.03141621779650449
qwen2_5_vl_7b,all,kVP,28,703,0.043658483773469925,0.0356819286942482,0.05179485213011503
qwen2_5_vl_7b,test,kP,1,60,0.008820930495858192,-0.021086373273283242,0.03711000559851525
qwen2_5_vl_7b,test,kP,2,60,0.036461371928453445,-0.018752649938687683,0.0933733208104968
qwen2_5_vl_7b,test,kP,3,60,0.03765443339943886,0.024433717783540487,0.05085456399247049
qwen2_5_vl_7b,test,kP,4,60,0.020965920761227608,0.0037397985986899586,0.038504287134855986
qwen2_5_vl_7b,test,kP,5,60,0.03868524730205536,0.006458951404783875,0.06990358624607322
qwen2_5_vl_7b,test,kP,6,60,0.07069797813892365,0.039795199781656264,0.10382273457944392
qwen2_5_vl_7b,test,kP,7,60,0.02370171993970871,0.006850327260326594,0.039621726702898735
qwen2_5_vl_7b,test,kP,8,60,0.061751749366521835,0.03531598467379808,0.08936619982123373
qwen2_5_vl_7b,test,kP,9,60,0.08233905583620071,0.05294742491096258,0.11091754417866467
qwen2_5_vl_7b,test,kP,10,60,0.04763158783316612,0.014280592533759772,0.08186367303133008
qwen2_5_vl_7b,test,kP,11,60,0.046110525727272034,0.021181832440197466,0.07154919002205133
qwen2_5_vl_7b,test,kP,12,60,0.06299998611211777,0.039207315724343064,0.0880709808319807
qwen2_5_vl_7b,test,kP,13,60,0.06698589771986008,0.04313426045700908,0.09195778276771306
qwen2_5_vl_7b,test,kP,14,60,0.06849002093076706,0.03887411551550031,0.09840328451246022
qwen2_5_vl_7b,test,kP,15,60,0.0744180679321289,0.0482673566788435,0.09903977345675229
qwen2_5_vl_7b,test,kP,16,60,0.05004153400659561,0.028006430948153138,0.07251885067671537
qwen2_5_vl_7b,test,kP,17,60,0.12544213235378265,0.09610900506377221,0.1554035075008869
qwen2_5_vl_7b,test,kP,18,60,0.08090519905090332,0.0563652029260993,0.10432246662676334
qwen2_5_vl_7b,test,kP,19,60,0.014796968549489975,0.0016704862209735438,0.028201973624527452
qwen2_5_vl_7b,test,kP,20,60,0.04083222523331642,0.02932887589558959,0.05294847013428807
qwen2_5_vl_7b,test,kP,21,60,0.13688421249389648,0.10318258907645941,0.17169362828135487
qwen2_5_vl_7b,test,kP,22,60,0.1270877569913864,0.09483237899839878,0.16054877415299415
qwen2_5_vl_7b,test,kP,23,60,0.09713370352983475,0.06897362042218447,0.12442183922976252
qwen2_5_vl_7b,test,kP,24,60,0.03931836038827896,0.027768858382478355,0.05107725495472548
qwen2_5_vl_7b,test,kP,25,60,0.04675029218196869,0.028934553498402238,0.0631232725456357
qwen2_5_vl_7b,test,kP,26,60,0.026109538972377777,0.017799696093425153,0.03435872048139571
qwen2_5_vl_7b,test,kP,27,60,0.025923380628228188,0.012310596136376261,0.039061456266790626
qwen2_5_vl_7b,test,kP,28,60,0.0671524927020073,0.036907657608389856,0.09853805378079412
qwen2_5_vl_7b,test,kVP,1,60,0.015365962870419025,-0.01360513218678534,0.04294433034956453
qwen2_5_vl_7b,test,kVP,2,60,0.03262418136000633,-0.020065811369568108,0.08813826590776438
qwen2_5_vl_7b,test,kVP,3,60,0.028650883585214615,0.012333135260269046,0.04380842959508299
qwen2_5_vl_7b,test,kVP,4,60,0.009002878330647945,-0.01018776735290885,0.028492985898628823
