model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
internvl_2_5_8b,all,cos_mean,HALL,32,220,220,0,0.0028926444778904683,-0.02024038705332032,-0.0005754510450213246,0.028379102587223315
internvl_2_5_8b,all,parallel_gain_mean,REAL,1,1278,1278,0,-0.33331128438085433,-0.44504770709430225,-0.3550026361696131,-0.19442969103387642
internvl_2_5_8b,all,parallel_gain_mean,REAL,2,1278,1278,0,-0.15555919597798526,-0.17448219899239112,-0.1583405115541999,-0.13560136645967047
internvl_2_5_8b,all,parallel_gain_mean,REAL,3,1278,1278,0,-0.06775781640704161,-0.0959489360786375,-0.07591917260826764,-0.04575691515498084
internvl_2_5_8b,all,parallel_gain_mean,REAL,4,1278,1278,0,-0.1876129560114351,-0.20526792115549564,-0.18628203908765445,-0.167996957339535
internvl_2_5_8b,all,parallel_gain_mean,REAL,5,1278,1278,0,-0.24150613413747424,-0.2647142706874788,-0.24186757606591827,-0.21490109842757513
internvl_2_5_8b,all,parallel_gain_mean,REAL,6,1278,1278,0,-0.26319097167433186,-0.2859549488820312,-0.2617063706309948,-0.23961356304594722
internvl_2_5_8b,all,parallel_gain_mean,REAL,7,1278,1278,0,-0.2077439800085902,-0.23531632288059215,-0.20875755980849675,-0.18151368149713643
internvl_2_5_8b,all,parallel_gain_mean,REAL,8,1278,1278,0,-0.30296683592914747,-0.3346370470559504,-0.3080715973623428,-0.27469482393579564
internvl_2_5_8b,all,parallel_gain_mean,REAL,9,1278,1278,0,-0.2497141687600993,-0.2793224292512219,-0.2522030974889286,-0.22615757513300735
internvl_2_5_8b,all,parallel_gain_mean,REAL,10,1278,1278,0,-0.20012392001045762,-0.22074669615271256,-0.20629592426413096,-0.17947371900406534
internvl_2_5_8b,all,parallel_gain_mean,REAL,11,1278,1278,0,-0.20447295770031726,-0.2254380229491138,-0.20813110712683378,-0.18641984974148673
internvl_2_5_8b,all,parallel_gain_mean,REAL,12,1278,1278,0,-0.20836122013179947,-0.22731157298131455,-0.2136727986465206,-0.19330233551540532
internvl_2_5_8b,all,parallel_gain_mean,REAL,13,1278,1278,0,-0.20150489299405713,-0.2280009209751014,-0.20338170536158082,-0.17708462848060758
internvl_2_5_8b,all,parallel_gain_mean,REAL,14,1278,1278,0,-0.2060463532973912,-0.2215547207062532,-0.20771853199161042,-0.1935569844913036
internvl_2_5_8b,all,parallel_gain_mean,REAL,15,1278,1278,0,-0.20228795073724845,-0.21876831743928737,-0.20312444990153458,-0.1883125146968405
internvl_2_5_8b,all,parallel_gain_mean,REAL,16,1278,1278,0,-0.15676866203124498,-0.16731862616457738,-0.15721494375651987,-0.14787035172603752
internvl_2_5_8b,all,parallel_gain_mean,REAL,17,1278,1278,0,-0.1404088109792519,-0.1515332531127369,-0.14046979499150192,-0.1294732678937388
internvl_2_5_8b,all,parallel_gain_mean,REAL,18,1278,1278,0,-0.13791733945802057,-0.14900751259969386,-0.13793910973366946,-0.12748284990491499
internvl_2_5_8b,all,parallel_gain_mean,REAL,19,1278,1278,0,-0.10616452196007393,-0.11363587539461202,-0.10488429718230477,-0.09741149841448637
internvl_2_5_8b,all,parallel_gain_mean,REAL,20,1278,1278,0,-0.08482369194019812,-0.09242850566042037,-0.08488055581185958,-0.07662299781306511
internvl_2_5_8b,all,parallel_gain_mean,REAL,21,1278,1278,0,-0.06851799661140644,-0.07333955247415147,-0.06829700159545513,-0.06348055494259786
internvl_2_5_8b,all,parallel_gain_mean,REAL,22,1278,1278,0,-0.05801047082774594,-0.06392394258277662,-0.058257145442515486,-0.052264134339992704
internvl_2_5_8b,all,parallel_gain_mean,REAL,23,1278,1278,0,-0.031228699493818065,-0.034402028773676444,-0.031089412536337832,-0.02804531978243582
