model,split,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,test,0,11,373,0.07056859880685806,0.06817782670259476,0.048717156052589417,0.08965916931629181
internvl_2_5_8b,test,0,12,373,0.11685595661401749,0.11290013790130615,0.07349230349063873,0.15577927231788635
internvl_2_5_8b,test,0,13,373,0.190220907330513,0.1882946938276291,0.12096252292394638,0.251789927482605
internvl_2_5_8b,test,0,14,373,0.08357050269842148,0.07834917306900024,0.05373053625226021,0.10847155749797821
internvl_2_5_8b,test,0,15,373,0.12375520169734955,0.11985394358634949,0.08075083792209625,0.16423264145851135
internvl_2_5_8b,test,0,16,373,0.25430452823638916,0.2569737732410431,0.15712790191173553,0.3436241149902344
internvl_2_5_8b,test,0,17,373,0.18896308541297913,0.18857377767562866,0.1156037375330925,0.24861207604408264
internvl_2_5_8b,test,0,18,373,0.0894506648182869,0.08308684080839157,0.05176250636577606,0.12551717460155487
internvl_2_5_8b,test,0,19,373,0.1692032665014267,0.16192032396793365,0.10237716138362885,0.23466339707374573
internvl_2_5_8b,test,0,20,373,0.2054903209209442,0.19909030199050903,0.13053208589553833,0.2836458683013916
internvl_2_5_8b,test,0,21,373,0.17515790462493896,0.16131870448589325,0.11026275902986526,0.24238799512386322
internvl_2_5_8b,test,0,22,373,0.1080222874879837,0.09641542285680771,0.0545353889465332,0.15458360314369202
internvl_2_5_8b,test,0,23,373,0.0629332959651947,0.05258425325155258,0.029375096783041954,0.08569926023483276
internvl_2_5_8b,test,0,24,373,0.0406925305724144,0.03456113114953041,0.021959666162729263,0.0542767234146595
internvl_2_5_8b,test,0,25,373,0.11164261400699615,0.09586521983146667,0.04944145679473877,0.16846197843551636
internvl_2_5_8b,test,0,26,373,0.07763691246509552,0.06494317203760147,0.03116821125149727,0.12020990252494812
internvl_2_5_8b,test,0,27,373,0.05648784711956978,0.04711592197418213,0.026727108284831047,0.08217088133096695
internvl_2_5_8b,test,0,28,373,0.02980702742934227,0.026682162657380104,0.016817888244986534,0.040266357362270355
internvl_2_5_8b,test,0,29,373,0.0911109447479248,0.079730324447155,0.04576882719993591,0.13000167906284332
internvl_2_5_8b,test,0,30,373,0.10763560235500336,0.10065899044275284,0.06333476305007935,0.14321325719356537
internvl_2_5_8b,test,0,31,373,0.0954073816537857,0.08736326545476913,0.05522049218416214,0.12741059064865112
internvl_2_5_8b,test,0,32,373,0.0802004337310791,0.07099843770265579,0.051549531519412994,0.10048993676900864
internvl_2_5_8b,test,1,1,2008,0.13111335039138794,0.12340062856674194,0.07697942107915878,0.18214574456214905
internvl_2_5_8b,test,1,2,2008,0.04871338978409767,0.046849317848682404,0.036525960080325603,0.05865864548832178
internvl_2_5_8b,test,1,3,2008,0.006018896121531725,0.005619550123810768,0.004070033668540418,0.0074760232819244266
internvl_2_5_8b,test,1,4,2008,0.009606864303350449,0.008964368142187595,0.006623354856856167,0.012025929521769285
internvl_2_5_8b,test,1,5,2008,0.03066175803542137,0.027588238939642906,0.0188316754065454,0.039839704521000385
internvl_2_5_8b,test,1,6,2008,0.06108452379703522,0.0489485077559948,0.031111481599509716,0.08787236735224724
internvl_2_5_8b,test,1,7,2008,0.06273119896650314,0.05561167746782303,0.0355602391064167,0.0875919982790947
internvl_2_5_8b,test,1,8,2008,0.115812286734581,0.11281400918960571,0.07957526855170727,0.15259430184960365
internvl_2_5_8b,test,1,9,2008,0.06757765263319016,0.061925604939460754,0.042231038212776184,0.0902809388935566
internvl_2_5_8b,test,1,10,2008,0.21024277806282043,0.2143334001302719,0.1600930616259575,0.2653655409812927
internvl_2_5_8b,test,1,11,2008,0.1056772843003273,0.10086338222026825,0.07347788102924824,0.13772661983966827
internvl_2_5_8b,test,1,12,2008,0.17074644565582275,0.1717747300863266,0.12940619513392448,0.2167661301791668
internvl_2_5_8b,test,1,13,2008,0.2509855329990387,0.25643473863601685,0.2058783955872059,0.3007134571671486
internvl_2_5_8b,test,1,14,2008,0.1239500567317009,0.11755618453025818,0.08263313584029675,0.16619259491562843
internvl_2_5_8b,test,1,15,2008,0.167572483420372,0.169987753033638,0.12947291508316994,0.20907218754291534
internvl_2_5_8b,test,1,16,2008,0.3229244649410248,0.33940762281417847,0.26936789602041245,0.3885365277528763
