model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,amp_median,21,703,703,-0.0030830495939946326,-0.0021514464109306797,0.4779516358463727
qwen2_5_vl_7b,all,amp_median,22,703,703,0.012136077755962961,0.014827069024725859,0.6344238975817923
qwen2_5_vl_7b,all,amp_median,23,703,703,-0.0029746509292372615,-0.0036308908569545606,0.4665718349928876
qwen2_5_vl_7b,all,amp_median,24,703,703,0.031063804177121804,0.026767272913429008,0.6756756756756757
qwen2_5_vl_7b,all,amp_median,25,703,703,0.011566620935123203,0.011296460365624539,0.5874822190611664
qwen2_5_vl_7b,all,amp_median,26,703,703,0.01477465848542341,0.013387839880967756,0.6116642958748222
qwen2_5_vl_7b,all,amp_median,27,703,703,0.017911834806255546,0.01457765521298593,0.635846372688478
qwen2_5_vl_7b,all,amp_median,28,703,703,0.010053492942210456,-0.009628874926467912,0.4722617354196302
qwen2_5_vl_7b,all,amp_fraction_gt1,1,703,703,-0.0883252683668461,-0.06805293005671076,0.42816500711237554
qwen2_5_vl_7b,all,amp_fraction_gt1,2,703,703,-0.005671394091684744,-0.0023148148148148147,0.2631578947368421
qwen2_5_vl_7b,all,amp_fraction_gt1,3,703,703,0.00035912760183333875,0.0,0.12091038406827881
qwen2_5_vl_7b,all,amp_fraction_gt1,4,703,703,-0.0008502649436119277,0.0,0.21621621621621623
qwen2_5_vl_7b,all,amp_fraction_gt1,5,703,703,-0.0030979785290589368,-0.0025575447570332483,0.2233285917496444
qwen2_5_vl_7b,all,amp_fraction_gt1,6,703,703,-0.005976670388575843,-0.0008361204013377926,0.2802275960170697
qwen2_5_vl_7b,all,amp_fraction_gt1,7,703,703,0.0005202659129895334,0.0,0.16500711237553342
qwen2_5_vl_7b,all,amp_fraction_gt1,8,703,703,0.014282441699941553,0.0,0.34281650071123754
qwen2_5_vl_7b,all,amp_fraction_gt1,9,703,703,-0.008643432894499216,0.0,0.26458036984352773
qwen2_5_vl_7b,all,amp_fraction_gt1,10,703,703,0.0009007089981270638,-0.0017050298380221623,0.4879089615931721
qwen2_5_vl_7b,all,amp_fraction_gt1,11,703,703,-0.0034031647838212876,-0.002898550724637681,0.2773826458036984
qwen2_5_vl_7b,all,amp_fraction_gt1,12,703,703,-0.0008246256377480773,0.0,0.10241820768136557
qwen2_5_vl_7b,all,amp_fraction_gt1,13,703,703,-0.003073286312623647,0.0,0.10241820768136557
qwen2_5_vl_7b,all,amp_fraction_gt1,14,703,703,0.0002518005813412875,0.0,0.10099573257467995
qwen2_5_vl_7b,all,amp_fraction_gt1,15,703,703,-0.00046748981063287845,0.0,0.012802275960170697
qwen2_5_vl_7b,all,amp_fraction_gt1,16,703,703,-0.0001519976306806332,0.0,0.04267425320056899
qwen2_5_vl_7b,all,amp_fraction_gt1,17,703,703,-0.0001464512815636299,0.0,0.00995732574679943
qwen2_5_vl_7b,all,amp_fraction_gt1,18,703,703,-0.00011181692935630208,0.0,0.001422475106685633
qwen2_5_vl_7b,all,amp_fraction_gt1,19,703,703,-0.0004447113809248303,0.0,0.017069701280227598
qwen2_5_vl_7b,all,amp_fraction_gt1,20,703,703,-6.994312411351289e-05,0.0,0.002844950213371266
qwen2_5_vl_7b,all,amp_fraction_gt1,21,703,703,-0.00047166011985938527,0.0,0.00995732574679943
qwen2_5_vl_7b,all,amp_fraction_gt1,22,703,703,0.0007798960011610199,0.0,0.08108108108108109
qwen2_5_vl_7b,all,amp_fraction_gt1,23,703,703,0.0006561224896245702,0.0,0.10384068278805121
qwen2_5_vl_7b,all,amp_fraction_gt1,24,703,703,0.003887563245928633,0.0,0.4039829302987198
qwen2_5_vl_7b,all,amp_fraction_gt1,25,703,703,-2.4418192276819164e-05,0.0,0.012802275960170697
qwen2_5_vl_7b,all,amp_fraction_gt1,26,703,703,0.00026125640100872657,0.0,0.06401137980085349
qwen2_5_vl_7b,all,amp_fraction_gt1,27,703,703,0.0008207543966118863,0.0,0.18207681365576103
qwen2_5_vl_7b,all,amp_fraction_gt1,28,703,703,0.003747662246138709,-0.018115942028985477,0.4466571834992888
qwen2_5_vl_7b,all,gross_gain,1,703,703,-0.03473041744651974,-0.03757439355915371,0.4267425320056899
qwen2_5_vl_7b,all,gross_gain,2,703,703,-0.02852796926242998,-0.03473392947330117,0.3357041251778094
qwen2_5_vl_7b,all,gross_gain,3,703,703,0.0029928575084868523,0.0009168188248094289,0.5035561877667141
qwen2_5_vl_7b,all,gross_gain,4,703,703,-0.005648380839987265,-0.0010568456774286417,0.48933143669985774
qwen2_5_vl_7b,all,gross_gain,5,703,703,-0.02003687805319069,-0.020958582258429947,0.41251778093883357
qwen2_5_vl_7b,all,gross_gain,6,703,703,-0.012951401702743707,-0.01418538144116488,0.4523470839260313
qwen2_5_vl_7b,all,gross_gain,7,703,703,-0.0031419378243115466,-0.006874204790477512,0.4722617354196302
qwen2_5_vl_7b,all,gross_gain,8,703,703,0.018212362260847825,0.01182957765761361,0.5462304409672831
qwen2_5_vl_7b,all,gross_gain,9,703,703,0.004674809605575291,0.004688654603618558,0.5149359886201992
qwen2_5_vl_7b,all,gross_gain,10,703,703,0.025019698516558986,-0.0004875945633506795,0.4992887624466572
qwen2_5_vl_7b,all,gross_gain,11,703,703,-0.015185469712900518,-0.015493352484991174,0.40540540540540543
qwen2_5_vl_7b,all,gross_gain,12,703,703,0.00599110955995118,0.0024231787687802875,0.5291607396870555
qwen2_5_vl_7b,all,gross_gain,13,703,703,-0.005301499676753104,-0.005061736356402502,0.4594594594594595
qwen2_5_vl_7b,all,gross_gain,14,703,703,0.011434385959579227,0.010213330180045888,0.5633001422475107
qwen2_5_vl_7b,all,gross_gain,15,703,703,0.002797980801035791,0.002005635273412243,0.5120910384068279
qwen2_5_vl_7b,all,gross_gain,16,703,703,-0.010513780100398901,-0.01296468943210971,0.38549075391180654
qwen2_5_vl_7b,all,gross_gain,17,703,703,-0.013366837819543039,-0.01706354514299324,0.4039829302987198
qwen2_5_vl_7b,all,gross_gain,18,703,703,-0.010659006019064091,-0.008929210436074309,0.4395448079658606
qwen2_5_vl_7b,all,gross_gain,19,703,703,0.004450587327981313,0.0022811388636377883,0.5120910384068279
qwen2_5_vl_7b,all,gross_gain,20,703,703,-0.0072878049062774265,-0.006923298623291885,0.45092460881934565
qwen2_5_vl_7b,all,gross_gain,21,703,703,-0.030827331419985803,-0.028206730213762965,0.2930298719772404
qwen2_5_vl_7b,all,gross_gain,22,703,703,0.03497146337601253,0.03080674976631992,0.6970128022759602
qwen2_5_vl_7b,all,gross_gain,23,703,703,-0.002380429440417009,-0.009701232796897274,0.4295874822190612
qwen2_5_vl_7b,all,gross_gain,24,703,703,0.016716989236244147,0.01262699524137878,0.5490753911806543
qwen2_5_vl_7b,all,gross_gain,25,703,703,0.006067159113813877,0.004577259379427323,0.5490753911806543
qwen2_5_vl_7b,all,gross_gain,26,703,703,-0.001855455428889336,-0.0008999560150066976,0.492176386913229
qwen2_5_vl_7b,all,gross_gain,27,703,703,0.012761831170410885,0.008116143410214383,0.5817923186344239
qwen2_5_vl_7b,all,gross_gain,28,703,703,0.025145475147304665,0.0074865350933311925,0.5320056899004267
qwen2_5_vl_7b,all,cancellation,1,703,703,-0.00219055662586623,0.005644238136970348,0.5448079658605974
qwen2_5_vl_7b,all,cancellation,2,703,703,-0.010101670145382987,-0.005299461063014599,0.4751066856330014
qwen2_5_vl_7b,all,cancellation,3,703,703,-0.020691141819621815,-0.01809421653104082,0.41536273115220484
qwen2_5_vl_7b,all,cancellation,4,703,703,-0.025727451052631533,-0.024842546737543936,0.3869132290184922
qwen2_5_vl_7b,all,cancellation,5,703,703,-0.03208057095770766,-0.03317334858522114,0.2930298719772404
qwen2_5_vl_7b,all,cancellation,6,703,703,-0.012774883529440789,-0.008823785913601778,0.4480796586059744
qwen2_5_vl_7b,all,cancellation,7,703,703,-0.021745257264394642,-0.022972898126542463,0.3357041251778094
qwen2_5_vl_7b,all,cancellation,8,703,703,-0.003588112311529547,-0.005389753020736521,0.4623044096728307
qwen2_5_vl_7b,all,cancellation,9,703,703,-0.0154043595153824,-0.01867501453073378,0.3883357041251778
qwen2_5_vl_7b,all,cancellation,10,703,703,-0.020752297482585304,-0.025788516421168084,0.41251778093883357
