model,family,scale,group,label,layer,n,mean,median,q25,q75
minigpt4_7b,gated,raw,visual,0,10,1676,0.0845446005235215,0.07403403148055077,0.04585229139775038,0.10991131328046322
minigpt4_7b,gated,raw,visual,0,11,1676,0.07556359801215824,0.0661930963397026,0.042382534593343735,0.09816017560660839
minigpt4_7b,gated,raw,visual,0,12,1676,0.05561733760938786,0.04953371360898018,0.03303053881973028,0.07073188200592995
minigpt4_7b,gated,raw,visual,0,13,1676,0.11156229419285889,0.10287216678261757,0.058800067752599716,0.15393979474902153
minigpt4_7b,gated,raw,visual,0,14,1676,0.10353907687964056,0.09259722009301186,0.05496325995773077,0.14148157835006714
minigpt4_7b,gated,raw,visual,0,15,1676,0.0807170229941731,0.0747038871049881,0.04800536669790745,0.10613365285098553
minigpt4_7b,gated,raw,visual,0,16,1676,0.12499824640738971,0.10642291232943535,0.059630987234413624,0.1739024892449379
minigpt4_7b,gated,raw,visual,0,17,1676,0.08846039904574897,0.08276035264134407,0.05678617116063833,0.11351548880338669
minigpt4_7b,gated,raw,visual,0,18,1676,0.09612208327194031,0.0834435373544693,0.05329054966568947,0.1296185627579689
minigpt4_7b,gated,raw,visual,0,19,1676,0.09763834807440541,0.08332289010286331,0.050153364427387714,0.1331564448773861
minigpt4_7b,gated,raw,visual,0,20,1676,0.12410555898571979,0.1082189790904522,0.06527672335505486,0.16832691431045532
minigpt4_7b,gated,raw,visual,0,21,1676,0.07769825690934937,0.0692693181335926,0.046547857113182545,0.10227264650166035
minigpt4_7b,gated,raw,visual,0,22,1676,0.0875007776506823,0.07360388338565826,0.0476355105638504,0.11307091824710369
minigpt4_7b,gated,raw,visual,0,23,1676,0.03987450508799777,0.03680712543427944,0.02782291965559125,0.048663293942809105
minigpt4_7b,gated,raw,visual,0,24,1676,0.10509544952888139,0.09382918104529381,0.06264657340943813,0.13488807529211044
minigpt4_7b,gated,raw,visual,0,25,1676,0.06371345065883083,0.0529065802693367,0.035076248459517956,0.08234004862606525
minigpt4_7b,gated,raw,visual,0,26,1676,0.03083742964542682,0.0280985776335001,0.02062034234404564,0.03842093702405691
minigpt4_7b,gated,raw,visual,0,27,1676,0.029328944266835997,0.02692935336381197,0.020578112918883562,0.035900444723665714
minigpt4_7b,gated,raw,visual,0,28,1676,0.028854616435893717,0.027472833171486855,0.021368264220654964,0.034385002218186855
minigpt4_7b,gated,raw,visual,0,29,1676,0.051919204110128535,0.04726538807153702,0.035168666392564774,0.06301574036478996
minigpt4_7b,gated,raw,visual,0,30,1676,0.0367147837918883,0.033836180344223976,0.026267862413078547,0.04408651404082775
minigpt4_7b,gated,raw,visual,0,31,1676,0.04382692743092775,0.04213579557836056,0.0346157131716609,0.051600461825728416
minigpt4_7b,gated,raw,visual,0,32,1676,0.15597501395576965,0.15214547514915466,0.12000588327646255,0.18572501093149185
minigpt4_7b,gated,raw,visual,1,1,9281,0.09877333035635877,0.09772706776857376,0.06505316495895386,0.1316215991973877
minigpt4_7b,gated,raw,visual,1,2,9281,0.12985402188764467,0.12978829443454742,0.09067454189062119,0.1693025678396225
minigpt4_7b,gated,raw,visual,1,3,9281,0.11138007793086432,0.11005892604589462,0.07168606668710709,0.1488683521747589
minigpt4_7b,gated,raw,visual,1,4,9281,0.091716071618176,0.08608844876289368,0.05023397132754326,0.13060300052165985
minigpt4_7b,gated,raw,visual,1,5,9281,0.06044316593101618,0.05873671919107437,0.03994937241077423,0.07942768186330795
minigpt4_7b,gated,raw,visual,1,6,9281,0.07460150844811375,0.07098931074142456,0.051279786974191666,0.09572611004114151
minigpt4_7b,gated,raw,visual,1,7,9281,0.08929335020730197,0.0860624834895134,0.060621872544288635,0.11645060777664185
minigpt4_7b,gated,raw,visual,1,8,9281,0.07205555201655113,0.06810774654150009,0.04853864014148712,0.09397832304239273
minigpt4_7b,gated,raw,visual,1,9,9281,0.08739985236863947,0.0842103585600853,0.05850519984960556,0.11475048959255219
minigpt4_7b,gated,raw,visual,1,10,9281,0.13905614876533431,0.1360260546207428,0.08969391882419586,0.19083966314792633
minigpt4_7b,gated,raw,visual,1,11,9281,0.13506116494058748,0.13272269070148468,0.0855867937207222,0.18266116082668304
minigpt4_7b,gated,raw,visual,1,12,9281,0.10367248708183763,0.0977960079908371,0.06510662287473679,0.13534659147262573
minigpt4_7b,gated,raw,visual,1,13,9281,0.18215599555833079,0.18674686551094055,0.12821540236473083,0.23793770372867584
minigpt4_7b,gated,raw,visual,1,14,9281,0.18381130389023084,0.1851910799741745,0.12677542865276337,0.23837986588478088
minigpt4_7b,gated,raw,visual,1,15,9281,0.13683543067490514,0.1338227242231369,0.0969439148902893,0.17259827256202698
minigpt4_7b,gated,raw,visual,1,16,9281,0.22065500203347863,0.22770194709300995,0.15187892317771912,0.2920460104942322
minigpt4_7b,gated,raw,visual,1,17,9281,0.14141488155122703,0.1368904560804367,0.09733197093009949,0.18183033168315887
minigpt4_7b,gated,raw,visual,1,18,9281,0.16635858648112542,0.1704748272895813,0.12068060040473938,0.2150372415781021
minigpt4_7b,gated,raw,visual,1,19,9281,0.17546748181199118,0.17976391315460205,0.12438903003931046,0.22837965190410614
minigpt4_7b,gated,raw,visual,1,20,9281,0.20714415268274702,0.21612702310085297,0.1544647365808487,0.26382046937942505
minigpt4_7b,gated,raw,visual,1,21,9281,0.1257592977928041,0.12479636073112488,0.08892721682786942,0.16030657291412354
minigpt4_7b,gated,raw,visual,1,22,9281,0.1582654476108172,0.15638954937458038,0.10631569474935532,0.20660650730133057
minigpt4_7b,gated,raw,visual,1,23,9281,0.05946992856559055,0.05727827548980713,0.043682754039764404,0.07305289059877396
minigpt4_7b,gated,raw,visual,1,24,9281,0.17035533020519905,0.17143514752388,0.1294122338294983,0.21190544962882996
minigpt4_7b,gated,raw,visual,1,25,9281,0.11374197049611712,0.11373981833457947,0.07762419432401657,0.14682729542255402
minigpt4_7b,gated,raw,visual,1,26,9281,0.04981055794107739,0.04947974905371666,0.0369463749229908,0.061714816838502884
minigpt4_7b,gated,raw,visual,1,27,9281,0.04518708844529982,0.04357771575450897,0.03304002434015274,0.055674899369478226
minigpt4_7b,gated,raw,visual,1,28,9281,0.041545406817107854,0.04026877507567406,0.03063124790787697,0.05147871747612953
minigpt4_7b,gated,raw,visual,1,29,9281,0.08437282644670231,0.08360398560762405,0.06137175112962723,0.10549668222665787
minigpt4_7b,gated,raw,visual,1,30,9281,0.0565390183285598,0.055698759853839874,0.043160900473594666,0.06865672767162323
minigpt4_7b,gated,raw,visual,1,31,9281,0.05517453825005525,0.054101504385471344,0.044320885092020035,0.06460444629192352
minigpt4_7b,gated,raw,visual,1,32,9281,0.209583991382489,0.2057877629995346,0.16676780581474304,0.25107046961784363
minigpt4_7b,gated,raw,visual_prompt_sum,0,1,1676,0.20614990624676954,0.18505927175283432,0.14687291905283928,0.2515345439314842
minigpt4_7b,gated,raw,visual_prompt_sum,0,2,1676,0.2630772237757083,0.2503761053085327,0.2097616009414196,0.30334335565567017
minigpt4_7b,gated,raw,visual_prompt_sum,0,3,1676,0.2857799246053707,0.2781156450510025,0.23064684122800827,0.3285527899861336
minigpt4_7b,gated,raw,visual_prompt_sum,0,4,1676,0.5787343326572614,0.762449324131012,0.1182281393557787,0.8097347319126129
minigpt4_7b,gated,raw,visual_prompt_sum,0,5,1676,0.5775778084350994,0.7804177403450012,0.07186607643961906,0.8131319135427475
minigpt4_7b,gated,raw,visual_prompt_sum,0,6,1676,0.5981267025985428,0.8088452517986298,0.0862259641289711,0.8361234813928604
minigpt4_7b,gated,raw,visual_prompt_sum,0,7,1676,0.5629691507390574,0.7501852512359619,0.093521473929286,0.7898357212543488
minigpt4_7b,gated,raw,visual_prompt_sum,0,8,1676,0.5598557030299772,0.753140389919281,0.080211715772748,0.7875672429800034
minigpt4_7b,gated,raw,visual_prompt_sum,0,9,1676,0.5163076880192362,0.6897868812084198,0.09892670437693596,0.718747541308403
minigpt4_7b,gated,raw,visual_prompt_sum,0,10,1676,0.5272496412197007,0.6864926517009735,0.14874561876058578,0.7286940068006516
minigpt4_7b,gated,raw,visual_prompt_sum,0,11,1676,0.4988853419988654,0.6443212628364563,0.1376560628414154,0.6872600466012955
minigpt4_7b,gated,raw,visual_prompt_sum,0,12,1676,0.44633054702269326,0.5754434466362,0.10647532157599926,0.6250286996364594
minigpt4_7b,gated,raw,visual_prompt_sum,0,13,1676,0.4819640576148179,0.5904024243354797,0.2057715356349945,0.6533265560865402
minigpt4_7b,gated,raw,visual_prompt_sum,0,14,1676,0.5318292468004951,0.6629222929477692,0.1907714381814003,0.7406893670558929
minigpt4_7b,gated,raw,visual_prompt_sum,0,15,1676,0.48579727958438823,0.6110297441482544,0.1532575711607933,0.6767668128013611
minigpt4_7b,gated,raw,visual_prompt_sum,0,16,1676,0.4973793285987773,0.6167823374271393,0.23766590654850006,0.6698859333992004
minigpt4_7b,gated,raw,visual_prompt_sum,0,17,1676,0.48608714109286666,0.6216812431812286,0.17763914167881012,0.6777120232582092
minigpt4_7b,gated,raw,visual_prompt_sum,0,18,1676,0.5209927790901604,0.6688486337661743,0.21468351408839226,0.7159175276756287
minigpt4_7b,gated,raw,visual_prompt_sum,0,19,1676,0.574931898339916,0.7513948380947113,0.23407338559627533,0.8078911155462265
minigpt4_7b,gated,raw,visual_prompt_sum,0,20,1676,0.5464342658853643,0.6935294568538666,0.26994143426418304,0.7515335232019424
minigpt4_7b,gated,raw,visual_prompt_sum,0,21,1676,0.5304422283824088,0.703134298324585,0.23730412870645523,0.7517805248498917
minigpt4_7b,gated,raw,visual_prompt_sum,0,22,1676,0.573619102791334,0.7508882880210876,0.2738296389579773,0.8144518882036209
minigpt4_7b,gated,raw,visual_prompt_sum,0,23,1676,0.5888519822180867,0.7771584689617157,0.2524385526776314,0.8629352301359177
minigpt4_7b,gated,raw,visual_prompt_sum,0,24,1676,0.5664241916760091,0.7052544951438904,0.29462936520576477,0.7912432998418808
minigpt4_7b,gated,raw,visual_prompt_sum,0,25,1676,0.5878216356143515,0.7454250156879425,0.29093045741319656,0.8453880697488785
minigpt4_7b,gated,raw,visual_prompt_sum,0,26,1676,0.551781974432252,0.6863638758659363,0.261153869330883,0.820395290851593
minigpt4_7b,gated,raw,visual_prompt_sum,0,27,1676,0.564712107176548,0.6981431543827057,0.2622166574001312,0.8441233187913895
minigpt4_7b,gated,raw,visual_prompt_sum,0,28,1676,0.5787546500865912,0.694666177034378,0.27968059480190277,0.8710905611515045
minigpt4_7b,gated,raw,visual_prompt_sum,0,29,1676,0.5558872502352731,0.6497229337692261,0.29375283420085907,0.8103928118944168
minigpt4_7b,gated,raw,visual_prompt_sum,0,30,1676,0.5229638508428778,0.5942398905754089,0.2797001749277115,0.7727687805891037
minigpt4_7b,gated,raw,visual_prompt_sum,0,31,1676,0.4937006713375716,0.5405225157737732,0.27761755138635635,0.7229888439178467
minigpt4_7b,gated,raw,visual_prompt_sum,0,32,1676,0.263613099476816,0.2602662444114685,0.20586857199668884,0.31479233503341675
minigpt4_7b,gated,raw,visual_prompt_sum,1,1,9281,0.3321506020740155,0.35192933678627014,0.2597309947013855,0.41154682636260986
