model,scope,label,layer,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,validation,HALL,28,98,0,10.542783031033416,4.931068968431175,7.266337842107111,12.123491195000469
qwen2_5_vl_7b,test,REAL,1,763,0,7.66963284301714,2.0630354404245947,4.522378652384787,12.717554859817028
qwen2_5_vl_7b,test,REAL,2,763,0,0.7158623571202977,0.18294178981235937,0.39575912774755406,1.1126570574939252
qwen2_5_vl_7b,test,REAL,3,763,0,0.4808941232517809,0.14915850855177268,0.31053198961650624,0.7606607872460569
qwen2_5_vl_7b,test,REAL,4,763,0,0.804330118740837,0.190814216071786,0.41096456680032944,1.2964492607861757
qwen2_5_vl_7b,test,REAL,5,763,0,0.5460522840637229,0.18739758536648765,0.34037341829389334,0.7648108127216497
qwen2_5_vl_7b,test,REAL,6,763,0,0.7073470596904614,0.25570223528041464,0.4590127464722503,1.0841170860720533
qwen2_5_vl_7b,test,REAL,7,763,0,1.2579814066648305,0.37821252549670537,0.7969613596796989,2.0923143410020404
qwen2_5_vl_7b,test,REAL,8,763,0,1.2050019409182189,0.4468127775572888,0.828389410674572,1.8342306792736052
qwen2_5_vl_7b,test,REAL,9,763,0,1.2403732076053295,0.45586805804163033,0.8639232804998755,1.751156585291028
qwen2_5_vl_7b,test,REAL,10,763,0,1.45590865045473,0.6031642140448094,1.1469137419177138,2.311964851404939
qwen2_5_vl_7b,test,REAL,11,763,0,1.2426097175594564,0.4279710769537534,0.8832073804329742,2.036186348824274
qwen2_5_vl_7b,test,REAL,12,763,0,0.9836215222804318,0.43224432582412764,0.8171845238123622,1.4662493417660394
qwen2_5_vl_7b,test,REAL,13,763,0,1.2399234126425147,0.5160880783911456,1.0000023948401213,1.9866184301674366
qwen2_5_vl_7b,test,REAL,14,763,0,1.0965589872086987,0.48399192925519596,0.9333781144366815,1.6891475211490286
qwen2_5_vl_7b,test,REAL,15,763,0,1.1524661698825092,0.42072531042174166,0.8658106348970357,1.8325057278076806
qwen2_5_vl_7b,test,REAL,16,763,0,1.4792601123437026,0.5496144060353637,1.1312451590425694,2.450930131599307
qwen2_5_vl_7b,test,REAL,17,763,0,0.9690425503059069,0.4499194535994089,0.8449188684639724,1.3847297646105288
qwen2_5_vl_7b,test,REAL,18,763,0,1.7346714786672361,0.6051054610900188,1.2336832067618768,2.6499453517297904
qwen2_5_vl_7b,test,REAL,19,763,0,2.5456256622959046,0.8114348797207934,1.725874681464013,3.8989300198853014
qwen2_5_vl_7b,test,REAL,20,763,0,3.1625429745424958,0.9695736101033056,2.1903173474594952,4.940803490579128
qwen2_5_vl_7b,test,REAL,21,763,0,2.263127879396373,0.811783223346408,1.739729375243187,3.3597489423824083
qwen2_5_vl_7b,test,REAL,22,763,0,2.2806143706814006,0.8254929533818873,1.8639663511514664,3.718289849658807
qwen2_5_vl_7b,test,REAL,23,763,0,1.119419513509604,0.5395206737761887,1.0274693009515221,1.4535961516201497
qwen2_5_vl_7b,test,REAL,24,763,0,2.9758661172783043,0.8786486025977258,2.078223711086644,4.365842990080516
qwen2_5_vl_7b,test,REAL,25,763,0,2.7525850835402337,0.8841065982171032,1.8744602046906949,4.260536351374217
qwen2_5_vl_7b,test,REAL,26,763,0,2.7308312049760315,0.98142887185404,2.09276875803868,4.146839579774274
qwen2_5_vl_7b,test,REAL,27,763,0,2.920532775047231,1.108917684531714,2.26402516849339,4.53931704312563
qwen2_5_vl_7b,test,REAL,28,763,0,22.08731419694363,6.848186786458469,14.412795805931092,36.181378698349
qwen2_5_vl_7b,test,HALL,1,85,0,3.255699016104587,1.3673959843814374,2.00097002312541,3.2660853765904903
qwen2_5_vl_7b,test,HALL,2,85,0,0.30348423557930265,0.11094404848676825,0.17162736540596032,0.2820260839208084
qwen2_5_vl_7b,test,HALL,3,85,0,0.23533615728257581,0.10152061828722557,0.14402158304663568,0.26266267391688686
qwen2_5_vl_7b,test,HALL,4,85,0,0.341525648398709,0.11964726675874912,0.20489699859172106,0.3356154054039862
qwen2_5_vl_7b,test,HALL,5,85,0,0.26857447208419144,0.12810142653950946,0.20488910696336202,0.30325117943294605
qwen2_5_vl_7b,test,HALL,6,85,0,0.3304869465800224,0.16621512925308762,0.23405214776950223,0.3860734641784802
qwen2_5_vl_7b,test,HALL,7,85,0,0.5767061971699976,0.24857597234932816,0.3706640940261622,0.6344176647918565
qwen2_5_vl_7b,test,HALL,8,85,0,0.679745491703712,0.33664663192139915,0.46342439646522204,0.8199592682067305
qwen2_5_vl_7b,test,HALL,9,85,0,0.6617383935591414,0.30498954333985845,0.47859653992687956,0.7889216063776985
qwen2_5_vl_7b,test,HALL,10,85,0,0.8344237019014618,0.42583461123562993,0.5524002980706947,1.0262867545380312
qwen2_5_vl_7b,test,HALL,11,85,0,0.623502111554372,0.2682116776268231,0.4063407408360105,0.7284991309485015
qwen2_5_vl_7b,test,HALL,12,85,0,0.5816607865774577,0.3088936576885836,0.411623740974333,0.6913413936272264
qwen2_5_vl_7b,test,HALL,13,85,0,0.6931873034490582,0.3575170438352236,0.4763805337393513,0.8334467058831995
qwen2_5_vl_7b,test,HALL,14,85,0,0.6350587227934429,0.3302948031621643,0.4808841948211193,0.7809744084253907
qwen2_5_vl_7b,test,HALL,15,85,0,0.5789488752303704,0.2812611073302105,0.3728347272246278,0.672173929711183
qwen2_5_vl_7b,test,HALL,16,85,0,0.7481569585589841,0.3696025204174986,0.5169415117886204,0.878548900322879
qwen2_5_vl_7b,test,HALL,17,85,0,0.5657158838024542,0.27075525455395966,0.4176665793817777,0.6922520381797638
qwen2_5_vl_7b,test,HALL,18,85,0,0.8073699637930657,0.3491225184726657,0.5424684943969954,0.943736635203309
qwen2_5_vl_7b,test,HALL,19,85,0,1.1264321848511454,0.4981546866227732,0.7339704771272161,1.1539405274259693
qwen2_5_vl_7b,test,HALL,20,85,0,1.3764331793039706,0.6170301038173982,0.8272905231267214,1.4512660833489563
qwen2_5_vl_7b,test,HALL,21,85,0,1.1392748244063138,0.5077499330890449,0.7159632672125903,1.2469561982692943
qwen2_5_vl_7b,test,HALL,22,85,0,1.1760282787888376,0.5201405000810821,0.7519805710409966,1.4120010268977947
qwen2_5_vl_7b,test,HALL,23,85,0,0.6179893500171916,0.36167964947409925,0.4861938091209875,0.7676478809573584
qwen2_5_vl_7b,test,HALL,24,85,0,1.3122050834361576,0.5233535888046026,0.8195878745189735,1.3560995148385273
qwen2_5_vl_7b,test,HALL,25,85,0,1.2668569745000344,0.5468364420705116,0.7985454739607645,1.4169143143702636
qwen2_5_vl_7b,test,HALL,26,85,0,1.3696771586870664,0.6365021325151126,0.8927491539433389,1.4710541870445013
qwen2_5_vl_7b,test,HALL,27,85,0,1.4880712402722918,0.6975854021399769,0.948948557936139,1.5658853148213692
qwen2_5_vl_7b,test,HALL,28,85,0,9.562534563879622,4.3661327213048935,6.226774776726961,10.424708201803945
