model,scope,label,layer,n_mentions,mean,median,q25,q75,source
qwen2_5_vl_7b,test,REAL,6,763,0.5316401374371305,0.5128059983253479,0.4415780156850815,0.6159632205963135,a_m
qwen2_5_vl_7b,test,REAL,7,763,0.6114233889632894,0.6028029918670654,0.5567817687988281,0.6522824466228485,a_m
qwen2_5_vl_7b,test,REAL,8,763,0.6563481891217738,0.6724331974983215,0.5658718347549438,0.7511047720909119,a_m
qwen2_5_vl_7b,test,REAL,9,763,0.6104927924638651,0.613568127155304,0.5108596682548523,0.7114519774913788,a_m
qwen2_5_vl_7b,test,REAL,10,763,0.5984266244099619,0.6060296297073364,0.46070823073387146,0.7215866446495056,a_m
qwen2_5_vl_7b,test,REAL,11,763,0.5815023943527967,0.5695135593414307,0.5066123902797699,0.6493352651596069,a_m
qwen2_5_vl_7b,test,REAL,12,763,0.7502504847699661,0.7769657373428345,0.6306878328323364,0.8757512271404266,a_m
qwen2_5_vl_7b,test,REAL,13,763,0.6227227417388406,0.616762101650238,0.5496855676174164,0.6864423751831055,a_m
qwen2_5_vl_7b,test,REAL,14,763,0.5641233503896631,0.5483422875404358,0.49896158277988434,0.6106692254543304,a_m
qwen2_5_vl_7b,test,REAL,15,763,0.5886959390199669,0.5791008472442627,0.5276741087436676,0.6333105862140656,a_m
qwen2_5_vl_7b,test,REAL,16,763,0.5936401700442303,0.5846356749534607,0.5414789915084839,0.6383621692657471,a_m
qwen2_5_vl_7b,test,REAL,17,763,0.6216306949661725,0.5975484848022461,0.507312536239624,0.7154988646507263,a_m
qwen2_5_vl_7b,test,REAL,18,763,0.6116921810694478,0.595274806022644,0.5368230044841766,0.6737940907478333,a_m
qwen2_5_vl_7b,test,REAL,19,763,0.5427514573615313,0.5384555459022522,0.518130898475647,0.5625250339508057,a_m
qwen2_5_vl_7b,test,REAL,20,763,0.5690987139823084,0.5585015416145325,0.5265432596206665,0.6054440438747406,a_m
qwen2_5_vl_7b,test,REAL,21,763,0.6250762184825512,0.5973307490348816,0.4952877163887024,0.7477399706840515,a_m
qwen2_5_vl_7b,test,REAL,22,763,0.6363248940689067,0.6129878163337708,0.4980039745569229,0.7695629596710205,a_m
qwen2_5_vl_7b,test,REAL,23,763,0.6272651160607019,0.6148051619529724,0.5357840061187744,0.7104438543319702,a_m
qwen2_5_vl_7b,test,REAL,24,763,0.7311126678830518,0.7387088537216187,0.6477768123149872,0.8177068531513214,a_m
qwen2_5_vl_7b,test,REAL,25,763,0.6722461401556923,0.6747218370437622,0.6176421642303467,0.7276623547077179,a_m
qwen2_5_vl_7b,test,REAL,26,763,0.7760814596675483,0.7938987016677856,0.6748090982437134,0.8796944320201874,a_m
qwen2_5_vl_7b,test,REAL,27,763,0.679054900710892,0.6864644885063171,0.6531125009059906,0.7093442380428314,a_m
qwen2_5_vl_7b,test,REAL,28,763,0.7397823255621434,0.7483287453651428,0.6855926811695099,0.8039004802703857,a_m
qwen2_5_vl_7b,test,HALL,1,85,0.666481766280006,0.6784783005714417,0.6510094404220581,0.6932280659675598,a_m
qwen2_5_vl_7b,test,HALL,2,85,0.35342020602787244,0.35401245951652527,0.3442758321762085,0.3611900210380554,a_m
qwen2_5_vl_7b,test,HALL,3,85,0.41539093080688927,0.4156641960144043,0.40112587809562683,0.42888370156288147,a_m
qwen2_5_vl_7b,test,HALL,4,85,0.3566466257852666,0.3576955795288086,0.34178024530410767,0.36898598074913025,a_m
qwen2_5_vl_7b,test,HALL,5,85,0.5764759295126971,0.5630759000778198,0.5242536067962646,0.6162523031234741,a_m
qwen2_5_vl_7b,test,HALL,6,85,0.6196537610362558,0.6410993933677673,0.5544650554656982,0.6880993247032166,a_m
qwen2_5_vl_7b,test,HALL,7,85,0.6528238079127143,0.6495251059532166,0.6248482465744019,0.6826386451721191,a_m
qwen2_5_vl_7b,test,HALL,8,85,0.7531865179538727,0.756503701210022,0.7025220990180969,0.8270037174224854,a_m
qwen2_5_vl_7b,test,HALL,9,85,0.7132258969194749,0.728073239326477,0.6589343547821045,0.7782968878746033,a_m
qwen2_5_vl_7b,test,HALL,10,85,0.6781440570073969,0.6899648904800415,0.6005833148956299,0.7621271014213562,a_m
qwen2_5_vl_7b,test,HALL,11,85,0.6570612048401552,0.6542794108390808,0.6019733548164368,0.7112596035003662,a_m
qwen2_5_vl_7b,test,HALL,12,85,0.8598578537211699,0.8880346417427063,0.8401426672935486,0.9251524209976196,a_m
qwen2_5_vl_7b,test,HALL,13,85,0.7097750267561744,0.7123783826828003,0.6444611549377441,0.7912449836730957,a_m
qwen2_5_vl_7b,test,HALL,14,85,0.6331037332029904,0.6334412097930908,0.5906272530555725,0.6760062575340271,a_m
qwen2_5_vl_7b,test,HALL,15,85,0.6636965863844928,0.6562463641166687,0.6153436899185181,0.7216746807098389,a_m
qwen2_5_vl_7b,test,HALL,16,85,0.6634873379679287,0.6710996031761169,0.6220502257347107,0.7121425867080688,a_m
qwen2_5_vl_7b,test,HALL,17,85,0.7909187316894531,0.8175223469734192,0.7462297081947327,0.8672036528587341,a_m
qwen2_5_vl_7b,test,HALL,18,85,0.7132337920805987,0.7259908318519592,0.639034628868103,0.7908671498298645,a_m
qwen2_5_vl_7b,test,HALL,19,85,0.5705882444101221,0.5647279024124146,0.5444472432136536,0.589635968208313,a_m
qwen2_5_vl_7b,test,HALL,20,85,0.6241174676839043,0.6287388801574707,0.5926928520202637,0.6567730903625488,a_m
qwen2_5_vl_7b,test,HALL,21,85,0.770030640854555,0.8067000508308411,0.6738256216049194,0.8518463373184204,a_m
qwen2_5_vl_7b,test,HALL,22,85,0.7969101369380951,0.8378527760505676,0.7338748574256897,0.883930504322052,a_m
qwen2_5_vl_7b,test,HALL,23,85,0.7507977345410515,0.7727813124656677,0.6700602173805237,0.828109622001648,a_m
qwen2_5_vl_7b,test,HALL,24,85,0.8379336013513453,0.8629330396652222,0.7908179759979248,0.9043664932250977,a_m
qwen2_5_vl_7b,test,HALL,25,85,0.7383870696320253,0.7520360946655273,0.6996274590492249,0.7872734665870667,a_m
qwen2_5_vl_7b,test,HALL,26,85,0.8807687766411725,0.9018663763999939,0.8464964628219604,0.937965452671051,a_m
