model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
llava_1_5_7b,train,amp_median,REAL,19,9539,9539,0,0.4272224541071407,0.4098625581517069,0.42541355086323773,0.44270531739196267
llava_1_5_7b,train,amp_median,REAL,20,9539,9539,0,0.34600241759014483,0.3277179833253383,0.34216335308102996,0.36065226330562394
llava_1_5_7b,train,amp_median,REAL,21,9539,9539,0,0.3628739692229271,0.34256292833437196,0.3601563317379377,0.38158025355390446
llava_1_5_7b,train,amp_median,REAL,22,9539,9539,0,0.28714980408084173,0.2699361557746457,0.2841294942008006,0.3029807768101227
llava_1_5_7b,train,amp_median,REAL,23,9539,9539,0,0.2575594445213362,0.24420834989890441,0.257048570737083,0.27040519335193985
llava_1_5_7b,train,amp_median,REAL,24,9539,9539,0,0.25228744497095495,0.23519098576658054,0.25050734529574037,0.2675445204449255
llava_1_5_7b,train,amp_median,REAL,25,9539,9539,0,0.2356611832376108,0.22094704162725592,0.23497292554949376,0.2495554774998263
llava_1_5_7b,train,amp_median,REAL,26,9539,9539,0,0.24989510632875656,0.23424497378431738,0.24768697108266197,0.26337110809416475
llava_1_5_7b,train,amp_median,REAL,27,9539,9539,0,0.2277864737623366,0.21429665777113494,0.22623632154733886,0.23884435407816446
llava_1_5_7b,train,amp_median,REAL,28,9539,9539,0,0.23246956239799424,0.21817000631971906,0.23032097840369753,0.24412031242981083
llava_1_5_7b,train,amp_median,REAL,29,9539,9539,0,0.23006532108736294,0.21434563099740014,0.22728681145142443,0.24313089726742707
llava_1_5_7b,train,amp_median,REAL,30,9539,9539,0,0.2191770654655173,0.20761306584836758,0.2177549663727742,0.22857651415656127
llava_1_5_7b,train,amp_median,REAL,31,9539,9539,0,0.3421051161261306,0.31702473640112316,0.3371502525715148,0.3612228993295481
llava_1_5_7b,train,amp_median,REAL,32,9539,9539,0,1.6091591469389748,1.479410235931486,1.6211242910390817,1.751727060252551
llava_1_5_7b,train,amp_median,HALL,1,2778,2778,0,1.3633119811771461,1.022538301170763,1.4111435105142185,1.5893417691484912
llava_1_5_7b,train,amp_median,HALL,2,2778,2778,0,0.8359499874302025,0.7207553957670574,0.8034665830378214,0.9317606333554842
llava_1_5_7b,train,amp_median,HALL,3,2778,2778,0,0.5492072646775512,0.5136821257518653,0.5465229220895178,0.5769785667150076
llava_1_5_7b,train,amp_median,HALL,4,2778,2778,0,0.7269864889855403,0.6822316436573053,0.7228712622332832,0.763535687503182
llava_1_5_7b,train,amp_median,HALL,5,2778,2778,0,0.7193915857293748,0.6901094736306901,0.7228380967137086,0.7482560773289276
llava_1_5_7b,train,amp_median,HALL,6,2778,2778,0,0.7145306102984657,0.6780926830111131,0.7189624395483861,0.7554320957564773
llava_1_5_7b,train,amp_median,HALL,7,2778,2778,0,0.6664141804301538,0.6339053454072383,0.6627967625566837,0.6965328251466771
llava_1_5_7b,train,amp_median,HALL,8,2778,2778,0,0.7163412111733533,0.6787957407773566,0.7215163216723866,0.7561599944244517
llava_1_5_7b,train,amp_median,HALL,9,2778,2778,0,0.6199751955955679,0.6006051312756251,0.6211768158915484,0.6395313422530385
llava_1_5_7b,train,amp_median,HALL,10,2778,2778,0,0.6161573236896126,0.595613500811177,0.6173317465788448,0.6386336085561879
llava_1_5_7b,train,amp_median,HALL,11,2778,2778,0,0.6198003104534723,0.6037264345989024,0.6218276528312535,0.6387141547055759
llava_1_5_7b,train,amp_median,HALL,12,2778,2778,0,0.5797861109261773,0.5584112780304968,0.581250595727191,0.6043345153013213
llava_1_5_7b,train,amp_median,HALL,13,2778,2778,0,0.5692156287714567,0.5481331425428471,0.5736238644674927,0.5953169958570909
llava_1_5_7b,train,amp_median,HALL,14,2778,2778,0,0.5147777432704107,0.4967295521989574,0.5159549497412912,0.5346182500250739
llava_1_5_7b,train,amp_median,HALL,15,2778,2778,0,0.47578464205772125,0.4606078559525377,0.4754901318721823,0.49090607800583924
llava_1_5_7b,train,amp_median,HALL,16,2778,2778,0,0.46392852657627737,0.44835567689483247,0.46404345433357563,0.4797449666734563
llava_1_5_7b,train,amp_median,HALL,17,2778,2778,0,0.44657830060459147,0.43010917043988617,0.44263097595114875,0.45982297607152967
llava_1_5_7b,train,amp_median,HALL,18,2778,2778,0,0.3957511007319743,0.3803359107654436,0.39374270618194523,0.4081974984202785
llava_1_5_7b,train,amp_median,HALL,19,2778,2778,0,0.422061090863176,0.4062401849034245,0.41999142281640667,0.435358321093798
llava_1_5_7b,train,amp_median,HALL,20,2778,2778,0,0.33772291340669286,0.32125165616853746,0.3337216824569491,0.35042724121145535
llava_1_5_7b,train,amp_median,HALL,21,2778,2778,0,0.35756079119052997,0.34159402201051337,0.35433371152658455,0.3695753457018845
llava_1_5_7b,train,amp_median,HALL,22,2778,2778,0,0.28618488904718437,0.27401415112031946,0.2836839260550975,0.29547354272995374
llava_1_5_7b,train,amp_median,HALL,23,2778,2778,0,0.25678097495227886,0.24672475936399066,0.25487058912230387,0.265850697115651
