feature,display,seed,input_dimensions,auroc,accuracy,real_f1,hall_f1,hall_aupr,best_epoch
old_risk_ev_union_r,Original risk + EV + Union R,43,96,0.8563066767781422,0.8467030659386813,0.9109104222601904,0.45112781954887216,0.5214764074856536,92
old_risk_ev_union_r,Original risk + EV + Union R,44,96,0.862702006985463,0.8605627887442251,0.9201923076923076,0.4485049833887043,0.532732716295955,97
old_risk_ev_union_r,Original risk + EV + Union R,45,96,0.8600617636691839,0.863922721545569,0.9217769193626267,0.4774193548387097,0.5448163025334662,80
old_risk_ev_union_s,Original risk + EV + Union S,43,96,0.8678603281244994,0.8685426291474171,0.924304715840387,0.5007974481658692,0.5562729002587672,100
old_risk_ev_union_s,Original risk + EV + Union S,44,96,0.8674958343569422,0.8567828643427131,0.9164420485175202,0.49926578560939794,0.5502802674929514,100
old_risk_ev_union_s,Original risk + EV + Union S,45,96,0.8644590538649691,0.8605627887442251,0.9189848706686189,0.5,0.5503142081805749,100
old_risk_ev_union_i_r_s,Original risk + EV + Union I + R + S,43,160,0.8649437104130395,0.8567828643427131,0.9168900804289544,0.48254931714719274,0.5403954150069866,98
old_risk_ev_union_i_r_s,Original risk + EV + Union I + R + S,44,160,0.8704478333315532,0.8563628727425452,0.916217540421362,0.4970588235294118,0.5538092650196753,100
old_risk_ev_union_i_r_s,Original risk + EV + Union I + R + S,45,160,0.865667357380131,0.8538429231415372,0.9146640510053948,0.49122807017543857,0.5429474616097882,96
jffn_risk_ev,P_JFFN risk + EV,43,64,0.8387922839473205,0.8458630827383452,0.9101151114376684,0.45949926362297494,0.4788237272283414,100
jffn_risk_ev,P_JFFN risk + EV,44,64,0.8383069598282473,0.8492230155396892,0.9118585808986005,0.47895500725689405,0.4849729894988875,100
jffn_risk_ev,P_JFFN risk + EV,45,64,0.8444766510366043,0.8530029399412011,0.9139203148057059,0.49712643678160917,0.4875089783432979,100
jffn_risk_ev_union_i,P_JFFN risk + EV + Union I,43,96,0.8487437648868333,0.8517429651406971,0.9150421179302046,0.4184514003294893,0.5111548777902967,98
jffn_risk_ev_union_i,P_JFFN risk + EV + Union I,44,96,0.8478692468730975,0.8601427971440572,0.9201630304483337,0.4365482233502538,0.5180986732696259,94
jffn_risk_ev_union_i,P_JFFN risk + EV + Union I,45,96,0.8414445435416511,0.8538429231415372,0.9169847328244275,0.3894736842105263,0.49699752617978815,85
jffn_risk_ev_union_r,P_JFFN risk + EV + Union R,43,96,0.8566191000074768,0.8559428811423772,0.9181579575280363,0.39929947460595444,0.5193000036439184,98
jffn_risk_ev_union_r,P_JFFN risk + EV + Union R,44,96,0.8601765858816743,0.8567828643427131,0.9169305724725944,0.4809741248097412,0.5191071516854564,97
jffn_risk_ev_union_r,P_JFFN risk + EV + Union R,45,96,0.8534634918769961,0.8504829903401931,0.9122287968441815,0.49575070821529743,0.5187713049123764,99
jffn_risk_ev_union_s,P_JFFN risk + EV + Union S,43,96,0.8483405520011108,0.8517429651406971,0.9129040217123119,0.5021156558533145,0.512723617568712,99
jffn_risk_ev_union_s,P_JFFN risk + EV + Union S,44,96,0.8551831547803426,0.8525829483410332,0.9139494974258396,0.486090775988287,0.511212285361406,97
jffn_risk_ev_union_s,P_JFFN risk + EV + Union S,45,96,0.8538173045085076,0.8521629567408652,0.914396887159533,0.4584615384615385,0.5017519745836014,97
jffn_risk_ev_union_i_r_s,P_JFFN risk + EV + Union I + R + S,43,160,0.8618375025367698,0.8580428391432171,0.9177615571776155,0.4815950920245399,0.532363602017101,99
jffn_risk_ev_union_i_r_s,P_JFFN risk + EV + Union I + R + S,44,160,0.86398641359495,0.8567828643427131,0.9164829782023022,0.49779086892488955,0.5371283195073832,100
jffn_risk_ev_union_i_r_s,P_JFFN risk + EV + Union I + R + S,45,160,0.8618034564156243,0.8546829063418732,0.9159786304031083,0.46273291925465837,0.5273532585324825,99
