feature,label,layer,n,mean,std,ci95_low,ci95_high
N,HALL,12,3487,0.2811766200831653,0.11170365127471274,0.27746898086896743,0.28488425929736316
N,REAL,13,11976,0.20749209765310642,0.08310586640638463,0.20600365584840394,0.2089805394578089
N,HALL,13,3487,0.15587297670387218,0.07380296569491895,0.15342332741656617,0.1583226259911782
N,REAL,14,11976,0.18377750139228088,0.06468913697779127,0.1826189066991333,0.18493609608542846
N,HALL,14,3487,0.19088516504657893,0.06045133939330199,0.18887867954742382,0.19289165054573404
N,REAL,15,11976,0.3872514243680006,0.1316732168955357,0.3848931321190684,0.3896097166169328
N,HALL,15,3487,0.34370638309289675,0.14549027370341558,0.33887730689071827,0.34853545929507523
N,REAL,16,11976,0.24787586403055067,0.07437325837440856,0.24654382488935347,0.24920790317174787
N,HALL,16,3487,0.21062601557691082,0.07602174074890261,0.2081027212717047,0.21314930988211694
N,REAL,17,11976,0.28277535939311677,0.11912123002281452,0.28064187560598525,0.2849088431802483
N,HALL,17,3487,0.18400408941766305,0.07917461186440444,0.18137614581539502,0.1866320330199311
N,REAL,18,11976,0.36966384677981623,0.10915163406679132,0.36770892034415226,0.3716187732154802
N,HALL,18,3487,0.34403801591682814,0.1068813854369006,0.3404904361251964,0.34758559570845987
N,REAL,19,11976,0.3647769041351337,0.12408325479448287,0.3625545495447065,0.3669992587255609
N,HALL,19,3487,0.32641818305060316,0.09150815519734921,0.3233808676114309,0.3294554984897754
N,REAL,20,11976,0.4167644516816867,0.11635130212988737,0.4146805778276456,0.41884832553572776
N,HALL,20,3487,0.4063234034127652,0.1056543115499817,0.40281655234584335,0.409830254479687
N,REAL,21,11976,0.5187846621692569,0.13790505021549648,0.5163147566054714,0.5212545677330424
N,HALL,21,3487,0.5566619696933696,0.1404660518270239,0.5519996561872818,0.5613242831994574
N,REAL,22,11976,0.3853333719964677,0.1238943700170975,0.3831144003681717,0.38755234362476376
N,HALL,22,3487,0.4616063080892578,0.13712680092373614,0.45705483015079723,0.46615778602771835
N,REAL,23,11976,0.3983217005757273,0.13089433039929121,0.3959773583314369,0.4006660428200177
N,HALL,23,3487,0.48565549454922863,0.13935942167329865,0.4810299120300579,0.49028107706839935
N,REAL,24,11976,0.23240017488072506,0.08831779725887623,0.2308183864074958,0.23398196335395433
N,HALL,24,3487,0.2887548979266021,0.09249494830879622,0.2856848291011748,0.29182496675202935
N,REAL,25,11976,0.4670819548539116,0.13208130888451347,0.4647163536001783,0.4694475561076448
N,HALL,25,3487,0.5350174604799435,0.13764581995050937,0.5304487553938059,0.5395861655660811
N,REAL,26,11976,0.2739013271286845,0.106357252750608,0.2719964485915521,0.2758062056658169
N,HALL,26,3487,0.31108522206835465,0.10708250615911488,0.307530966728807,0.3146394774079023
N,REAL,27,11976,0.41139596659048105,0.10400515115209956,0.40953321463838427,0.41325871854257784
N,HALL,27,3487,0.45552830493164703,0.09816753763650307,0.4522699529624063,0.45878665690088777
N,REAL,28,11976,0.061514488634614194,0.04586644249215334,0.060693011964068844,0.062335965305159544
N,HALL,28,3487,0.051458348706257796,0.03270629566725629,0.050372769649680266,0.05254392776283533
N,REAL,29,11976,0.26953708163432094,0.13136781674844025,0.2671842591598554,0.2718899041087865
N,HALL,29,3487,0.2606541899970089,0.09732957289178452,0.2574236515406854,0.2638847284533324
N,REAL,30,11976,0.29956272432833175,0.08316640688513406,0.2980731982321906,0.3010522504244729
N,HALL,30,3487,0.2986638046991254,0.07301547137746876,0.29624029372313704,0.30108731567511376
N,REAL,31,11976,0.14285711287573707,0.05008696844473324,0.14196004578616,0.14375417996531414
N,HALL,31,3487,0.12519859690737306,0.037772309488157865,0.12394486800710018,0.12645232580764595
N,REAL,32,11976,0.9947322483635498,0.23246365396356672,0.9905687803005216,0.9988957164265779
N,HALL,32,3487,0.9565265278505807,0.22302332588676818,0.9491239942780205,0.9639290614231408
S,REAL,1,11976,1.2911951375469495,0.23284985942503258,1.2870247524709726,1.2953655226229264
S,HALL,1,3487,1.178917844623011,0.1982846154816148,1.1723364320412166,1.1854992572048055
S,REAL,2,11976,0.8539635465644007,0.13954385125881033,0.8514642897635974,0.8564628033652039
S,HALL,2,3487,0.8470593980263256,0.14015188816840435,0.8424075121605796,0.8517112838920715
S,REAL,3,11976,0.5092050432586519,0.061501311331420346,0.5081035431264942,0.5103065433908096
S,HALL,3,3487,0.5150165511880114,0.05240347800263702,0.5132771882595328,0.5167559141164899
S,REAL,4,11976,0.7114813815735146,0.08483972691884101,0.709961885998701,0.7130008771483282
S,HALL,4,3487,0.6704621243723012,0.06649542670022396,0.6682550250627877,0.6726692236818148
S,REAL,5,11976,0.7375004068141431,0.09336092873896089,0.7358282949011116,0.7391725187271746
S,HALL,5,3487,0.691197787395753,0.06395248451266497,0.6890750927772807,0.6933204820142252
S,REAL,6,11976,0.7819251450265179,0.10986599038943994,0.779957424333841,0.7838928657191948
S,HALL,6,3487,0.720324387702827,0.08969288717112416,0.7173473241788026,0.7233014512268514
S,REAL,7,11976,0.7880444522715642,0.091830745806869,0.78639974622461,0.7896891583185184
S,HALL,7,3487,0.7267701187976835,0.08639409274353045,0.7239025480202234,0.7296376895751436
S,REAL,8,11976,0.8015518930822153,0.08798043948826448,0.7999761467505415,0.8031276394138891
S,HALL,8,3487,0.7971727585498535,0.07970412456714991,0.7945272394964815,0.7998182776032254
S,REAL,9,11976,0.7054188961565057,0.05682308032743578,0.7044011840275238,0.7064366082854875
S,HALL,9,3487,0.7091993784918155,0.05125477719902814,0.7074981429485767,0.7109006140350542
S,REAL,10,11976,0.7139458093361689,0.0651560255953017,0.7127788525794693,0.7151127660928686
S,HALL,10,3487,0.6858529684056106,0.050029811243745975,0.6841923916211504,0.6875135451900708
S,REAL,11,11976,0.7478900868482963,0.06718321131787844,0.7466868228114267,0.7490933508851658
S,HALL,11,3487,0.7286568714959046,0.051772288547242085,0.7269384588474724,0.7303752841443368
S,REAL,12,11976,0.7159806891663638,0.11175322992623499,0.7139791676562053,0.7179822106765223
S,HALL,12,3487,0.6914237311090137,0.12858516179310578,0.6871557650865278,0.6956916971314996
S,REAL,13,11976,0.6772849197607081,0.09305657239631934,0.6756182589274079,0.6789515805940084
S,HALL,13,3487,0.659253862292506,0.07664715457689912,0.6567098094104108,0.6617979151746013
S,REAL,14,11976,0.5825000377241261,0.07678808157598266,0.5811247486421051,0.5838753268061471
S,HALL,14,3487,0.5810851966510846,0.06566959195368945,0.5789055082386702,0.583264885063499
S,REAL,15,11976,0.5882272753334475,0.08636476612002567,0.5866804660177514,0.5897740846491437
S,HALL,15,3487,0.5673944217737541,0.11929653202171484,0.5634347615908138,0.5713540819566943
S,REAL,16,11976,0.4735420200881674,0.05871262823903419,0.47249046579827414,0.4745935743780607
S,HALL,16,3487,0.45061293814426373,0.040421543252266656,0.4492712765499446,0.4519545997385829
S,REAL,17,11976,0.5762418995355676,0.0733742449928042,0.5749277529132134,0.5775560461579218
S,HALL,17,3487,0.5433587036964919,0.05575877321815517,0.5415079726616506,0.5452094347313331
S,REAL,18,11976,0.4796308922514807,0.05970034410752579,0.47856164778334365,0.48070013671961775
S,HALL,18,3487,0.4865729521552984,0.04987957307261386,0.4849173620380456,0.4882285422725512
S,REAL,19,11976,0.4989767720724992,0.08140176711548996,0.49751885100879384,0.5004346931362046
S,HALL,19,3487,0.44689041208598684,0.05510737278128182,0.4450613021689545,0.4487195220030192
S,REAL,20,11976,0.3462157142370362,0.039148603898812334,0.3455145553278228,0.3469168731462495
S,HALL,20,3487,0.344814124714518,0.03595281756794325,0.3436207879278092,0.3460074615012268
S,REAL,21,11976,0.426306568840164,0.07703792207756925,0.42492680506744845,0.4276863326128795
S,HALL,21,3487,0.422872439364427,0.053303688333042165,0.4211031968833649,0.42464168184548906
S,REAL,22,11976,0.31128048504476913,0.045471266256761865,0.3104660860554323,0.31209488403410596
S,HALL,22,3487,0.3040544916214627,0.03572696413258951,0.3028686513046009,0.3052403319383245
S,REAL,23,11976,0.29332858096228376,0.08106064876383025,0.2918767693928526,0.2947803925317149
S,HALL,23,3487,0.2739973182036537,0.04881035945860706,0.27237721715303753,0.27561741925426986
S,REAL,24,11976,0.2638399327085487,0.04949680043651093,0.26295343563975626,0.2647264297773412
S,HALL,24,3487,0.2513915030934731,0.03992515086973549,0.2500663176290038,0.2527166885579424
S,REAL,25,11976,0.26821695043691096,0.07235520974367841,0.26692105492883844,0.2695128459449835
S,HALL,25,3487,0.26012421713232275,0.05844397885241211,0.25818435943426016,0.26206407483038535
S,REAL,26,11976,0.31009336440520996,0.1317846498581729,0.3077330763708154,0.31245365243960455
S,HALL,26,3487,0.28500959983109947,0.08589662720049365,0.28215854080356007,0.2878606588586389
S,REAL,27,11976,0.22849120800405162,0.06547514799344817,0.22731853570477042,0.22966388030333282
S,HALL,27,3487,0.2310084374057963,0.0576797293130787,0.22909394648428155,0.23292292832731104
S,REAL,28,11976,0.2639561793757584,0.05082122765018801,0.26304596156476845,0.2648663971867483
S,HALL,28,3487,0.27589255263257034,0.04504441193403095,0.2743974499554307,0.27738765530971
S,REAL,29,11976,0.22934207148133276,0.0840187283172105,0.22783728014694304,0.23084686281572248
S,HALL,29,3487,0.21084047783009124,0.030323128174363223,0.2098340002634813,0.21184695539670118
S,REAL,30,11976,0.2234917913694818,0.0510219812751316,0.22257797802305335,0.22440560471591026
S,HALL,30,3487,0.22337550464574196,0.037977545841783394,0.22211496359256094,0.22463604569892298
S,REAL,31,11976,0.40985881599536045,0.0811029176282115,0.408406247382564,0.4113113846081569
S,HALL,31,3487,0.44690333256791237,0.07146022169585226,0.4445314430442367,0.44927522209158804
S,REAL,32,11976,1.8666921443515565,0.2818368981886107,1.8616443921348804,1.8717398965682326
S,HALL,32,3487,1.9064247546477684,0.2561624695140366,1.8979222750391094,1.9149272342564274
