feature,label,layer,n,mean,std,ci95_low,ci95_high
I,REAL,11,11976,2.7256957221497533,1.2628454514238139,2.7030779209756934,2.748313523323813
I,HALL,11,3487,1.5135421318885827,0.8986245715975503,1.4837152134085145,1.5433690503686508
I,REAL,12,11976,4.175336720607304,1.6078008889102193,4.146540702225286,4.204132738989323
I,HALL,12,3487,3.599672694567934,1.355543918225734,3.5546798252173963,3.6446655639184713
I,REAL,13,11976,3.127304225812903,1.4229701291308468,3.101818561339059,3.1527898902867473
I,HALL,13,3487,2.094299898175445,1.0995698288210647,2.0578032557688357,2.1307965405820544
I,REAL,14,11976,2.967485090309559,1.1993640611001504,2.946004252857366,2.9889659277617517
I,HALL,14,3487,2.76433470171743,1.0749554645477877,2.7286550530363676,2.800014350398492
I,REAL,15,11976,6.29881083758258,2.5180377542169268,6.253712304575676,6.343909370589484
I,HALL,15,3487,5.022886702468753,2.239575528668528,4.948551280497377,5.09722212444013
I,REAL,16,11976,4.500876155784559,1.7032247214572684,4.470371078491665,4.531381233077454
I,HALL,16,3487,3.492298498625806,1.5871842913112628,3.4396170808612943,3.5449799163903175
I,REAL,17,11976,4.782185338804611,2.5273768736510247,4.736919540400138,4.827451137209084
I,HALL,17,3487,2.726052175261826,1.3365641733146563,2.681689276782471,2.770415073741181
I,REAL,18,11976,6.635319097031035,2.5430010111754737,6.5897734673648305,6.680864726697239
I,HALL,18,3487,5.470423626453582,2.1261716371814274,5.399852277637577,5.540994975269586
I,REAL,19,11976,6.475339206631134,2.656638330895573,6.427758311049782,6.5229201022124865
I,HALL,19,3487,5.431831433800732,1.9769419386225588,5.366213279226687,5.497449588374777
I,REAL,20,11976,8.787249950583808,3.6705769789267904,8.72150922181146,8.852990679356157
I,HALL,20,3487,7.694979831674634,2.9068066755020907,7.598497842991213,7.791461820358055
I,REAL,21,11976,9.931868445695581,3.765354649394833,9.864430230897552,9.99930666049361
I,HALL,21,3487,9.567528071326924,3.2386128033013764,9.460032857946718,9.67502328470713
I,REAL,22,11976,8.41390893195489,3.7440174819367233,8.346852869866552,8.480964994043227
I,HALL,22,3487,9.194201049206077,3.5007662597551827,9.078004504900749,9.310397593511405
I,REAL,23,11976,8.70126834935798,3.5439336190042523,8.637795827143696,8.764740871572263
I,HALL,23,3487,9.938896704222639,3.504346138269027,9.822581337499168,10.05521207094611
I,REAL,24,11976,5.262247453006352,2.450936555623814,5.218350715172887,5.306144190839817
I,HALL,24,3487,6.083518060651248,2.40238288247027,6.003778778354566,6.16325734294793
I,REAL,25,11976,10.377732210605341,3.8321735305417635,10.309097256992795,10.446367164217888
I,HALL,25,3487,11.081568357371518,3.8170529949938232,10.954873704104493,11.208263010638543
I,REAL,26,11976,5.907457097989066,2.690722314623163,5.85926575180483,5.955648444173302
I,HALL,26,3487,6.306117322901651,2.604177807510593,6.219680114720115,6.392554531083187
I,REAL,27,11976,9.606221228579162,3.616387558603603,9.541451042586395,9.67099141457193
I,HALL,27,3487,9.695290961134287,3.217627588110833,9.588492283685278,9.802089638583295
I,REAL,28,11976,1.4010554844875613,1.2533473901688588,1.3786077953891807,1.423503173585942
I,HALL,28,3487,1.00771817578639,0.6994390527092418,0.984502572445112,1.030933779127668
I,REAL,29,11976,6.438593676566341,3.7153109699134554,6.372051753544357,6.505135599588325
I,HALL,29,3487,5.854368779894818,2.8502992210580826,5.759762372283281,5.948975187506355
I,REAL,30,11976,7.01624740622863,2.8533091251044693,6.96514409948038,7.0673507129768804
I,HALL,30,3487,6.358033630989464,2.2996877153768542,6.281702980588689,6.4343642813902395
I,REAL,31,11976,2.832434265033834,1.6027247188162552,2.803729161819449,2.861139368248219
I,HALL,31,3487,2.069118505772732,0.9648889620080119,2.037092156480984,2.1011448550644802
I,REAL,32,11976,7.612016644789206,2.008226528409774,7.576048927377045,7.647984362201367
I,HALL,32,3487,6.097191879870319,1.1298897953887186,6.059688864836347,6.134694894904292
R,REAL,1,11976,0.7018967911740422,0.2194811477080997,0.6979658422564852,0.7058277400915993
R,HALL,1,3487,0.5200455780609788,0.15435145626325644,0.5149223837385051,0.5251687723834526
R,REAL,2,11976,0.40960874462608465,0.0884189193844602,0.40802514503643716,0.41119234421573214
R,HALL,2,3487,0.33238911300957424,0.05601919241762095,0.3305297382068252,0.3342484878123233
R,REAL,3,11976,0.26539773996682986,0.06044904184316019,0.2643150861804702,0.2664803937531895
R,HALL,3,3487,0.2534400803831029,0.04854644482618781,0.25182873911991704,0.25505142164628875
R,REAL,4,11976,0.34380134321878614,0.17159127289591283,0.34072811102779405,0.34687457540977823
R,HALL,4,3487,0.23164838953101263,0.08528176022561733,0.22881773901189306,0.2344790400501322
R,REAL,5,11976,0.4026816814755878,0.2416497372498926,0.3983536889213765,0.4070096740297991
R,HALL,5,3487,0.26316282395428353,0.12583619002154026,0.25898610110444836,0.2673395468041187
R,REAL,6,11976,0.5936988816256265,0.41845526433069485,0.5862042686005731,0.6011934946506798
R,HALL,6,3487,0.3173183706314748,0.22801026263503507,0.30975031192132424,0.3248864293416253
R,REAL,7,11976,1.1623240953563907,0.8851298135136126,1.1464712527835232,1.1781769379292582
R,HALL,7,3487,0.4678238736679775,0.42804220580998065,0.4536164055191535,0.4820313418168015
R,REAL,8,11976,1.047534035724067,0.7247522249423376,1.034553586132455,1.060514485315679
R,HALL,8,3487,0.4709634806716172,0.3601141090889619,0.4590106646516595,0.4829162966915749
R,REAL,9,11976,1.0944208701582265,0.7654463984668951,1.080711580212727,1.1081301601037261
R,HALL,9,3487,0.5185014057721796,0.3943971473554792,0.5054106758558696,0.5315921356884896
R,REAL,10,11976,1.4127525422104952,0.8151458785785365,1.398153125164841,1.4273519592561494
R,HALL,10,3487,0.7044532362500951,0.47388179300022815,0.6887242721690456,0.7201822003311447
R,REAL,11,11976,2.0689743916910333,1.022328783572613,2.05066428958369,2.0872844937983763
R,HALL,11,3487,1.1104296492981576,0.676468251774515,1.0879764869456496,1.1328828116506655
R,REAL,12,11976,3.0803046739991795,1.496991824402384,3.053493266945884,3.107116081052475
R,HALL,12,3487,2.5817931967920718,1.332019806797684,2.5375811337716274,2.626005259812516
R,REAL,13,11976,2.1629335041174698,1.1015363804436777,2.1432047789509987,2.182662229283941
R,HALL,13,3487,1.415035228386782,0.8209676856501148,1.3877858775359322,1.4422845792376318
R,REAL,14,11976,1.7451424088177279,0.7949645858312117,1.730904442546814,1.7593803750886416
R,HALL,14,3487,1.603814782019772,0.6408783674520038,1.5825429100658956,1.6250866539736482
R,REAL,15,11976,3.774469084142469,1.7248215990362978,3.7435772026824354,3.8053609656025023
R,HALL,15,3487,2.9790421784936885,1.781293058558043,2.9199179518410965,3.0381664051462804
R,REAL,16,11976,2.142674689551936,0.885347773989878,2.126817943265664,2.1585314358382077
R,HALL,16,3487,1.569090535147914,0.7260671505955519,1.544991098746605,1.5931899715492233
R,REAL,17,11976,2.820089546995923,1.6199979173832326,2.7910750775242597,2.8491040164675865
R,HALL,17,3487,1.4935607538011821,0.7929748875356036,1.4672405327936286,1.5198809748087356
R,REAL,18,11976,3.1960140300470448,1.321332203197739,3.1723487200733547,3.219679340020735
R,HALL,18,3487,2.669769769779652,1.088618828758681,2.633636610184953,2.7059029293743513
R,REAL,19,11976,3.3212235056444923,1.6497255037099254,3.2916766094723457,3.350770401816639
R,HALL,19,3487,2.4356301406845513,0.9798950481616698,2.403105713193568,2.468154568175535
R,REAL,20,11976,3.016289651500896,1.2856234351283073,2.99326389232533,3.039315410676462
R,HALL,20,3487,2.617183868616503,0.9771335240327692,2.584751100932826,2.64961663630018
R,REAL,21,11976,4.2403450541710885,1.8057585526629083,4.208003576544955,4.2726865317972225
R,HALL,21,3487,4.020259499105437,1.3889695655088379,3.9741571741622446,4.06636182404863
R,REAL,22,11976,2.6114905966867603,1.1938327663994412,2.590108825770092,2.6328723676034285
R,HALL,22,3487,2.775273761754481,1.0897129090049267,2.7391042877262057,2.8114432357827566
R,REAL,23,11976,2.5829540404970786,1.420511428727226,2.5575124118130557,2.6083956691811014
R,HALL,23,3487,2.70835720250719,1.0956617463178313,2.6719902761821586,2.7447241288322215
R,REAL,24,11976,1.3868668745436725,0.7349739802564327,1.3737033513787398,1.4000303977086053
R,HALL,24,3487,1.5167568876724,0.683524172706239,1.494069526984921,1.5394442483598791
R,REAL,25,11976,2.823657151939983,1.436635998246884,2.79792672916243,2.8493875747175363
R,HALL,25,3487,2.8913617225159265,1.2314447227418868,2.850487922133822,2.932235522898031
R,REAL,26,11976,1.8432292497667697,1.389037192454586,1.8183513306145167,1.8681071689190227
R,HALL,26,3487,1.7805204551259939,1.0561433329815273,1.7454652139365558,1.815575696315432
R,REAL,27,11976,2.2333483195234693,1.217550245335403,2.2115417640677917,2.255154874979147
R,HALL,27,3487,2.2629528381282973,1.1088942712686956,2.2261467011968907,2.299758975059704
R,REAL,28,11976,0.36211282852290566,0.48444179098988466,0.3534363843098303,0.370789272735981
R,HALL,28,3487,0.276685024351779,0.2841286251154676,0.2672542992113493,0.2861157494922087
R,REAL,29,11976,1.5584382995584845,1.6763199041905952,1.5284150926376736,1.5884615064792953
R,HALL,29,3487,1.2170526415947212,0.6740703489834594,1.1946790698224539,1.2394262133669884
R,REAL,30,11976,1.5999976451208213,0.900448022296428,1.5838704505279169,1.6161248397137258
R,HALL,30,3487,1.4356649278620097,0.6594678911701856,1.4137760371596477,1.4575538185643717
R,REAL,31,11976,1.0660530943112447,0.430603836827425,1.0583408980522573,1.0737652905702322
R,HALL,31,3487,0.8740004570206564,0.260401024642593,0.8653572923669981,0.8826436216743148
R,REAL,32,11976,14.16452554391875,4.697970791542277,14.08038399740976,14.24866709042774
R,HALL,32,3487,11.503899449566424,2.1450379692840498,11.432701894248362,11.575097004884485
