model,feature,feature_dim,group,seed,threshold_rule,threshold,optimization_images,config,auc,accuracy,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,45,train_f1,0.6620529890060425,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8637160586593854,0.8943418013856813,0.9811097599297032,0.9263420724094882,0.9580374435119432,0.9419231989844494,0.4319592778515044,0.5,0.3551912568306011,0.41533546325878595
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,ensemble,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8718686831271365,0.9030023094688222,0.98244670281373,0.9142171565686863,0.9838605551969012,0.9477611940298507,0.4514231875119909,0.6153846153846154,0.2185792349726776,0.3225806451612903
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,ensemble,train_f1,0.6512660384178162,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8718686831271365,0.901270207852194,0.98244670281373,0.9279503105590062,0.9644932214331827,0.9458689458689459,0.4514231875119909,0.5491803278688525,0.366120218579235,0.43934426229508194
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,43,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8582268835525828,0.9006928406466512,0.9800113235775145,0.9140108238123873,0.9812782440284055,0.9464508094645081,0.4243034860639283,0.5797101449275363,0.2185792349726776,0.31746031746031744
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,43,train_f1,0.5680365562438965,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8582268835525828,0.8954965357967667,0.9800113235775145,0.9211822660098522,0.9657843770174306,0.9429561928774031,0.4243034860639283,0.5092592592592593,0.3005464480874317,0.37800687285223367
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,44,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8580751904101711,0.8926096997690531,0.9803023031332789,0.9112854556427278,0.9748224661071659,0.941983780411728,0.39780007923735433,0.48,0.19672131147540983,0.27906976744186046
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,44,train_f1,0.6048252582550049,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8580751904101711,0.8937644341801386,0.9803023031332789,0.9236499068901304,0.960619754680439,0.9417721518987342,0.39780007923735433,0.49586776859504134,0.32786885245901637,0.39473684210526316
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,45,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8587207682022953,0.898960739030023,0.9805612333811594,0.9118705035971223,0.9819238218205294,0.9456014920733603,0.4297149261743508,0.5625,0.19672131147540983,0.291497975708502
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,45,train_f1,0.6264933347702026,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8587207682022953,0.8943418013856813,0.9805612333811594,0.9205665024630542,0.9651387992253067,0.9423258745666562,0.4297149261743508,0.5,0.29508196721311475,0.3711340206185567
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,ensemble,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8649719367686538,0.9035796766743649,0.9813468712748501,0.9137724550898204,0.9851517107811492,0.9481205343274309,0.4371549882194351,0.6290322580645161,0.21311475409836064,0.3183673469387755
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch3,ensemble,train_f1,0.632436990737915,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8649719367686538,0.8966512702078522,0.9813468712748501,0.924937965260546,0.9625564880568108,0.9433723505219868,0.4371549882194351,0.5166666666666667,0.33879781420765026,0.40924092409240925
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,43,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8703129464805427,0.9001154734411085,0.9821782995306098,0.9174757281553398,0.9761136216914138,0.9458867688457929,0.4596230234946786,0.5595238095238095,0.2568306010928962,0.352059925093633
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,43,train_f1,0.6283076405525208,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8703129464805427,0.8954965357967667,0.9821782995306098,0.9269662921348315,0.9586830213040671,0.9425579181212314,0.4596230234946786,0.5076923076923077,0.36065573770491804,0.4217252396166134
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,44,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8704452370117156,0.9018475750577367,0.9819737559496401,0.917625681405209,0.9780503550677857,0.946875,0.45261624526928634,0.5802469135802469,0.2568306010928962,0.3560606060606061
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,44,train_f1,0.6077711582183838,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8704452370117156,0.8972286374133949,0.9819737559496401,0.926571250777847,0.961265332472563,0.9435994930291508,0.45261624526928634,0.52,0.3551912568306011,0.42207792207792205
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,45,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8626736092737427,0.9006928406466512,0.980248588061357,0.9145093317278747,0.9806326662362814,0.946417445482866,0.433415929207932,0.5774647887323944,0.22404371584699453,0.3228346456692913
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,45,train_f1,0.6641311049461365,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8626736092737427,0.8960739030023095,0.980248588061357,0.925419515226849,0.961265332472563,0.9430018999366688,0.433415929207932,0.5121951219512195,0.3442622950819672,0.4117647058823529
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,ensemble,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8750736417290195,0.9035796766743649,0.9825777920173576,0.9157641395908543,0.9825693996126533,0.9479912799750856,0.46010367759283416,0.6142857142857143,0.23497267759562843,0.33992094861660077
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch4,ensemble,train_f1,0.6738163828849792,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8750736417290195,0.8995381062355658,0.9825777920173576,0.9332073093887838,0.9561007101355713,0.9445153061224489,0.46010367759283416,0.5310344827586206,0.4207650273224044,0.4695121951219512
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,43,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8626930118849812,0.898960739030023,0.9808217145334424,0.9168689320388349,0.9754680438992899,0.945261182358461,0.4296291263906885,0.5476190476190477,0.25136612021857924,0.3445692883895131
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,43,train_f1,0.5728548765182495,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8626930118849812,0.8960739030023095,0.9808217145334424,0.922791846819024,0.9644932214331827,0.9431818181818182,0.4296291263906885,0.5132743362831859,0.31693989071038253,0.3918918918918919
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,44,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8561807900037748,0.894919168591224,0.9800027475371962,0.9080597014925373,0.9819238218205294,0.9435483870967742,0.3895584268501608,0.5087719298245614,0.15846994535519127,0.24166666666666667
