model,head_id,roles,seed,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,batch_norm,standardize,parameter_count,best_epoch,epochs_run,validation_auc,validation_hall_aupr,fit_seconds,peak_cuda_allocated_bytes,max_checkpoint_error
qwen2_5_vl_7b,be3f6ce21ba2fd1821c5,stage2_arch1/grid,43,[128],0.2,0.001,0.0,128,False,True,7425,45,60,0.8543968195892333,0.4935747081128983,3.8419500589370728,18397184,0.0
qwen2_5_vl_7b,bec9edb5ff9d6233f6cb,stage2_arch4/grid,43,"[256, 128]",0.3,0.0001,0.0,128,False,True,47617,136,150,0.8601525767115733,0.520118130453355,10.341569042066112,19302400,0.0
qwen2_5_vl_7b,bfdf6f91aacc288c6218,stage2_arch1/grid,43,[128],0.3,0.0003,1e-05,128,False,True,7425,108,123,0.8557183501619149,0.4869583675160917,7.64690304081887,18397184,0.0
qwen2_5_vl_7b,c06423975f772ed6231d,final/tuned_arch4;stage2_arch4/selected,45,"[256, 128]",0.3,0.001,0.0001,128,False,True,47617,39,54,0.8721774127489474,0.5148053092538604,3.7802766170352697,19302400,0.0
qwen2_5_vl_7b,c16061fa8f6d923cba54,stage2_arch1/grid,43,[128],0.0,0.003,0.0001,128,False,True,7425,14,29,0.8503940017802437,0.4789490599344321,1.841591333039105,18397184,0.0
qwen2_5_vl_7b,c2fcbb21820d69ea0261,stage2_arch4/grid,43,"[256, 128]",0.2,0.001,1e-05,128,False,True,47617,14,29,0.8600652027894125,0.5107307947254136,2.0018395059742033,19302400,0.0
qwen2_5_vl_7b,c5d53698328e3abe1571,final/fixed_arch2;stage1,43,[256],0.1,0.001,1e-05,128,False,True,14849,37,52,0.8495803321301216,0.47543099715022635,3.5845865169540048,18647040,0.0
qwen2_5_vl_7b,c61207370cb3759e2842,stage2_arch4/grid,43,"[256, 128]",0.1,0.001,0.0,128,False,True,47617,14,29,0.860698663725078,0.5112617805832208,2.130232488969341,19302400,0.0
qwen2_5_vl_7b,c6ee9b179d35b21c37a1,stage2_arch1/grid,43,[128],0.1,0.003,0.0,128,False,True,7425,17,32,0.8539271847576193,0.4817936880672975,1.9991878508590162,18397184,0.0
qwen2_5_vl_7b,ca77cc1cc89049c7141b,stage2_arch4/grid,43,"[256, 128]",0.1,0.003,1e-05,128,False,True,47617,8,23,0.8579463851770142,0.5081218499573468,1.6346298770513386,19302400,0.0
qwen2_5_vl_7b,cab496743c835bfd9e25,stage2_arch4/grid,43,"[256, 128]",0.1,0.0001,0.0001,128,False,True,47617,147,150,0.8586535678595026,0.507379722675162,10.29546113498509,19302400,0.0
qwen2_5_vl_7b,cb78189a88aa4bf3aa93,stage2_arch1/grid,43,[128],0.2,0.0003,1e-05,128,False,True,7425,108,123,0.8525373933082496,0.48009984906477154,7.641241994919255,18397184,0.0
qwen2_5_vl_7b,ceec39324258c870a82a,final/fixed_arch5,44,"[128, 64, 32]",0.1,0.001,1e-05,128,False,True,17665,13,28,0.8475052014788036,0.4690327862179158,2.1251154190395027,18630656,0.0
qwen2_5_vl_7b,cf010dbc1de360296050,stage2_arch4/grid,43,"[256, 128]",0.0,0.001,0.0001,128,False,True,47617,10,25,0.8549101413819278,0.49621191149762095,1.9216473437845707,19302400,0.0
qwen2_5_vl_7b,cf16ccff2316888881b9,stage2_arch4/grid,43,"[256, 128]",0.3,0.003,0.0001,128,False,True,47617,10,25,0.8620311160380294,0.5021986611248979,1.7534756809473038,19302400,0.0
qwen2_5_vl_7b,cf2ad525e619480414a1,stage2_arch1/grid,43,[128],0.2,0.0001,0.0001,128,False,True,7425,149,150,0.8488431146618903,0.47582834511013583,9.773716198047623,18397184,0.0
qwen2_5_vl_7b,d3259982d11964b47f1c,stage2_arch4/grid,43,"[256, 128]",0.1,0.0001,0.0,128,False,True,47617,147,150,0.8586535678595026,0.507379722675162,10.334525702986866,19302400,0.0
qwen2_5_vl_7b,d42ad9ebb0318bbe406f,stage2_arch1/grid,43,[128],0.3,0.0003,0.0001,128,False,True,7425,117,132,0.8555709066682686,0.4910843043736756,8.189169631805271,18397184,0.0
qwen2_5_vl_7b,d7a9bb9cd9e7a24013e7,stage2_arch4/grid,43,"[256, 128]",0.0,0.003,1e-05,128,False,True,47617,5,20,0.8492253755713436,0.4850815381988888,1.6108505711890757,19302400,0.0
qwen2_5_vl_7b,dab4e6733d04b0f46169,final/matched_BN_on,44,"[256, 128]",0.3,0.001,0.0001,128,True,True,48385,24,39,0.8624297595578879,0.5096223882026222,3.2065254049375653,19318784,0.0
qwen2_5_vl_7b,db60f9614151b55e3cb5,stage2_arch4/batch_sweep,43,"[256, 128]",0.3,0.001,0.0001,256,False,True,47617,33,48,0.8633744900912511,0.5191074665082834,2.4618589931633323,19441664,0.0
qwen2_5_vl_7b,db83457efba38a4c4510,stage2_arch1/grid,43,[128],0.1,0.0003,1e-05,128,False,True,7425,63,78,0.8488103494410799,0.4739173970642371,4.861774899996817,18397184,0.0
qwen2_5_vl_7b,dc0e5795e71d08a311c5,final/matched_scaler_off,44,"[256, 128]",0.3,0.001,0.0001,128,False,False,47617,130,145,0.8462983491789582,0.4423808067176058,10.001642744988203,19302400,0.0
qwen2_5_vl_7b,dd49c55e224750f8e680,stage2_arch1/grid,43,[128],0.1,0.0001,0.0,128,False,True,7425,147,150,0.8478929232583919,0.47153962385463577,9.33257919899188,18397184,0.0
qwen2_5_vl_7b,de07d049c686878f5cc5,stage2_arch1/grid,43,[128],0.2,0.001,1e-05,128,False,True,7425,45,60,0.8543968195892333,0.4935747081128983,3.7616561541799456,18397184,0.0
qwen2_5_vl_7b,defc506dabc6d6ed4278,stage2_arch1/grid,43,[128],0.0,0.0003,0.0,128,False,True,7425,59,74,0.8478710797778518,0.465222250576781,4.651184533955529,18397184,0.0
qwen2_5_vl_7b,dfa74838e677f4f193c0,stage2_arch4/grid,43,"[256, 128]",0.0,0.0003,0.0001,128,False,True,47617,35,50,0.8501482626241665,0.48313600189496103,3.347417686134577,19302400,0.0
qwen2_5_vl_7b,e2c9b7baded63fe0b11f,stage2_arch4/batch_sweep,43,"[256, 128]",0.3,0.001,0.0001,64,False,True,47617,23,38,0.8627628726361257,0.5032817126707665,4.351193391019478,19302400,0.0
qwen2_5_vl_7b,e4cad54910218b4c8b63,stage2_arch4/grid,43,"[256, 128]",0.1,0.0003,1e-05,128,False,True,47617,46,61,0.8584651678398436,0.5068520119904406,4.247395538026467,19302400,0.0
