signal,split,layer,label,n,mean,median,p10,p90
Q_positive,test,18,REAL,2437,3.212921380996704,3.1843321323394775,1.3534927368164062,4.990179061889648
Q_positive,test,19,REAL,2437,3.1514859199523926,3.123870372772217,1.0267847776412964,5.053563117980957
Q_positive,test,20,REAL,2437,3.0548994541168213,3.1719679832458496,1.0713517665863037,4.6438093185424805
Q_positive,test,21,REAL,2437,4.25289249420166,4.371680736541748,1.654921531677246,6.373532295227051
Q_positive,test,22,REAL,2437,2.6775295734405518,2.7555923461914062,0.8680998086929321,4.21137809753418
Q_positive,test,23,REAL,2437,2.5761661529541016,2.590786933898926,0.9322332143783569,3.9657981395721436
Q_positive,test,24,REAL,2437,1.3775634765625,1.3628520965576172,0.47483029961586,2.1885712146759033
Q_positive,test,25,REAL,2437,2.8188042640686035,2.7570390701293945,1.1836577653884888,4.250486373901367
Q_positive,test,26,REAL,2437,1.8670789003372192,1.6850218772888184,0.6587045192718506,2.8986268043518066
Q_positive,test,27,REAL,2437,2.2497239112854004,2.224029302597046,0.9655227661132812,3.3432321548461914
Q_positive,test,28,REAL,2437,0.36953139305114746,0.2719407379627228,0.1792227327823639,0.5472160577774048
Q_positive,test,29,REAL,2437,1.5035289525985718,1.2417035102844238,0.48017340898513794,2.5869500637054443
Q_positive,test,30,REAL,2437,1.6190687417984009,1.4567062854766846,0.7202646136283875,2.606306791305542
Q_positive,test,31,REAL,2437,1.0730255842208862,0.981971025466919,0.625546395778656,1.6245614290237427
Q_positive,test,32,REAL,2437,14.415048599243164,13.36676025390625,10.471344947814941,18.813451766967773
Q_negative,train,1,HALL,2778,0.00010662814747774974,0.0,0.0,4.1560586396371946e-05
Q_negative,train,2,HALL,2778,0.003435780294239521,0.002475130371749401,0.0003585049416869879,0.007570249494165182
Q_negative,train,3,HALL,2778,0.00023615785175934434,0.0,0.0,0.00043904175981879234
Q_negative,train,4,HALL,2778,8.216098649427295e-06,0.0,0.0,3.884482069338446e-08
Q_negative,train,5,HALL,2778,2.0024561308673583e-05,0.0,0.0,7.910118711151881e-07
Q_negative,train,6,HALL,2778,0.00021987908985465765,0.0,0.0,0.0001012610227917321
Q_negative,train,7,HALL,2778,0.00020973061327822506,7.078718226694036e-06,0.0,0.00040574654121883214
Q_negative,train,8,HALL,2778,0.0003794782387558371,0.0,0.0,0.0005109396297484636
Q_negative,train,9,HALL,2778,0.0012380975531414151,1.4610111065849196e-05,0.0,0.0032441371586173773
Q_negative,train,10,HALL,2778,0.001009213156066835,0.00011228620132897049,0.0,0.0033156441058963537
Q_negative,train,11,HALL,2778,0.006688420660793781,0.005918760783970356,3.1411720556207e-05,0.014183097518980503
Q_negative,train,12,HALL,2778,0.024980882182717323,0.009579535573720932,0.0009954818524420261,0.06233403459191322
Q_negative,train,13,HALL,2778,0.006695110350847244,0.0032303922343999147,0.00011324466322548687,0.01623431034386158
Q_negative,train,14,HALL,2778,0.005507857073098421,0.004020368214696646,8.975953824119642e-05,0.012553269043564796
Q_negative,train,15,HALL,2778,0.00907039549201727,0.006876032799482346,0.001682176487520337,0.01698226109147072
Q_negative,train,16,HALL,2778,0.008899492211639881,0.0039033214561641216,8.872601756593212e-05,0.02450733073055744
Q_negative,train,17,HALL,2778,0.019998429343104362,0.01922406442463398,0.00628379313275218,0.03449321910738945
Q_negative,train,18,HALL,2778,0.005669791717082262,0.004402718506753445,0.00024058976850938052,0.011391016654670238
Q_negative,train,19,HALL,2778,0.012114337645471096,0.011486904695630074,0.004514362663030624,0.020362377166748047
Q_negative,train,20,HALL,2778,0.0009837595280259848,0.0001532075257273391,0.0,0.0021915424149483442
Q_negative,train,21,HALL,2778,0.006702666636556387,0.0033636903390288353,3.3587868529139087e-05,0.01568971388041973
Q_negative,train,22,HALL,2778,0.00363610265776515,0.0009395388187840581,0.0,0.006894504185765982
Q_negative,train,23,HALL,2778,0.013175258412957191,0.005840509198606014,7.935825851745903e-05,0.03185689449310303
Q_negative,train,24,HALL,2778,0.0021746938582509756,0.0001488198759034276,0.0,0.002453663619235158
Q_negative,train,25,HALL,2778,0.013432428240776062,0.004832044243812561,0.00010153846233151853,0.03104860894382
Q_negative,train,26,HALL,2778,0.008374867960810661,0.0011541069252416492,0.0,0.01313530933111906
Q_negative,train,27,HALL,2778,0.01575828343629837,0.00022029384854249656,0.0,0.04207903891801834
Q_negative,train,28,HALL,2778,0.000211161925108172,0.0,0.0,2.415270864730701e-05
Q_negative,train,29,HALL,2778,0.0010911254212260246,0.00010036872117780149,0.0,0.0024660169146955013
Q_negative,train,30,HALL,2778,0.002783189993351698,0.000109787069959566,0.0,0.004634127952158451
Q_negative,train,31,HALL,2778,2.3067619622452185e-05,0.0,0.0,0.0
Q_negative,train,32,HALL,2778,0.13672791421413422,0.10815130174160004,0.025735443457961082,0.28184473514556885
Q_negative,train,1,REAL,9539,0.00021078957070130855,0.0,0.0,0.00023850893194321543
Q_negative,train,2,REAL,9539,0.005266063846647739,0.0039819953963160515,0.0005635613924823701,0.010981239378452301
Q_negative,train,3,REAL,9539,0.00012531166430562735,0.0,0.0,0.00019331456860527396
Q_negative,train,4,REAL,9539,1.944433279277291e-05,0.0,0.0,4.5823467189620715e-06
Q_negative,train,5,REAL,9539,0.00011568135232664645,0.0,0.0,4.476810499909334e-05
Q_negative,train,6,REAL,9539,0.001021185889840126,2.2577432901016437e-06,0.0,0.003497297875583172
Q_negative,train,7,REAL,9539,0.0009045018814504147,4.292787707527168e-05,0.0,0.0026210895739495754
Q_negative,train,8,REAL,9539,0.001788732479326427,4.5125765609554946e-05,0.0,0.005218593869358301
Q_negative,train,9,REAL,9539,0.0049095251597464085,0.000726989412214607,0.0,0.008788613602519035
Q_negative,train,10,REAL,9539,0.002215418964624405,0.0007083008531481028,0.0,0.00645383819937706
Q_negative,train,11,REAL,9539,0.006648292299360037,0.005489017814397812,0.00014625299081671983,0.014328673481941223
Q_negative,train,12,REAL,9539,0.03754478693008423,0.017891468480229378,0.0029252711683511734,0.09314781427383423
Q_negative,train,13,REAL,9539,0.009564892388880253,0.00384345231577754,0.00024314674374181777,0.02542516402900219
Q_negative,train,14,REAL,9539,0.0073958770371973515,0.004419357515871525,1.5266923583112657e-05,0.018065722659230232
Q_negative,train,15,REAL,9539,0.013004778884351254,0.009500324726104736,0.0022777793928980827,0.02611275389790535
Q_negative,train,16,REAL,9539,0.007854746654629707,0.004515096079558134,0.0002467634913045913,0.017644517123699188
Q_negative,train,17,REAL,9539,0.017710447311401367,0.01634991727769375,0.004304774571210146,0.03244196996092796
Q_negative,train,18,REAL,9539,0.009098551236093044,0.0057099852710962296,0.0003508753143250942,0.019654592499136925
Q_negative,train,19,REAL,9539,0.012205720879137516,0.010791637934744358,0.0036840063985437155,0.021256091073155403
Q_negative,train,20,REAL,9539,0.0023016424383968115,0.0003518651647027582,0.0,0.005029318854212761
Q_negative,train,21,REAL,9539,0.0120514752343297,0.004525132477283478,3.437763371039182e-05,0.02603384293615818
Q_negative,train,22,REAL,9539,0.005093561485409737,0.0015616894233971834,1.2653944395424332e-05,0.012327875010669231
Q_negative,train,23,REAL,9539,0.015605942346155643,0.005582999438047409,4.399817407829687e-05,0.038570720702409744
