model,source_mode,category,layer,n_pairs,n_images,pair_raw_cosine_mean,pair_raw_cosine_std,pair_raw_cosine_sem,pair_centered_cosine_mean,pair_centered_cosine_std,pair_centered_cosine_sem,pair_js_normalized_mean,pair_js_normalized_std,pair_js_normalized_sem,pair_total_variation_mean,pair_total_variation_std,pair_total_variation_sem,pair_topk_overlap_fraction_mean,pair_topk_overlap_fraction_std,pair_topk_overlap_fraction_sem,image_raw_cosine_mean,image_raw_cosine_std,image_raw_cosine_sem,image_centered_cosine_mean,image_centered_cosine_std,image_centered_cosine_sem,image_js_normalized_mean,image_js_normalized_std,image_js_normalized_sem,image_total_variation_mean,image_total_variation_std,image_total_variation_sem,image_topk_overlap_fraction_mean,image_topk_overlap_fraction_std,image_topk_overlap_fraction_sem,specificity_pair_js_mean,specificity_pair_js_std,specificity_pair_js_sem,specificity_uniform_js_mean,specificity_uniform_js_std,specificity_uniform_js_sem,specificity_ratio_mean,specificity_ratio_std,specificity_ratio_sem,specificity_random_overlap_mean,specificity_random_overlap_std,specificity_random_overlap_sem
internvl_2_5_8b,hpre_cos,real_real,5,11827,2917,0.89301706,0.09463803776,0.0008702187342,0.4465710983,0.3381583097,0.003109444185,0.03361547379,0.0264882677,0.0002435657726,0.1554057709,0.06336150633,0.0005826237645,0.3477028198,0.2476651608,0.002277338667,0.8871748534,0.08711654601,0.001612992818,0.4507624067,0.2885754714,0.005343074125,0.03553579464,0.02418080528,0.000447715928,0.1591855279,0.0561772416,0.001040140954,0.3561546808,0.2103373541,0.003894468469,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,6,11827,2917,0.9107842329,0.07386202965,0.0006791785149,0.4941153033,0.2974757532,0.002735358631,0.02880790443,0.02177878723,0.0002002610061,0.1462405421,0.05581633678,0.0005132441784,0.3779434768,0.2281343265,0.00209774811,0.907001059,0.06519944718,0.001207190194,0.4934853683,0.2515395291,0.004657340912,0.03011292548,0.01939338575,0.0003590752086,0.1489998114,0.0490818415,0.0009087671798,0.3839487817,0.1937907904,0.003588103149,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,7,11827,2917,0.9198626298,0.0581689085,0.0005348766217,0.4928162484,0.2718236061,0.002499481181,0.02707398611,0.01858687211,0.0001709106053,0.1447989025,0.04904913689,0.0004510182039,0.3953903145,0.2122864528,0.001952023231,0.9186412502,0.05011300402,0.0009278595086,0.5100148299,0.2269540382,0.004202132091,0.027764883,0.01609317042,0.0002979705865,0.1462661231,0.0424891873,0.0007867019193,0.4096504022,0.1840502038,0.003407752837,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,8,11827,2917,0.9394999232,0.04121355135,0.0003789681753,0.4931816919,0.2673689001,0.002458519125,0.0212710542,0.01357739548,0.0001248473044,0.1286221449,0.04089348039,0.0003760250485,0.34152786,0.1894211951,0.001741771877,0.9387288693,0.03472853104,0.0006430106991,0.5117775727,0.2184728563,0.00404510009,0.02157878853,0.01132301037,0.0002096494322,0.129214472,0.03478067621,0.0006439761848,0.3565694533,0.1623842603,0.00300660044,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,9,11827,2917,0.9375879054,0.03968624243,0.0003649242151,0.565172,0.2695380811,0.002478465248,0.02364767991,0.01553218882,0.0001428220831,0.137116394,0.04384606134,0.000403174716,0.4068286548,0.1900969601,0.001747985693,0.9365265394,0.03349587612,0.0006201876691,0.5895162246,0.2147837144,0.003976794358,0.0239740407,0.01276448923,0.0002363389091,0.1376369022,0.03634516264,0.0006729431893,0.4216072801,0.1636914254,0.003030803051,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,10,11827,2917,0.9530684128,0.03077667157,0.000282998642,0.5708292568,0.2535856201,0.002331778665,0.01767868716,0.01213745626,0.0001116067288,0.1197530839,0.03649095435,0.0003355427992,0.3968461994,0.1807151057,0.001661717363,0.9532561127,0.02636960528,0.000488242313,0.5932193035,0.2135881993,0.003954658986,0.01759201442,0.01034093028,0.0001914658816,0.1189324663,0.03112765624,0.0005763392634,0.4174997239,0.1566778166,0.002900943672,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,11,11827,2917,0.9416873685,0.04065301033,0.0003738138705,0.5560128896,0.3209408323,0.002951125482,0.02231386387,0.01599275439,0.0001470570905,0.1335153856,0.04529073403,0.0004164588168,0.4235224486,0.2064427551,0.001898289074,0.942871903,0.03243425239,0.0006005313407,0.6128573764,0.2527588877,0.004679917757,0.02175948181,0.01222612872,0.000226370979,0.1312720726,0.03642159535,0.0006743583671,0.465490255,0.1768801103,0.003274996089,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,12,11827,2917,0.955624063,0.03105710152,0.0002855772606,0.7285828814,0.2197135,0.002020316655,0.01708473223,0.01255145085,0.0001154135053,0.1172275522,0.03797585439,0.0003491967999,0.5273315296,0.177514864,0.001632290397,0.9575171018,0.02409971498,0.0004462145133,0.7593395004,0.1617139637,0.002994189669,0.01635916005,0.009735280403,0.0001802520657,0.1143950608,0.03032910912,0.0005615538887,0.5550513267,0.1434591563,0.00265619563,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,13,11827,2917,0.9466770917,0.04120994397,0.0003789350046,0.5163712824,0.3560608453,0.003274062157,0.02124275182,0.01745787277,0.0001605291942,0.1287780761,0.04643759152,0.0004270044378,0.3616777289,0.2058363914,0.001892713418,0.948187176,0.0326619369,0.0006047469977,0.5623312489,0.2845075455,0.005267755077,0.02065377655,0.01391144322,0.0002575751568,0.1266574843,0.03748465812,0.00069404134,0.391337417,0.1789231625,0.003312823904,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,14,11827,2917,0.9298464281,0.05817194237,0.0005349045188,0.33997573,0.4371225814,0.004019443645,0.02723306545,0.02399191466,0.0002206112267,0.144308196,0.05859884861,0.0005388300208,0.3258407669,0.2361197773,0.002171176185,0.9329520177,0.04546070183,0.0008417205332,0.4164944843,0.3506203009,0.006491855486,0.02622712276,0.01889024242,0.0003497593368,0.1409217657,0.04720547321,0.0008740255754,0.3700209416,0.2027726907,0.003754406123,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,15,11827,2917,0.9235204214,0.06014925938,0.0005530864079,0.5205180688,0.3680274632,0.003384097988,0.03000500554,0.02540844955,0.000233636594,0.1521148034,0.06079592795,0.0005590326756,0.4065327217,0.2358479653,0.00216867681,0.9239740482,0.0479834956,0.0008884309277,0.5733992878,0.2924066693,0.005414010071,0.02984029331,0.02025024575,0.0003749402664,0.1513155007,0.04905312446,0.000908235474,0.4453516653,0.2044825051,0.003786063925,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,16,11827,2917,0.9443259879,0.04607412338,0.0004236622638,0.6263808306,0.3509266819,0.003226852333,0.0224407068,0.02006085944,0.0001844642611,0.1308121996,0.05396535002,0.0004962239253,0.4653018517,0.2246292268,0.002065517904,0.9458862193,0.03654006711,0.0006765519125,0.675456416,0.2686543261,0.004974227266,0.02183833188,0.01600148137,0.0002962729321,0.1285664295,0.04331237952,0.0008019436064,0.5021044132,0.1884251059,0.003488755655,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,17,11827,2917,0.9503350913,0.03788221511,0.000348335765,0.6301982806,0.29358681,0.002699598895,0.01959380271,0.01600832047,0.0001472002242,0.12392981,0.04641952661,0.0004268383268,0.4396930752,0.2078670247,0.001911385563,0.9527982291,0.02976946307,0.0005511918496,0.6711825039,0.225246779,0.004170521599,0.01867273838,0.0128246436,0.000237452688,0.1204894995,0.0371818342,0.000688434451,0.4681946654,0.1732264768,0.003207347809,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,18,11827,2917,0.923624363,0.06197454712,0.0005698703526,0.6398732054,0.3182387248,0.002926278977,0.02931875015,0.02614188768,0.000240380728,0.1507792763,0.06310554188,0.000580270112,0.4838822187,0.2221872537,0.002043063394,0.9262821773,0.04737083727,0.000877087348,0.676683878,0.2386736457,0.004419124654,0.0280450234,0.01950167264,0.0003610801777,0.146977179,0.04874370147,0.0009025064009,0.5058064692,0.1817826953,0.003365769138,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,19,11827,2917,0.9246617691,0.05370553966,0.0004938349087,0.754213221,0.1965671332,0.001807480437,0.0300610764,0.02428318578,0.0002232895323,0.1544865134,0.05815192326,0.0005347204385,0.5390948677,0.1907727084,0.001754199355,0.9270911678,0.04370148307,0.0008091479926,0.7668132518,0.1584156273,0.002933119836,0.02906142124,0.01956472817,0.0003622476725,0.1510531204,0.04768536915,0.0008829110139,0.5490935088,0.1600407441,0.002963209432,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,20,11827,2917,0.9126821261,0.05861485299,0.0005389771848,0.6946874048,0.2139673595,0.001967479558,0.03108931652,0.02110924054,0.0001941043688,0.157567875,0.05525075473,0.0005080435201,0.5121094741,0.2060758656,0.001894915439,0.9128297281,0.04956380077,0.0009176908215,0.7050146789,0.1801174846,0.00333493719,0.03078987838,0.01748103961,0.000323667462,0.1560125823,0.04632137465,0.0008576561865,0.5196826717,0.1775216179,0.003286873825,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,21,11827,2917,0.92754761,0.05227281062,0.0004806606325,0.7874470422,0.1639209886,0.001507291556,0.0270105354,0.02072262098,0.0001905493121,0.1452887631,0.05472809877,0.0005032375772,0.5997135791,0.176561752,0.001623526311,0.9264720464,0.04502373997,0.000833630034,0.7830736898,0.149788894,0.002773392901,0.02714809727,0.01734313998,0.000321114203,0.1452518368,0.04519235692,0.0008367520349,0.5946808274,0.1533934533,0.002840132556,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,22,11827,2917,0.9253167146,0.05335337052,0.0004905966317,0.7581743469,0.1862585656,0.001712690764,0.027547207,0.02020003283,0.0001857439927,0.1464617192,0.055612074,0.0005113659347,0.5754417857,0.1932139674,0.001776647299,0.9218373215,0.04773330804,0.0008837986188,0.7526563441,0.1632308095,0.00302227459,0.02898435802,0.01792912673,0.0003319639491,0.1498955608,0.04847447543,0.0008975215881,0.5704894541,0.1698626716,0.003145065799,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,23,11827,2917,0.9298173412,0.05551927159,0.000510512595,0.7627300014,0.1890094753,0.001737986017,0.02611709212,0.02071198144,0.0001904514791,0.1402633951,0.05534707307,0.0005089291896,0.5938371946,0.1894477228,0.001742015805,0.928352198,0.04646051845,0.0008602324818,0.7549552001,0.1576013607,0.002918043409,0.02703990363,0.01795765746,0.0003324922054,0.1423424637,0.046922386,0.0008687841184,0.5822896941,0.160516051,0.002972009902,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,24,11827,2917,0.9269474124,0.05796414023,0.0005329937299,0.7611975813,0.2024314424,0.001861404121,0.02710637776,0.02108356678,0.0001938682926,0.1421377911,0.05706753404,0.0005247492278,0.604472288,0.196190057,0.001804013134,0.9227403708,0.05126587137,0.0009492052441,0.7456361415,0.1788555026,0.003311571158,0.02889023207,0.01869931377,0.0003462242271,0.1466686945,0.04955825291,0.0009175881011,0.5850643932,0.1709002072,0.003164276127,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,25,11827,2917,0.9249653464,0.06293012146,0.0005786570805,0.7509241536,0.2309676639,0.002123801305,0.03057887168,0.02652800294,0.0002439311474,0.1489786961,0.06650566245,0.0006115350102,0.6042027775,0.2115228564,0.001945001785,0.9237637109,0.05229693858,0.0009682958083,0.745589554,0.2021684527,0.003743218449,0.03143132194,0.02182372614,0.0004040737969,0.1509891776,0.05478304497,0.001014326923,0.5988361859,0.1858814791,0.003441659529,,,,,,,,,,,,
internvl_2_5_8b,hpre_cos,real_real,26,11827,2917,0.9487287755,0.0426139306,0.0003918449877,0.8731433039,0.1226671215,0.001127952668,0.02292196009,0.02003509851,0.0001842273834,0.1297246915,0.05536175194,0.0005090641653,0.7219207111,0.1464662251,0.001346790953,0.9469656656,0.03692398351,0.0006836602568,0.8691854879,0.1068668041,0.001978675641,0.02412031035,0.01763112791,0.0003264463984,0.1324703571,0.0478262839,0.000885520099,0.7160691236,0.1334422062,0.002470728353,,,,,,,,,,,,
