model,source_mode,label,layer,n_samples,n_tokens,n_visual_mean,n_visual_min,n_visual_max,token_mean,token_std,max_row_sum_error,p50_mean,p50_std,p50_sem,p90_mean,p90_std,p90_sem,p99_mean,p99_std,p99_sem,pmax_mean,pmax_std,pmax_sem,relative_p50_mean,relative_p50_std,relative_p50_sem,relative_p90_mean,relative_p90_std,relative_p90_sem,relative_p99_mean,relative_p99_std,relative_p99_sem,relative_pmax_mean,relative_pmax_std,relative_pmax_sem,top1_mass_mean,top1_mass_std,top1_mass_sem,top5_mass_mean,top5_mass_std,top5_mass_sem,top10_mass_mean,top10_mass_std,top10_mass_sem,top32_mass_mean,top32_mass_std,top32_mass_sem,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_sem,effective_token_fraction_mean,effective_token_fraction_std,effective_token_fraction_sem,mass_above_uniform_mean,mass_above_uniform_std,mass_above_uniform_sem,fraction_above_uniform_mean,fraction_above_uniform_std,fraction_above_uniform_sem
internvl_2_5_8b,hmid_cos,hall,11,1766,452096,256,256,256,0.00390625,0.001401340209,1.407461241e-07,0.003746048465,0.0001478455478,3.518138245e-06,0.005667492531,0.0006632504241,1.578273217e-05,0.007503314129,0.001515491581,3.606269496e-05,0.008714712815,0.002245675606,5.343818165e-05,0.9589884071,0.03784846023,0.0009006433908,1.450878088,0.1697921086,0.004040379436,1.920848417,0.3879658447,0.009232049911,2.230966481,0.5748929552,0.0136801745,0.008714712815,0.002245675606,5.343818165e-05,0.03897133568,0.0083157442,0.0001978817634,0.072909342,0.01399497506,0.0003330249558,0.2029289753,0.03052142399,0.0007262889593,0.9887329195,0.008008215855,0.0001905638073,0.9403415159,0.04053216827,0.0009645050089,0.5895920935,0.04534733553,0.001079086911,0.455547052,0.03101480221,0.0007380294062
internvl_2_5_8b,hmid_cos,hall,12,1766,452096,256,256,256,0.00390625,0.001552335024,1.420266926e-07,0.003724050348,0.0001413711337,3.364072843e-06,0.005896922268,0.0005580448559,1.327925649e-05,0.008035428172,0.001348643103,3.209236227e-05,0.009384361349,0.002029589887,4.829619769e-05,0.953356889,0.03619101023,0.0008612026479,1.509612101,0.1428594831,0.003399489662,2.057069612,0.3452526343,0.00821564474,2.402396505,0.519575011,0.01236382661,0.009384361349,0.002029589887,4.829619769e-05,0.04177163906,0.007309718696,0.0001739423425,0.07785707527,0.01228733055,0.0002923897825,0.2138527105,0.0261180979,0.0006215072452,0.9860916244,0.006916509796,0.0001645855287,0.926447816,0.034951679,0.0008317114752,0.6066559469,0.03556119787,0.0008462156092,0.4547972112,0.0279564733,0.0006652532959
internvl_2_5_8b,hmid_cos,hall,13,1766,452096,256,256,256,0.00390625,0.001317675107,1.266598701e-07,0.003785115308,0.0001297853496,3.088377086e-06,0.005566170751,0.0005563769056,1.323956589e-05,0.007215609091,0.001310262759,3.117906215e-05,0.008249694974,0.001977402145,4.705433622e-05,0.9689895187,0.03322504949,0.000790624534,1.424939712,0.1424324878,0.003389328867,1.847195927,0.3354272663,0.007981839911,2.111921913,0.5062149492,0.01204591007,0.008249694974,0.001977402145,4.705433622e-05,0.03729542072,0.007189209549,0.0001710747023,0.07026460719,0.01208773887,0.0002876402911,0.1977311392,0.02606744626,0.0006203019369,0.9898976164,0.006562939005,0.0001561719447,0.9461345914,0.0334579425,0.0007961664649,0.5927486359,0.03898243256,0.0009276274392,0.4650804254,0.03081492082,0.000733273021
internvl_2_5_8b,hmid_cos,hall,14,1766,452096,256,256,256,0.00390625,0.001270112708,1.668231562e-07,0.003746395589,0.0001538401846,3.66078685e-06,0.005455584559,0.0006015037866,1.431340685e-05,0.007266706917,0.001683560362,4.006206603e-05,0.008438134696,0.002717129538,6.465691723e-05,0.9590772707,0.03938308726,0.0009371614337,1.396629647,0.1539849694,0.003664232154,1.860276971,0.4309914526,0.0102558889,2.160162482,0.6955851617,0.01655217081,0.008438134696,0.002717129538,6.465691723e-05,0.03771628874,0.009437612673,0.000224577788,0.07056773851,0.01537523672,0.0003658697144,0.1958897511,0.03076491728,0.000732083135,0.9909695194,0.007422070937,0.0001766158807,0.951936113,0.03728779196,0.0008873017074,0.567489087,0.04072187655,0.0009690193142,0.4493581009,0.03499996647,0.0008328605257
internvl_2_5_8b,hmid_cos,hall,15,1766,452096,256,256,256,0.00390625,0.001518703655,1.223525032e-07,0.00372743214,0.0001714882866,4.080741754e-06,0.005782940937,0.0006583497198,1.566611483e-05,0.0079282144,0.001903370279,4.529267114e-05,0.009367734697,0.003059174304,7.279622741e-05,0.9542226279,0.04390100138,0.001044669889,1.48043288,0.1685375283,0.004010525396,2.029622886,0.4872627915,0.01159492381,2.398140082,0.7831486218,0.01863583422,0.009367734697,0.003059174304,7.279622741e-05,0.04135364306,0.01070131388,0.0002546488697,0.07677234079,0.01721714272,0.0004096997791,0.2100820048,0.03383181078,0.0008050630487,0.9869427161,0.008995451055,0.0002140560935,0.9312798033,0.04461313003,0.001061615729,0.5968208906,0.04178118768,0.000994226722,0.4534014899,0.03419022561,0.0008135919016
internvl_2_5_8b,hmid_cos,hall,16,1766,452096,256,256,256,0.00390625,0.001615398497,1.301523298e-07,0.003702411977,0.0001927619213,4.586969969e-06,0.005903330178,0.0007650957318,1.820624697e-05,0.008212014409,0.00196459732,4.674963212e-05,0.009735649253,0.002989194746,7.113099121e-05,0.9478174662,0.04934705186,0.001174264312,1.511252525,0.1958645073,0.004660799223,2.102275689,0.5029369139,0.01196790582,2.492326209,0.765233855,0.01820953375,0.009735649253,0.002989194746,7.113099121e-05,0.04287824212,0.01087961065,0.0002588916263,0.07936890414,0.01785283308,0.0004248266911,0.215754143,0.03689169701,0.000877876217,0.9852072517,0.01011188305,0.0002406227515,0.9226621243,0.05006951587,0.001191456093,0.6032870041,0.04568455219,0.001087111331,0.4511143651,0.03449720108,0.0008208967013
internvl_2_5_8b,hmid_cos,hall,17,1766,452096,256,256,256,0.00390625,0.001422988795,1.370208338e-07,0.003745995814,0.0001411788664,3.359497644e-06,0.005699372943,0.0005968801769,1.420338326e-05,0.007651268389,0.001411415704,3.358610146e-05,0.008902815827,0.002035311405,4.843234715e-05,0.9589749283,0.03614178981,0.000860031397,1.459039474,0.1528013253,0.003636066115,1.958724708,0.3613224202,0.008598041973,2.279120852,0.5210397196,0.01239868087,0.008902815827,0.002035311405,4.843234715e-05,0.03975099265,0.007634344202,0.0001816671433,0.07422114076,0.01289041465,0.0003067407944,0.2052503858,0.02758924659,0.0006565147551,0.9883484295,0.007314776546,0.0001740626993,0.9381887687,0.03695799133,0.0008794537592,0.5915122372,0.04584340283,0.001090891347,0.4545096617,0.03156819726,0.0007511980158
internvl_2_5_8b,hmid_cos,hall,18,1766,452096,256,256,256,0.00390625,0.001663444263,1.420557965e-07,0.003640348586,0.0002467201724,5.870962551e-06,0.005960375495,0.0008256481215,1.964715392e-05,0.008412166466,0.002182175021,5.192711933e-05,0.01008043364,0.003427100807,8.155142039e-05,0.931929238,0.06316036413,0.001502966413,1.525856127,0.2113659191,0.005029671404,2.153514615,0.5586368055,0.01329334255,2.580591013,0.8773378065,0.02087716362,0.01008043364,0.003427100807,8.155142039e-05,0.04406385378,0.01216208494,0.000289409433,0.08115908598,0.01962416913,0.0004669774707,0.2190732418,0.03968434123,0.0009443300845,0.9847760335,0.01103714536,0.0002626403284,0.920719,0.05405026937,0.001286182254,0.5969142444,0.05382002372,0.00128070332,0.4406674689,0.03823834362,0.0009099210706
internvl_2_5_8b,hmid_cos,hall,19,1766,452096,256,256,256,0.00390625,0.002221140736,1.310836524e-07,0.003420671919,0.0003896924428,9.273136104e-06,0.006711199244,0.001027339214,2.444660278e-05,0.01024681672,0.00290581279,6.914683104e-05,0.01277481924,0.004596830518,0.0001093863528,0.8756920114,0.09976126535,0.002373922843,1.718067006,0.2629988387,0.006258330312,2.623185081,0.7438880743,0.01770158875,3.270353726,1.176788613,0.02800290632,0.01277481924,0.004596830518,0.0001093863528,0.05427496375,0.01615787609,0.0003844934304,0.09836399538,0.02601217843,0.0006189867816,0.2558623843,0.05177179572,0.001231963609,0.9738474191,0.01628761942,0.0003875808075,0.8684248263,0.07486370289,0.001781459505,0.6326424657,0.05443345794,0.001295300623,0.422726589,0.04372998472,0.00104060037
internvl_2_5_8b,hmid_cos,hall,20,1766,452096,256,256,256,0.00390625,0.002350321773,1.329462975e-07,0.003374973211,0.0003646895519,8.678166368e-06,0.006851985869,0.0009614157156,2.287788472e-05,0.01096612439,0.00320383797,7.623864949e-05,0.01371128104,0.005148794399,0.0001225209062,0.863993142,0.09336052529,0.00222161059,1.754108383,0.2461224232,0.005856738489,2.807327845,0.8201825204,0.01951709427,3.510087947,1.318091366,0.03136535199,0.01371128104,0.005148794399,0.0001225209062,0.05812224916,0.01790384254,0.0004260405142,0.1046053408,0.02813936658,0.0006696054311,0.2664959555,0.05174671748,0.001231366846,0.9714286648,0.01603450319,0.0003815576443,0.8567576904,0.0729630483,0.001736231456,0.631760417,0.04891558597,0.001163997133,0.4124256795,0.04427917845,0.001053669005
