temperature,label,layer,n,mean,median
0.2,1,10,11976,0.20805254578590393,0.19856852293014526
0.2,1,11,11976,0.1916954070329666,0.18480058014392853
0.2,1,12,11976,0.1907089352607727,0.18361252546310425
0.2,1,13,11976,0.20445582270622253,0.19854293763637543
0.2,1,14,11976,0.2111932784318924,0.20430991053581238
0.2,1,15,11976,0.17749238014221191,0.17099209129810333
0.2,1,16,11976,0.18106448650360107,0.17516201734542847
0.2,1,17,11976,0.19812452793121338,0.1905176341533661
0.2,1,18,11976,0.1906617134809494,0.18457746505737305
0.2,1,19,11976,0.24101616442203522,0.23444116115570068
0.2,1,20,11976,0.23485811054706573,0.2322545051574707
0.2,1,21,11976,0.23141667246818542,0.22847923636436462
0.2,1,22,11976,0.24364307522773743,0.23986293375492096
0.2,1,23,11976,0.24877779185771942,0.24492120742797852
0.2,1,24,11976,0.23865582048892975,0.2328912913799286
0.2,1,25,11976,0.2191009372472763,0.21404743194580078
0.2,1,26,11976,0.2709433138370514,0.26839232444763184
0.2,1,27,11976,0.254837304353714,0.24580487608909607
0.2,1,28,11976,0.3013648986816406,0.30303114652633667
0.2,1,29,11976,0.20468328893184662,0.20206446945667267
0.2,1,30,11976,0.19473731517791748,0.19017718732357025
0.2,1,31,11976,0.27351027727127075,0.2755049467086792
0.2,1,32,11976,0.2333124876022339,0.23219013214111328
0.02,0,1,3487,0.4201284945011139,0.41753461956977844
0.02,0,2,3487,0.45357435941696167,0.46205517649650574
0.02,0,3,3487,0.5236576199531555,0.562233567237854
0.02,0,4,3487,0.5321986079216003,0.5641444325447083
0.02,0,5,3487,0.4865511655807495,0.5346372723579407
0.02,0,6,3487,0.5496923327445984,0.5602278113365173
0.02,0,7,3487,0.5320830941200256,0.5423406958580017
0.02,0,8,3487,0.5536984205245972,0.5617282390594482
0.02,0,9,3487,0.5609090328216553,0.5689308643341064
0.02,0,10,3487,0.5412338376045227,0.5503560900688171
0.02,0,11,3487,0.509536623954773,0.5222156643867493
0.02,0,12,3487,0.4697965085506439,0.4762267470359802
0.02,0,13,3487,0.49704259634017944,0.5084598660469055
0.02,0,14,3487,0.5187029242515564,0.5245359539985657
0.02,0,15,3487,0.46155762672424316,0.47221776843070984
0.02,0,16,3487,0.49963390827178955,0.5109679102897644
0.02,0,17,3487,0.5278146266937256,0.5341789126396179
0.02,0,18,3487,0.4697107970714569,0.4784901738166809
0.02,0,19,3487,0.44360625743865967,0.4494002163410187
0.02,0,20,3487,0.4798142611980438,0.4940139055252075
0.02,0,21,3487,0.5228481888771057,0.5373114943504333
0.02,0,22,3487,0.48250001668930054,0.49512484669685364
0.02,0,23,3487,0.463489830493927,0.47307485342025757
0.02,0,24,3487,0.46686941385269165,0.47283321619033813
0.02,0,25,3487,0.4808882176876068,0.4924505949020386
0.02,0,26,3487,0.5256402492523193,0.5407983064651489
0.02,0,27,3487,0.5024541616439819,0.5158281326293945
0.02,0,28,3487,0.5516957640647888,0.5619433522224426
0.02,0,29,3487,0.5137996673583984,0.5231413841247559
0.02,0,30,3487,0.5233601927757263,0.5349022150039673
0.02,0,31,3487,0.5321006774902344,0.5372095704078674
0.02,0,32,3487,0.3932698667049408,0.3845388889312744
0.02,1,1,11976,0.4861302077770233,0.4955066442489624
0.02,1,2,11976,0.45434799790382385,0.4637101888656616
0.02,1,3,11976,0.5247980952262878,0.5621562600135803
0.02,1,4,11976,0.5510420203208923,0.5753531455993652
0.02,1,5,11976,0.5238098502159119,0.5554945468902588
0.02,1,6,11976,0.5362812280654907,0.5448964238166809
0.02,1,7,11976,0.4953858256340027,0.5045360922813416
0.02,1,8,11976,0.5315014719963074,0.5386126041412354
0.02,1,9,11976,0.5370123982429504,0.5468534231185913
0.02,1,10,11976,0.5041388869285583,0.5097225904464722
0.02,1,11,11976,0.4830898344516754,0.4910725951194763
0.02,1,12,11976,0.46037769317626953,0.4678758680820465
0.02,1,13,11976,0.4781464636325836,0.4865311086177826
0.02,1,14,11976,0.509363055229187,0.515013575553894
0.02,1,15,11976,0.44521957635879517,0.4533901810646057
0.02,1,16,11976,0.48367494344711304,0.4931836426258087
0.02,1,17,11976,0.48999232053756714,0.49571692943573
0.02,1,18,11976,0.45527389645576477,0.461201012134552
0.02,1,19,11976,0.4158119559288025,0.4133843183517456
0.02,1,20,11976,0.46552756428718567,0.47419488430023193
0.02,1,21,11976,0.48766037821769714,0.4959048926830292
0.02,1,22,11976,0.4635024070739746,0.47236162424087524
0.02,1,23,11976,0.46443289518356323,0.47203391790390015
0.02,1,24,11976,0.47207483649253845,0.48031529784202576
0.02,1,25,11976,0.45785436034202576,0.4633790850639343
0.02,1,26,11976,0.5112141370773315,0.5243786573410034
0.02,1,27,11976,0.48787614703178406,0.49624812602996826
0.02,1,28,11976,0.5331371426582336,0.5513514280319214
0.02,1,29,11976,0.4584767818450928,0.46815258264541626
0.02,1,30,11976,0.493947297334671,0.4975886046886444
0.02,1,31,11976,0.5254812836647034,0.5339264869689941
0.02,1,32,11976,0.43789809942245483,0.43310073018074036
